model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
TVW_QRF,0.6417208219922134,0.36346579922528116,0.17431620124002503,-1.2996385320922248,0.19544406989984608
ENSEMBLE,0.6769131044268543,0.37676989442896636,0.3220781166804282,-1.2748154024847294,0.20407428310467557
ARIMA313,0.6901974784836977,0.3893686377530506,0.2795603213078763,-0.8683191763910921,0.38641567257924736
AR3,0.713168333075418,0.4244020046878488,0.1733161802033962,,
TVW_QRF_RAW,0.7315094008904817,0.4059011785711849,0.17135014304205765,0.20660717625984462,0.8365653632398766
RW,0.9847943024078316,0.5806635634184102,-0.18297701313696102,2.313208846273075,0.021881007518537388
