model,frame,n,rmse,mae,bias,mean_gain,total_gain,closer,material_win,material_loss,direction,alerts,alerted_big,false_alarm,missed_big,big_precision,big_recall
HARD_HALF,big,23,0.6833130723904106,0.479371431160143,-0.01022649236817433,0.09888943840507444,2.274457083316712,15,7,1,16,7,7,0,16,1.0,0.30434782608695654
HARD_HALF,big_ex_jan,19,0.7201400489073938,0.49466312228371356,0.07113248514835276,0.10007371982154963,1.901400676609443,14,6,1,14,5,5,0,14,1.0,0.2631578947368421
HARD_HALF,alerts,22,0.6693338518992189,0.40368863384598674,0.03883925620934245,-0.049143179300532275,-1.08114994461171,10,8,9,15,22,7,15,0,0.3181818181818182,1.0
HARD_FULL,all,90,0.4139308470027306,0.2696268338876436,-0.005779131141549162,-0.01629350055431024,-1.4664150498879214,42,13,14,47,23,7,16,16,0.30434782608695654,0.30434782608695654
HARD_FULL,ex_jan,83,0.39844813883989944,0.25652947463390013,0.028074544632118198,-0.011951161380888128,-0.9919463946137146,38,12,12,42,20,5,15,14,0.25,0.2631578947368421
HARD_FULL,2024+,31,0.22531658006178432,0.17263970528256042,-0.002307685957092744,0.014457068910987976,0.44816913624062726,17,4,3,18,5,2,3,3,0.4,0.4
HARD_FULL,flash2025+,19,0.1638271242938502,0.13239549655765354,0.03984227670951719,0.025499240284451725,0.48448556540458276,11,2,1,11,2,0,2,1,0.0,0.0
HARD_FULL,big,23,0.6710742877935716,0.47606113106941467,0.0007855388815016071,0.10219973849580277,2.3505939854034636,16,9,2,17,7,7,0,16,1.0,0.30434782608695654
HARD_FULL,big_ex_jan,19,0.7065802335235483,0.49063590002425816,0.08006482422848393,0.10410094208100497,1.9779178995390945,14,8,1,14,5,5,0,14,1.0,0.2631578947368421
HARD_FULL,alerts,23,0.41840093170859916,0.3213253191257471,-0.04874977395907008,-0.05610792782139923,-1.2904823398921823,11,9,10,16,23,7,16,0,0.30434782608695654,1.0
SENTIMENT_BASE,all,90,0.4216344065753521,0.2675327498406538,-0.034749858483330454,-0.014199416507320421,-1.277947485658838,42,12,14,48,21,7,14,16,0.3333333333333333,0.30434782608695654
SENTIMENT_BASE,ex_jan,83,0.4066668135275087,0.25294436544320287,-0.0005291820436956711,-0.008366052190190834,-0.6943823317858393,39,11,13,44,18,5,13,14,0.2777777777777778,0.2631578947368421
SENTIMENT_BASE,2024+,31,0.21937510032801147,0.16885345557845097,-0.00491555035367382,0.018243318615097384,0.5655428770680189,19,3,1,20,4,2,2,3,0.5,0.4
SENTIMENT_BASE,flash2025+,19,0.17335378685702876,0.13915740902145082,0.026398381350518873,0.018737327820654466,0.35600922859243483,12,2,0,12,1,0,1,1,0.0,0.0
SENTIMENT_BASE,big,23,0.7033756796084439,0.49443402939517456,-0.031072996608218287,0.08382684017004291,1.9280173239109868,15,6,3,16,7,7,0,16,1.0,0.30434782608695654
SENTIMENT_BASE,big_ex_jan,19,0.7405704349874778,0.5075667368976928,0.05334398700230693,0.08717010520757046,1.6562319989438388,14,5,3,14,5,5,0,14,1.0,0.2631578947368421
SENTIMENT_BASE,alerts,21,0.6863969678019871,0.4012278026200879,-0.008587975816830174,-0.048846850239135445,-1.0257838550218443,8,8,9,14,21,7,14,0,0.3333333333333333,1.0
SENTIMENT_HALF,all,90,0.4151150508994233,0.2699603819770808,-0.01748683945493482,-0.016627048643747408,-1.4964343779372669,44,11,15,49,23,7,16,16,0.30434782608695654,0.30434782608695654
SENTIMENT_HALF,ex_jan,83,0.3994645299733753,0.25607111631458973,0.01694195848230993,-0.01149280306157766,-0.9539026541109458,40,10,14,44,20,5,15,14,0.25,0.2631578947368421
SENTIMENT_HALF,2024+,31,0.2215148020523289,0.16981045573291395,-0.0060054474312707115,0.017286318460634414,0.5358758722796668,18,3,2,19,5,2,3,3,0.4,0.4
SENTIMENT_HALF,flash2025+,19,0.16599665183010628,0.13521662815748794,0.03055578140246855,0.022678108684617292,0.4308840650077286,12,2,1,12,2,0,2,1,0.0,0.0
SENTIMENT_HALF,big,23,0.6813581445496157,0.48139021354640193,-0.01030280176645282,0.09687065601881548,2.228025088432756,16,8,1,17,7,7,0,16,1.0,0.30434782608695654
SENTIMENT_HALF,big_ex_jan,19,0.7172401330229885,0.496077062735149,0.07089540316423872,0.09865977937011412,1.8745358080321683,14,7,1,14,5,5,0,14,1.0,0.2631578947368421
SENTIMENT_HALF,alerts,23,0.6552166714140084,0.39644759658182394,0.030967608525630474,-0.05731716179921518,-1.3182947213819491,10,8,10,15,23,7,16,0,0.30434782608695654,1.0
SENTIMENT_FULL,all,90,0.4151231464660918,0.27713357701117664,-0.00022382042653915635,-0.023800243677843284,-2.1420219310058957,43,11,16,49,26,8,18,15,0.3076923076923077,0.34782608695652173
SENTIMENT_FULL,ex_jan,83,0.39896321711475946,0.26336195313873306,0.03441309900831556,-0.018783639885720998,-1.5590421105148429,39,10,14,44,23,6,17,13,0.2608695652173913,0.3157894736842105
SENTIMENT_FULL,2024+,31,0.2284616164697725,0.17430193910827316,-0.007095344508867615,0.012794835085275194,0.39663988764353103,18,4,3,19,6,2,4,3,0.3333333333333333,0.4
SENTIMENT_FULL,flash2025+,19,0.1645707013796179,0.13464872038850215,0.03471318145441824,0.023246016453603125,0.4416743126184594,12,2,1,12,3,0,3,1,0.0,0.0
SENTIMENT_FULL,big,23,0.6641423565755069,0.47188907277203873,0.010467393075312694,0.10637179679317885,2.4465513262431133,17,8,1,18,8,8,0,15,1.0,0.34782608695652173
SENTIMENT_FULL,big_ex_jan,19,0.6979218602603776,0.4845873885726053,0.0884468193261705,0.11014945353265779,2.092839617120498,15,7,0,15,6,6,0,13,1.0,0.3157894736842105
SENTIMENT_FULL,alerts,26,0.4059861548754972,0.3108328722439571,-0.03623811511805213,-0.05314056455164943,-1.3816546783428851,12,9,11,18,26,8,18,0,0.3076923076923077,1.0
CONSENSUS,all,90,0.3815174380753199,0.25333333333333335,-0.024444444444444456,0.0,0.0,0,0,0,0,0,0,0,23,,0.0
CONSENSUS,ex_jan,83,0.3800760862318244,0.24457831325301202,-0.008433734939759043,0.0,0.0,0,0,0,0,0,0,0,19,,0.0
CONSENSUS,2024+,31,0.2409657986707497,0.18709677419354834,0.04516129032258066,0.0,0.0,0,0,0,0,0,0,0,5,,0.0
CONSENSUS,flash2025+,19,0.19466570535691505,0.15789473684210525,0.042105263157894736,0.0,0.0,0,0,0,0,0,0,0,1,,0.0
CONSENSUS,big,23,0.6950132935857196,0.5782608695652175,-0.021739130434782657,0.0,0.0,0,0,0,0,0,0,0,23,,0.0
CONSENSUS,big_ex_jan,19,0.7287335806582179,0.5947368421052632,0.0263157894736842,0.0,0.0,0,0,0,0,0,0,0,19,,0.0
CONSENSUS,alerts,0,,,,,0.0,0,0,0,0,0,0,0,0,,
