scope,sample,h,case,model,n_intended_origins,n_available_targets,n_own_forecasts,n_common,yy_rmse,yy_mae,yy_bias,mm_rmse,mm_mae,mm_bias
independent_common,2019_plus,1,exante,TARGET_ML,1,1,1,1,0.048969887591926664,0.048969887591926664,-0.048969887591926664,0.17842611271064251,0.17842611271064251,-0.17842611271064251
independent_common,2019_plus,1,exante,TARGET_FX_ML,1,1,1,1,0.04190186368976301,0.04190186368976301,-0.04190186368976301,0.17155809773777955,0.17155809773777955,-0.17155809773777955
independent_common,2019_plus,1,exante,TARGET_U_FX_ML,1,1,1,1,0.039949826998281424,0.039949826998281424,-0.039949826998281424,0.169661299225176,0.169661299225176,-0.169661299225176
independent_common,2019_plus,1,exante,BVAR_U_FX,1,1,1,1,0.17839120542269216,0.17839120542269216,-0.17839120542269216,0.3041851029140034,0.3041851029140034,-0.3041851029140034
independent_common,2019_plus,1,exante,RF_U_FX,1,1,1,1,0.045397331769349236,0.045397331769349236,0.045397331769349236,0.08672927007231122,0.08672927007231122,-0.08672927007231122
independent_common,2019_plus,1,exante,NAIVE,1,1,1,1,0.07676217833812782,0.07676217833812782,-0.07676217833812782,0.2054319451211173,0.2054319451211173,-0.2054319451211173
independent_common,2019_plus,1,conditional,TARGET_ML,1,1,1,1,0.18338239361927133,0.18338239361927133,-0.18338239361927133,0.17842611271064251,0.17842611271064251,-0.17842611271064251
independent_common,2019_plus,1,conditional,TARGET_FX_ML,1,1,1,1,0.17632360045271778,0.17632360045271778,-0.17632360045271778,0.17155809773777955,0.17155809773777955,-0.17155809773777955
independent_common,2019_plus,1,conditional,TARGET_U_FX_ML,1,1,1,1,0.17437411309254136,0.17437411309254136,-0.17437411309254136,0.169661299225176,0.169661299225176,-0.169661299225176
independent_common,2019_plus,1,conditional,BVAR_U_FX,1,1,1,1,0.3126346891060585,0.3126346891060585,-0.3126346891060585,0.3041851029140034,0.3041851029140034,-0.3041851029140034
independent_common,2019_plus,1,conditional,RF_U_FX,1,1,1,1,0.08913841646320808,0.08913841646320808,-0.08913841646320808,0.08672927007231122,0.08672927007231122,-0.08672927007231122
independent_common,2019_plus,1,conditional,NAIVE,1,1,1,1,0.21113838804114815,0.21113838804114815,-0.21113838804114815,0.2054319451211173,0.2054319451211173,-0.2054319451211173
independent_common,2019_plus,3,exante,TARGET_ML,1,1,1,1,0.43971403535295295,0.43971403535295295,-0.43971403535295295,0.4809013396686292,0.4809013396686292,-0.4809013396686292
independent_common,2019_plus,3,exante,TARGET_FX_ML,1,1,1,1,0.4144706955667372,0.4144706955667372,-0.4144706955667372,0.4704978436323456,0.4704978436323456,-0.4704978436323456
independent_common,2019_plus,3,exante,TARGET_U_FX_ML,1,1,1,1,0.40861556471706706,0.40861556471706706,-0.40861556471706706,0.46834197532460475,0.46834197532460475,-0.46834197532460475
independent_common,2019_plus,3,exante,BVAR_U_FX,1,1,1,1,0.864587076554308,0.864587076554308,-0.864587076554308,0.639137806981376,0.639137806981376,-0.639137806981376
independent_common,2019_plus,3,exante,RF_U_FX,1,1,1,1,0.34022000818123166,0.34022000818123166,-0.34022000818123166,0.4772001884923166,0.4772001884923166,-0.4772001884923166
independent_common,2019_plus,3,exante,NAIVE,1,1,1,1,0.41528292447818815,0.41528292447818815,-0.41528292447818815,0.47579980882611395,0.47579980882611395,-0.47579980882611395
independent_common,2019_plus,3,conditional,TARGET_ML,1,1,1,1,0.5735867453207955,0.5735867453207955,-0.5735867453207955,0.4809013396686292,0.4809013396686292,-0.4809013396686292
independent_common,2019_plus,3,conditional,TARGET_FX_ML,1,1,1,1,0.5483763729663118,0.5483763729663118,-0.5483763729663118,0.4704978436323456,0.4704978436323456,-0.4704978436323456
independent_common,2019_plus,3,conditional,TARGET_U_FX_ML,1,1,1,1,0.5425288888317046,0.5425288888317046,-0.5425288888317046,0.46834197532460475,0.46834197532460475,-0.46834197532460475
independent_common,2019_plus,3,conditional,BVAR_U_FX,1,1,1,1,0.9979049085582996,0.9979049085582996,-0.9979049085582996,0.639137806981376,0.639137806981376,-0.639137806981376
independent_common,2019_plus,3,conditional,RF_U_FX,1,1,1,1,0.4742226558901361,0.4742226558901361,-0.4742226558901361,0.4772001884923166,0.4772001884923166,-0.4772001884923166
independent_common,2019_plus,3,conditional,NAIVE,1,1,1,1,0.5491875411187106,0.5491875411187106,-0.5491875411187106,0.47579980882611395,0.47579980882611395,-0.47579980882611395
independent_common,2019_plus,6,exante,TARGET_ML,1,1,1,1,0.8816316823302133,0.8816316823302133,-0.8816316823302133,0.26882905208137636,0.26882905208137636,-0.26882905208137636
independent_common,2019_plus,6,exante,TARGET_FX_ML,1,1,1,1,0.8257535097383526,0.8257535097383526,-0.8257535097383526,0.26062699080341495,0.26062699080341495,-0.26062699080341495
independent_common,2019_plus,6,exante,TARGET_U_FX_ML,1,1,1,1,0.8139253511956293,0.8139253511956293,-0.8139253511956293,0.2590997696081532,0.2590997696081532,-0.2590997696081532
independent_common,2019_plus,6,exante,BVAR_U_FX,1,1,1,1,1.649705551507467,1.649705551507467,-1.649705551507467,0.35979603082189593,0.35979603082189593,-0.35979603082189593
independent_common,2019_plus,6,exante,RF_U_FX,1,1,1,1,0.44872886211040175,0.44872886211040175,-0.44872886211040175,0.03357475863264162,0.03357475863264162,-0.03357475863264162
independent_common,2019_plus,6,exante,NAIVE,1,1,1,1,0.797780858993236,0.797780858993236,-0.797780858993236,0.17192837564036223,0.17192837564036223,-0.17192837564036223
independent_common,2019_plus,6,conditional,TARGET_ML,1,1,1,1,1.014901816131318,1.014901816131318,-1.014901816131318,0.26882905208137636,0.26882905208137636,-0.26882905208137636
independent_common,2019_plus,6,conditional,TARGET_FX_ML,1,1,1,1,0.9590966196137771,0.9590966196137771,-0.9590966196137771,0.26062699080341495,0.26062699080341495,-0.26062699080341495
independent_common,2019_plus,6,conditional,TARGET_U_FX_ML,1,1,1,1,0.9472839084727287,0.9472839084727287,-0.9472839084727287,0.2590997696081532,0.2590997696081532,-0.2590997696081532
independent_common,2019_plus,6,conditional,BVAR_U_FX,1,1,1,1,1.7819725920941605,1.7819725920941605,-1.7819725920941605,0.35979603082189593,0.35979603082189593,-0.35979603082189593
independent_common,2019_plus,6,conditional,RF_U_FX,1,1,1,1,0.5825643606490511,0.5825643606490511,-0.5825643606490511,0.03357475863264162,0.03357475863264162,-0.03357475863264162
independent_common,2019_plus,6,conditional,NAIVE,1,1,1,1,0.9311605007404999,0.9311605007404999,-0.9311605007404999,0.17192837564036223,0.17192837564036223,-0.17192837564036223
independent_common,2019_plus,12,exante,TARGET_ML,1,1,1,1,1.7763751484017916,1.7763751484017916,-1.7763751484017916,0.09727449722272744,0.09727449722272744,-0.09727449722272744
independent_common,2019_plus,12,exante,TARGET_FX_ML,1,1,1,1,1.7055688637391886,1.7055688637391886,-1.7055688637391886,0.09796009286063609,0.09796009286063609,-0.09796009286063609
independent_common,2019_plus,12,exante,TARGET_U_FX_ML,1,1,1,1,1.6922367238952662,1.6922367238952662,-1.6922367238952662,0.09839855679159012,0.09839855679159012,-0.09839855679159012
independent_common,2019_plus,12,exante,BVAR_U_FX,1,1,1,1,3.317926325840069,3.317926325840069,-3.317926325840069,0.22278553477195376,0.22278553477195376,-0.22278553477195376
independent_common,2019_plus,12,exante,RF_U_FX,1,1,1,1,1.0939848565731252,1.0939848565731252,-1.0939848565731252,0.07201811233631253,0.07201811233631253,-0.07201811233631253
independent_common,2019_plus,12,exante,NAIVE,1,1,1,1,2.2426528571319744,2.2426528571319744,-2.2426528571319744,0.11178737422860685,0.11178737422860685,-0.11178737422860685
independent_common,2019_plus,12,conditional,TARGET_ML,1,1,1,1,1.7763751484017916,1.7763751484017916,-1.7763751484017916,0.09727449722272744,0.09727449722272744,-0.09727449722272744
independent_common,2019_plus,12,conditional,TARGET_FX_ML,1,1,1,1,1.7055688637391886,1.7055688637391886,-1.7055688637391886,0.09796009286063609,0.09796009286063609,-0.09796009286063609
independent_common,2019_plus,12,conditional,TARGET_U_FX_ML,1,1,1,1,1.6922367238952662,1.6922367238952662,-1.6922367238952662,0.09839855679159012,0.09839855679159012,-0.09839855679159012
independent_common,2019_plus,12,conditional,BVAR_U_FX,1,1,1,1,3.317926325840069,3.317926325840069,-3.317926325840069,0.22278553477195376,0.22278553477195376,-0.22278553477195376
independent_common,2019_plus,12,conditional,RF_U_FX,1,1,1,1,1.0939848565731252,1.0939848565731252,-1.0939848565731252,0.07201811233631253,0.07201811233631253,-0.07201811233631253
independent_common,2019_plus,12,conditional,NAIVE,1,1,1,1,2.2426528571319744,2.2426528571319744,-2.2426528571319744,0.11178737422860685,0.11178737422860685,-0.11178737422860685
including_references_common,2019_plus,1,exante,TARGET_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,1,exante,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,1,exante,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,1,exante,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,1,exante,RF_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,1,exante,NAIVE,1,1,1,0,,,,,,
including_references_common,2019_plus,1,exante,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,2019_plus,1,exante,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
including_references_common,2019_plus,1,conditional,TARGET_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,1,conditional,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,1,conditional,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,1,conditional,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,1,conditional,RF_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,1,conditional,NAIVE,1,1,1,0,,,,,,
including_references_common,2019_plus,1,conditional,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,2019_plus,1,conditional,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
including_references_common,2019_plus,3,exante,TARGET_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,3,exante,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,3,exante,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,3,exante,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,3,exante,RF_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,3,exante,NAIVE,1,1,1,0,,,,,,
including_references_common,2019_plus,3,exante,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,2019_plus,3,exante,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
including_references_common,2019_plus,3,conditional,TARGET_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,3,conditional,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,3,conditional,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,3,conditional,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,3,conditional,RF_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,3,conditional,NAIVE,1,1,1,0,,,,,,
including_references_common,2019_plus,3,conditional,F1B_STORED_REF,1,1,0,0,,,,,,
including_references_common,2019_plus,3,conditional,SURVEY_TREND_STORED_REF,1,1,1,0,,,,,,
including_references_common,2019_plus,6,exante,TARGET_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,6,exante,TARGET_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,6,exante,TARGET_U_FX_ML,1,1,1,0,,,,,,
including_references_common,2019_plus,6,exante,BVAR_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,6,exante,RF_U_FX,1,1,1,0,,,,,,
including_references_common,2019_plus,6,exante,NAIVE,1,1,1,0,,,,,,
