table,obj,h,n,naive,rw,E1R,bias_E1R,E4,bias_E4,E5,bias_E5,E6,bias_E6,E1_ML,bias_E1_ML,F2_D1_fixed,bias_F2_D1_fixed,F2R,bias_F2R,F1b,bias_F1b,E,bias_E
LONG SPAN 2008-01..2026-07,b,1,222,0.6332964207348541,1.1014760688395024,0.5694543628799051,0.01832019279739382,0.5857231360157028,0.024493992129272408,0.571188243848938,-0.0042609452486529545,0.5893875070723,0.07203195854665369,0.572014120991185,-0.013891763953891573,0.5701431296201116,-0.09493262250258853,0.5684290744407017,-0.09474706656586639,,,,
LONG SPAN 2008-01..2026-07,b,3,220,1.3669374421395235,1.8281777610578178,1.207055883256717,0.05394119786371677,1.2692727843789593,0.06804765223314158,1.2040824110630943,-0.020476104826986294,1.2937421967150695,0.21184135019388406,1.216758918351673,-0.053281555467832954,1.2057353309765193,-0.29492430306146084,1.2033544197885218,-0.29574540864397636,,,,
LONG SPAN 2008-01..2026-07,b,6,217,2.2976811117887457,2.801351745242859,1.9859812308374083,0.11738898270811925,2.106821909623236,0.13736751217199802,1.959275550417087,-0.04433621284187576,2.1769853832941104,0.42130378407035046,2.0223657314837826,-0.12664934795287228,2.023974769736593,-0.5961962486129019,2.0168731328186014,-0.5976301249961026,,,,
LONG SPAN 2008-01..2026-07,b,9,214,3.20644828205988,3.7135507302958897,2.8822316963892565,0.16816496928833255,3.0413054484299984,0.1901553263004458,2.8158089713561827,-0.08609066527242885,3.1509720373881036,0.6101423521619523,2.94654192476417,-0.23934881436108887,2.9309827671335937,-0.904469367640098,2.9270338170951673,-0.903979619134336,,,,
LONG SPAN 2008-01..2026-07,b,12,211,4.093597443989172,4.472970319336139,3.8445683791523835,0.1897368380090043,4.040312339894147,0.21232632397551907,3.714004962440849,-0.15679709312380263,4.2351885541042655,0.768908692152368,3.955208356516943,-0.3945561922177701,3.839250809415117,-1.2322211790005606,3.8384213196273778,-1.230730120311993,,,,
COMPONENT SPAN 2019-02..2026-07 (b),b,1,88,0.9368098432246982,1.5709723518952163,,,,,,,,,0.812409345008555,-0.08589217462304731,0.8184068750216974,-0.22743908873376048,0.8199782742061932,-0.22693353169429994,0.7719127355685579,-0.11286314731321867,0.8090018825725295,-0.09305864635369243
COMPONENT SPAN 2019-02..2026-07 (b),b,3,84,2.0945116103044437,2.697010642247087,,,,,,,,,1.8161830364751224,-0.2864782224384056,1.83051518360742,-0.7164469208180193,1.827773165394332,-0.7143608041816683,1.5564864775582956,-0.3369584376813826,1.7657470702528049,-0.30169852028997796
COMPONENT SPAN 2019-02..2026-07 (b),b,6,78,3.65237982726404,4.305620003577593,,,,,,,,,3.192818688437651,-0.6475672525086431,3.2537184893830706,-1.5018573546656433,3.244181224105856,-1.5041001221156682,2.5721594600213993,-0.8332803042876396,3.008441010385102,-0.6678495050506053
COMPONENT SPAN 2019-02..2026-07 (b),b,9,72,5.278392321188259,5.916335565450812,,,,,,,,,4.83641938384204,-1.139158696373974,4.887475454748254,-2.3689589342454442,4.881733812380021,-2.36645546538651,4.053826134192116,-1.4470131653850111,4.480465446188174,-1.1348529246251726
COMPONENT SPAN 2019-02..2026-07 (b),b,12,66,6.990062293675042,7.426570296101707,,,,,,,,,6.799100930331589,-1.8440645738589199,6.664483091120692,-3.422090199965882,6.6630157113715835,-3.4203830665684714,5.7880222439845745,-2.3615329336577395,6.1721838757296394,-1.8106730506666062
COMPONENT SPAN 2019-02..2026-07 (a),a,1,88,0.9368098432246982,1.5709723518952163,,,,,,,,,0.9440004285920327,-0.1225799184342513,0.9398796389574813,-0.2641951451221514,0.9405804288497077,-0.2636951383072757,0.925459116284548,-0.1494154263222989,0.9375486249526938,-0.12977509234919793
COMPONENT SPAN 2019-02..2026-07 (a),a,3,84,2.0945116103044437,2.697010642247087,,,,,,,,,1.8687347769056757,-0.33292705574852405,1.8668559350088274,-0.7631506095869858,1.8645644913861608,-0.7610586880753003,1.6107823445807217,-0.383501555630929,1.8136378455127888,-0.34824954576253725
COMPONENT SPAN 2019-02..2026-07 (a),a,6,78,3.65237982726404,4.305620003577593,,,,,,,,,3.275686769438298,-0.6929560717164589,3.312656441230511,-1.5478885811300584,3.3031382531888047,-1.550139072050084,2.68040067060324,-0.8785035046814702,3.085304400627471,-0.7135456841731795
COMPONENT SPAN 2019-02..2026-07 (a),a,9,72,5.278392321188259,5.916335565450812,,,,,,,,,4.937881112543111,-1.189876768329201,4.96237959645715,-2.420746473490174,4.954971027078405,-2.4183296256361775,4.1828563717260945,-1.4973482174345814,4.573980585145204,-1.1862317770093318
COMPONENT SPAN 2019-02..2026-07 (a),a,12,66,6.990062293675042,7.426570296101707,,,,,,,,,6.799100930331589,-1.8440645738589199,6.664483091120692,-3.422090199965882,6.6630157113715835,-3.4203830665684714,5.7880222439845745,-2.3615329336577395,6.1721838757296394,-1.8106730506666062
