period,as_of,model,block,prediction,n_train,train_start,train_end,training_last_release,dropped_columns,fit_status
2019-02,2019-03-10 23:59:00,NO_PROXY,core,0.33955037213462747,145,2007-01,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,OFFICIAL_PREDICTORS,core,0.3176015423713572,145,2007-01,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,BROAD_SPLIT,goods,-0.14330346487059428,133,2008-01,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,BROAD_SPLIT,services,0.179956726422168,133,2008-01,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,BROAD_SPLIT,reconciliation,0.013801778191100709,133,2008-01,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,BROAD_AGG_CONTROL,core_annual_delta,0.16870182607205156,133,2008-01,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,AGG_COMMON,core,0.29162109272316195,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_SHARED,actual_rent,0.2618312079043558,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_SHARED,imputed_rent,0.11909587672091063,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_SHARED,catering,0.16664729387479138,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_SHARED,accommodation,0.4084410920953882,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_SHARED,package_holidays,4.915158047323767,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_SHARED,remaining_core_tax_reconciliation,0.032417653991481436,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_OWN,actual_rent,0.23458927986042552,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_OWN,imputed_rent,0.01891539515681473,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_OWN,catering,0.18228079713529766,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_OWN,accommodation,0.27763633548496636,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_OWN,package_holidays,4.788215901419669,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_OWN,remaining_core_tax_reconciliation,0.07208495233636834,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_CHANNEL,actual_rent,0.23458927986042552,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_CHANNEL,imputed_rent,0.01891539515681473,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_CHANNEL,catering,0.35407598582280425,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_CHANNEL,accommodation,0.3631580803775338,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_CHANNEL,package_holidays,4.874307155239067,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-02,2019-03-10 23:59:00,TARGET_CHANNEL,remaining_core_tax_reconciliation,0.07069145108211038,48,2015-02,2019-01,2019-02-13 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,NO_PROXY,core,0.04462348806075647,146,2007-01,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,OFFICIAL_PREDICTORS,core,0.04128238253714506,146,2007-01,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,BROAD_SPLIT,goods,-0.009493253114718485,134,2008-01,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,BROAD_SPLIT,services,0.001449097732267703,134,2008-01,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,BROAD_SPLIT,reconciliation,-0.007225246524346945,134,2008-01,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,BROAD_AGG_CONTROL,core_annual_delta,-0.04769856582268026,134,2008-01,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,AGG_COMMON,core,-0.07662278325245425,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_SHARED,actual_rent,0.21565965955318966,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_SHARED,imputed_rent,0.20435992624317187,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_SHARED,catering,0.25298715541512057,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_SHARED,accommodation,0.7052710172856808,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_SHARED,package_holidays,-6.152827496425874,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_SHARED,remaining_core_tax_reconciliation,0.028783097291301615,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_OWN,actual_rent,0.3373598924245394,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_OWN,imputed_rent,0.03882986703072436,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_OWN,catering,0.20639328131663895,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_OWN,accommodation,0.3717514138927407,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_OWN,package_holidays,-6.825255754042785,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_OWN,remaining_core_tax_reconciliation,0.04589513184436606,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_CHANNEL,actual_rent,0.3373598924245394,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_CHANNEL,imputed_rent,0.03882986703072436,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_CHANNEL,catering,0.4822873593830239,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_CHANNEL,accommodation,0.3626008102084716,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_CHANNEL,package_holidays,-6.697680017507807,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-03,2019-04-09 23:59:00,TARGET_CHANNEL,remaining_core_tax_reconciliation,0.03605717753663558,49,2015-02,2019-02,2019-03-11 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,NO_PROXY,core,0.36803653597667324,147,2007-01,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,OFFICIAL_PREDICTORS,core,0.43736288024277625,147,2007-01,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,BROAD_SPLIT,goods,0.16629999442151897,135,2008-01,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,BROAD_SPLIT,services,-0.17734718440090858,135,2008-01,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,BROAD_SPLIT,reconciliation,0.020100337695565892,135,2008-01,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,BROAD_AGG_CONTROL,core_annual_delta,-0.05459352452532077,135,2008-01,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,AGG_COMMON,core,0.47170843793592554,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_SHARED,actual_rent,0.26891605610318325,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_SHARED,imputed_rent,0.3550993649873956,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_SHARED,catering,0.24463843429207988,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_SHARED,accommodation,1.1750279419355323,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_SHARED,package_holidays,0.28528427933914746,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_SHARED,remaining_core_tax_reconciliation,0.18662352707989985,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_OWN,actual_rent,0.2153689166779003,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_OWN,imputed_rent,0.33085166595045545,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_OWN,catering,0.15961184749284218,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_OWN,accommodation,1.0273562732330732,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_OWN,package_holidays,-1.9602859921500255,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_OWN,remaining_core_tax_reconciliation,0.1759020900826493,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_CHANNEL,actual_rent,0.2153689166779003,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_CHANNEL,imputed_rent,0.33085166595045545,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_CHANNEL,catering,0.2363216348361764,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_CHANNEL,accommodation,0.9153714511528757,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_CHANNEL,package_holidays,-1.8555776028249746,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-04,2019-05-12 23:59:00,TARGET_CHANNEL,remaining_core_tax_reconciliation,0.19178196468836067,50,2015-02,2019-03,2019-04-10 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,NO_PROXY,core,0.11271263458957258,148,2007-01,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,OFFICIAL_PREDICTORS,core,0.1459017310829045,148,2007-01,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,BROAD_SPLIT,goods,0.041047342721265104,136,2008-01,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,BROAD_SPLIT,services,-0.06658905917395114,136,2008-01,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,BROAD_SPLIT,reconciliation,-0.04516196817142596,136,2008-01,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,BROAD_AGG_CONTROL,core_annual_delta,-0.06396006034912921,136,2008-01,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,AGG_COMMON,core,0.16964700683465284,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_SHARED,actual_rent,0.14671392917386275,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_SHARED,imputed_rent,0.5512892817463333,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_SHARED,catering,0.33603934905512634,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_SHARED,accommodation,0.5672151808201111,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_SHARED,package_holidays,0.5258619017168129,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_SHARED,remaining_core_tax_reconciliation,-0.000490250567581195,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_OWN,actual_rent,0.0002789679145338564,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_OWN,imputed_rent,0.697314721475367,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_OWN,catering,0.31823052720362,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_OWN,accommodation,0.5817604542482753,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_OWN,package_holidays,0.5703968802686848,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_OWN,remaining_core_tax_reconciliation,-0.0029988817711110796,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_CHANNEL,actual_rent,0.0002789679145338564,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_CHANNEL,imputed_rent,0.697314721475367,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_CHANNEL,catering,0.3626023669360876,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_CHANNEL,accommodation,0.5964063647936544,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_CHANNEL,package_holidays,0.6070724524788467,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-05,2019-06-10 23:59:00,TARGET_CHANNEL,remaining_core_tax_reconciliation,0.00043759682168742486,51,2015-02,2019-04,2019-05-13 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,NO_PROXY,core,0.17607014868470194,149,2007-01,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,OFFICIAL_PREDICTORS,core,0.21306102019767847,149,2007-01,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,BROAD_SPLIT,goods,-0.04810370858772489,137,2008-01,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,BROAD_SPLIT,services,-0.02819756101652237,137,2008-01,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,BROAD_SPLIT,reconciliation,-0.0009979234374419353,137,2008-01,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,BROAD_AGG_CONTROL,core_annual_delta,-0.05487130063715099,137,2008-01,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,AGG_COMMON,core,0.1544775567345606,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_SHARED,actual_rent,0.05815669171150986,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_SHARED,imputed_rent,0.21905731986288637,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_SHARED,catering,0.10704965209703105,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_SHARED,accommodation,0.33274779195243454,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_SHARED,package_holidays,4.113939207338281,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_SHARED,remaining_core_tax_reconciliation,-0.026536763579354666,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_OWN,actual_rent,0.08445907863505019,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_OWN,imputed_rent,0.2954109402807515,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_OWN,catering,0.0950057118229865,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_OWN,accommodation,0.3143018924171064,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_OWN,package_holidays,4.01668097672798,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_OWN,remaining_core_tax_reconciliation,-0.023479333087863583,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_CHANNEL,actual_rent,0.08445907863505019,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_CHANNEL,imputed_rent,0.2954109402807515,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_CHANNEL,catering,0.5024097571318409,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_CHANNEL,accommodation,0.2607229476752166,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_CHANNEL,package_holidays,3.99822344383937,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_CHANNEL,remaining_core_tax_reconciliation,-0.023805061118368852,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,NO_PROXY,core,0.6560126592810874,150,2007-01,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,OFFICIAL_PREDICTORS,core,0.6296953107472282,150,2007-01,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,BROAD_SPLIT,goods,0.02903711430286307,138,2008-01,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,BROAD_SPLIT,services,-0.17206568088451113,138,2008-01,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,BROAD_SPLIT,reconciliation,0.02268609544622319,138,2008-01,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,BROAD_AGG_CONTROL,core_annual_delta,-0.0435595386421235,138,2008-01,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,AGG_COMMON,core,0.6883106263249624,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,TARGET_SHARED,actual_rent,0.3816959667303218,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,TARGET_SHARED,imputed_rent,0.2849657944027015,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,TARGET_SHARED,catering,0.35391420153511416,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
