origin,band,family,feature,log_core_pp,absolute_contribution
2026-07,3,both,ulc_growth12,0.0,0.0
2026-07,3,both,goods_yoy,-0.0,0.0
2026-07,3,both,goods_change3,-0.0,0.0
2026-07,3,both,fx1,-0.0,0.0
2026-07,3,both,fx3,-0.0,0.0
2026-07,3,both,cost_23_now,-0.0,0.0
2026-07,3,both,cost_23_mean3,-0.0,0.0
2026-07,3,both,cost_26_now,0.0,0.0
2026-07,3,both,cost_26_mean3,0.0,0.0
2026-07,3,both,cost_45_now,-0.0,0.0
2026-07,3,both,cost_45_mean3,-0.0,0.0
2026-07,3,both,cost_47_now,-0.0,0.0
2026-07,3,both,cost_47_mean3,0.0,0.0
2026-07,3,both,cost_56_now,-0.0,0.0
2026-07,3,both,cost_56_mean3,-0.0,0.0
2026-07,3,both,cost_62_now,-0.0,0.0
2026-07,3,both,cost_62_mean3,-0.0,0.0
2026-07,3,both,destination_season,0.0,0.0
2026-07,0,domestic,destination_season,-0.020388398981456703,0.020388398981456703
2026-07,0,domestic,services_yoy,0.011471083510579166,0.011471083510579166
2026-07,0,domestic,ulc_growth12,-0.00881129286552293,0.00881129286552293
2026-07,0,domestic,services_change3,-0.006151178207747772,0.006151178207747772
2026-07,0,domestic,ip_growth3,-0.0007246339197824567,0.0007246339197824567
2026-07,0,domestic,intercept,0.0,0.0
2026-07,0,domestic,core1,0.0,0.0
2026-07,0,domestic,core3,0.0,0.0
2026-07,0,domestic,core12,0.0,0.0
2026-07,0,domestic,core_acceleration,-0.0,0.0
2026-07,0,domestic,midtrend,0.0,0.0
2026-07,0,domestic,midcycle,-0.0,0.0
2026-07,0,domestic,unemployment,0.0,0.0
2026-07,0,domestic,unemployment_change3,-0.0,0.0
2026-07,1,domestic,services_yoy,0.021386392810191984,0.021386392810191984
2026-07,1,domestic,intercept,0.012233773143688266,0.012233773143688266
2026-07,1,domestic,services_change3,-0.006151200449218463,0.006151200449218463
2026-07,1,domestic,core1,-0.005089191015992568,0.005089191015992568
2026-07,1,domestic,midcycle,-0.0032156888597605995,0.0032156888597605995
2026-07,1,domestic,ulc_growth12,0.002978223171977469,0.002978223171977469
2026-07,1,domestic,destination_season,-0.001206286930162837,0.001206286930162837
2026-07,1,domestic,ip_growth3,-0.0006138343581520356,0.0006138343581520356
2026-07,1,domestic,unemployment_change3,-0.0005248902456953153,0.0005248902456953153
2026-07,1,domestic,core3,-0.0,0.0
2026-07,1,domestic,core12,0.0,0.0
2026-07,1,domestic,core_acceleration,-0.0,0.0
2026-07,1,domestic,midtrend,0.0,0.0
2026-07,1,domestic,unemployment,-0.0,0.0
2026-07,2,domestic,intercept,0.0,0.0
2026-07,2,domestic,core1,-0.0,0.0
2026-07,2,domestic,core3,-0.0,0.0
2026-07,2,domestic,core12,-0.0,0.0
