origin,band,family,feature,log_core_pp
2019-02,0,domestic,intercept,0.00431127549157061
2019-02,0,domestic,core1,-0.0
2019-02,0,domestic,core3,-0.0
2019-02,0,domestic,core12,-0.0
2019-02,0,domestic,core_acceleration,-3.436227824723648e-05
2019-02,0,domestic,midtrend,-0.0
2019-02,0,domestic,midcycle,-0.008780766698409421
2019-02,0,domestic,services_yoy,-0.00035960766048160996
2019-02,0,domestic,services_change3,-0.0
2019-02,0,domestic,unemployment,0.0
2019-02,0,domestic,unemployment_change3,-0.0
2019-02,0,domestic,ip_growth3,-0.0
2019-02,0,domestic,ulc_growth12,-0.0
2019-02,0,domestic,destination_season,-0.0010706240104682648
2019-02,0,imported,intercept,0.027999827187732442
2019-02,0,imported,core1,0.05097334094298243
2019-02,0,imported,core3,-0.0
2019-02,0,imported,core12,-0.10802819865131144
2019-02,0,imported,core_acceleration,0.005280366093050504
2019-02,0,imported,midtrend,-0.08929439225402609
2019-02,0,imported,midcycle,-0.07718425689888267
2019-02,0,imported,goods_yoy,0.1069348018266345
2019-02,0,imported,goods_change3,-0.05827610341443667
2019-02,0,imported,fx1,0.007481564768933069
2019-02,0,imported,fx3,-0.005273381351190257
2019-02,0,imported,cost_23_now,-0.007041073027577745
2019-02,0,imported,cost_23_mean3,-0.0005201056696762324
2019-02,0,imported,cost_26_now,-0.0069159385694316095
2019-02,0,imported,cost_26_mean3,-0.011921221516414688
2019-02,0,imported,cost_45_now,0.011884444262026552
2019-02,0,imported,cost_45_mean3,-0.002848846213449484
2019-02,0,imported,cost_47_now,-0.004813582784776957
2019-02,0,imported,cost_47_mean3,0.03008099017112491
2019-02,0,imported,cost_56_now,-0.007980519991674524
2019-02,0,imported,cost_56_mean3,0.007148653949289572
2019-02,0,imported,cost_62_now,0.010976435287707604
2019-02,0,imported,cost_62_mean3,-0.001131575013797156
2019-02,0,imported,destination_season,-0.005190742384297983
2019-02,0,both,intercept,0.01976709336326315
2019-02,0,both,core1,-0.0
2019-02,0,both,core3,-0.0
2019-02,0,both,core12,-0.0
2019-02,0,both,core_acceleration,-0.0
2019-02,0,both,midtrend,-0.0
2019-02,0,both,midcycle,-0.031105248258917213
2019-02,0,both,services_yoy,-0.10196905986903006
2019-02,0,both,services_change3,-0.0
2019-02,0,both,unemployment,0.04447986273550768
2019-02,0,both,unemployment_change3,-0.0
2019-02,0,both,ip_growth3,-0.0
2019-02,0,both,ulc_growth12,-0.0
2019-02,0,both,goods_yoy,0.005103143421433163
2019-02,0,both,goods_change3,-0.026213298043779733
2019-02,0,both,fx1,0.0
2019-02,0,both,fx3,0.0
2019-02,0,both,cost_23_now,-0.0
2019-02,0,both,cost_23_mean3,-0.0
2019-02,0,both,cost_26_now,-0.0
2019-02,0,both,cost_26_mean3,-0.0023986970852896833
2019-02,0,both,cost_45_now,0.0
2019-02,0,both,cost_45_mean3,-0.0
2019-02,0,both,cost_47_now,-0.0
2019-02,0,both,cost_47_mean3,-0.0
2019-02,0,both,cost_56_now,0.0
2019-02,0,both,cost_56_mean3,0.0
2019-02,0,both,cost_62_now,0.0028319532006769945
2019-02,0,both,cost_62_mean3,0.0
2019-02,0,both,destination_season,-0.003839850833011358
2019-02,0,wide,intercept,0.02441065268831394
2019-02,0,wide,core1,-0.029167458601035746
2019-02,0,wide,core3,-0.0
2019-02,0,wide,core12,-0.0
2019-02,0,wide,core_acceleration,-0.0
2019-02,0,wide,midtrend,-0.0
2019-02,0,wide,midcycle,-0.0338304575940849
2019-02,0,wide,services_yoy,-0.14802387975073733
2019-02,0,wide,services_change3,-0.007970650309034186
2019-02,0,wide,goods_yoy,0.0029884864445957134
2019-02,0,wide,goods_change3,-0.04948709191645953
2019-02,0,wide,fx1,0.002170614011014791
2019-02,0,wide,fx3,0.000611893712622938
2019-02,0,wide,a6_11,0.04052988115620049
2019-02,0,wide,a6_12,0.0307693139039605
2019-02,0,wide,a6_13,0.0038995763456317776
2019-02,0,wide,a6_17,-0.0
2019-02,0,wide,a6_23,-0.005548106753172518
2019-02,0,wide,a6_24,0.02756546882850786
2019-02,0,wide,a6_25,-0.015217639488719776
2019-02,0,wide,a6_26,-0.015189469832932626
2019-02,0,wide,a6_43,-0.0
2019-02,0,wide,a6_44,-0.0021350169442136174
2019-02,0,wide,a6_45,-0.0
