month,package_holidays
2015-01,96.299999999999997
2015-02,99.799999999999997
2015-03,95.200000000000003
2015-04,94.799999999999997
2015-05,94.5
2015-06,99.5
2015-07,112.2
2015-08,115.3
2015-09,99.400000000000006
2015-10,99.099999999999994
2015-11,96.900000000000006
2015-12,97
2016-01,103
2016-02,108.09999999999999
2016-03,101.7
2016-04,99.599999999999994
2016-05,98.599999999999994
2016-06,99.900000000000006
2016-07,112.7
2016-08,114.2
2016-09,99.299999999999997
2016-10,98.700000000000003
2016-11,97.099999999999994
2016-12,96.5
2017-01,104.2
2017-02,108.90000000000001
2017-03,102.3
2017-04,100.40000000000001
2017-05,100
2017-06,104.09999999999999
2017-07,117.2
2017-08,118.8
2017-09,102.8
2017-10,101.7
2017-11,99.599999999999994
2017-12,99.400000000000006
2018-01,106.5
2018-02,111.09999999999999
2018-03,105.5
2018-04,103.40000000000001
2018-05,102.90000000000001
2018-06,106.7
2018-07,132
2018-08,134.90000000000001
2018-09,104.8
2018-10,104.09999999999999
2018-11,102.90000000000001
2018-12,103.40000000000001
2019-01,115.3
2019-02,120.90000000000001
2019-03,110.3
2019-04,108.2
2019-05,106.2
2019-06,113.3
2019-07,141.40000000000001
2019-08,145.40000000000001
2019-09,111.09999999999999
2019-10,110.40000000000001
2019-11,109.5
2019-12,109.7
2020-01,120.5
2020-02,127.3
2020-03,116.40000000000001
2020-04,113.5
2020-05,112.5
2020-06,118.5
2020-07,146
2020-08,149.09999999999999
2020-09,116.90000000000001
2020-10,116
2020-11,115
2020-12,115.2
2021-01,127
2021-02,130
2021-03,119.3
2021-04,115.90000000000001
2021-05,114.90000000000001
2021-06,119.8
2021-07,147.59999999999999
2021-08,152.40000000000001
2021-09,120
2021-10,119.09999999999999
2021-11,118.90000000000001
2021-12,119.3
2022-01,132.19999999999999
2022-02,137.5
2022-03,127.40000000000001
2022-04,124.59999999999999
2022-05,123.59999999999999
2022-06,138.30000000000001
2022-07,170.09999999999999
2022-08,175
2022-09,139.09999999999999
2022-10,138.5
2022-11,138.59999999999999
2022-12,141.5
2023-01,157.40000000000001
2023-02,166.30000000000001
2023-03,158.80000000000001
2023-04,149.5
2023-05,145.59999999999999
2023-06,158.19999999999999
2023-07,194.30000000000001
2023-08,199.59999999999999
2023-09,155.90000000000001
2023-10,154.59999999999999
2023-11,152.59999999999999
2023-12,152.09999999999999
2024-01,162.69999999999999
2024-02,172.5
2024-03,167.59999999999999
2024-04,160.5
2024-05,157.80000000000001
2024-06,158.09999999999999
2024-07,197.80000000000001
2024-08,205.09999999999999
2024-09,162.19999999999999
2024-10,162.40000000000001
2024-11,162.59999999999999
2024-12,159.5
2025-01,168.59999999999999
2025-02,177.09999999999999
2025-03,172.19999999999999
2025-04,167
2025-05,165
2025-06,169
2025-07,207.69999999999999
2025-08,215.90000000000001
2025-09,170.30000000000001
2025-10,171.19999999999999
2025-11,167.90000000000001
2025-12,163.90000000000001
2026-01,172.69999999999999
2026-02,180.90000000000001
2026-03,177.40000000000001
2026-04,172
2026-05,170.5
2026-06,174.90000000000001
2026-07,215.19999999999999
2026-08,222.30000000000001
