"Ukazatel","IndicatorType","Klasifikace API","APIZZ","Typ indexu","TYPUDAJEZEM4","Měsíce, jejich kumulace, čtvrtletí, roky","CASMKMQR","Území","Uz0","Hodnota"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2010","2010-01","Česko","CZ","104.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2010","2010-01K","Česko","CZ","104.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2010","2010-02","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2010","2010-03","Česko","CZ","102.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2010","2010-04","Česko","CZ","102"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2010","2010-05","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2010","2010-06","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2010","2010-07","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2010","2010-08","Česko","CZ","102.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2010","2010-09","Česko","CZ","105.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2010","2010-10","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2010","2010-11","Česko","CZ","102"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2010","2010-12","Česko","CZ","102.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2011","2011-01","Česko","CZ","105.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2011","2011-01K","Česko","CZ","105.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2011","2011-02","Česko","CZ","105.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2011","2011-03","Česko","CZ","102"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2011","2011-04","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2011","2011-05","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2011","2011-06","Česko","CZ","98.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2011","2011-07","Česko","CZ","96.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2011","2011-08","Česko","CZ","97.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2011","2011-09","Česko","CZ","97.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2011","2011-10","Česko","CZ","97.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2011","2011-11","Česko","CZ","102.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2011","2011-12","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2012","2012-01","Česko","CZ","100.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2012","2012-01K","Česko","CZ","100.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2012","2012-02","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2012","2012-03","Česko","CZ","102.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2012","2012-04","Česko","CZ","98.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2012","2012-05","Česko","CZ","102.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2012","2012-06","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2012","2012-07","Česko","CZ","100.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2012","2012-08","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2012","2012-09","Česko","CZ","98"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2012","2012-10","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2012","2012-11","Česko","CZ","104.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2012","2012-12","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2013","2013-01","Česko","CZ","102.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2013","2013-01K","Česko","CZ","102.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2013","2013-02","Česko","CZ","101.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2013","2013-03","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2013","2013-04","Česko","CZ","98.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2013","2013-05","Česko","CZ","98.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2013","2013-06","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2013","2013-07","Česko","CZ","97.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2013","2013-08","Česko","CZ","95.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2013","2013-09","Česko","CZ","98.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2013","2013-10","Česko","CZ","98.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2013","2013-11","Česko","CZ","102.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2013","2013-12","Česko","CZ","102.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2014","2014-01","Česko","CZ","102.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2014","2014-01K","Česko","CZ","102.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2014","2014-02","Česko","CZ","100.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2014","2014-03","Česko","CZ","100.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2014","2014-04","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2014","2014-05","Česko","CZ","100.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2014","2014-06","Česko","CZ","98.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2014","2014-07","Česko","CZ","97.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2014","2014-08","Česko","CZ","97.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2014","2014-09","Česko","CZ","96.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2014","2014-10","Česko","CZ","96.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2014","2014-11","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2014","2014-12","Česko","CZ","100.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2015","2015-01","Česko","CZ","101"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2015","2015-01K","Česko","CZ","101"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2015","2015-02","Česko","CZ","101.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2015","2015-03","Česko","CZ","99"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2015","2015-04","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","květen 2015","2015-05","Česko","CZ","99.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červen 2015","2015-06","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","červenec 2015","2015-07","Česko","CZ","98.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","srpen 2015","2015-08","Česko","CZ","98.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","září 2015","2015-09","Česko","CZ","100.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","říjen 2015","2015-10","Česko","CZ","103.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","listopad 2015","2015-11","Česko","CZ","97"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","prosinec 2015","2015-12","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2016","2016-01","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","leden 2016","2016-01K","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","únor 2016","2016-02","Česko","CZ","98.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","březen 2016","2016-03","Česko","CZ","96.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba včetně ryb","000000","Meziměsíční index","IM","duben 2016","2016-04","Česko","CZ","98.4"
