sample,h,model,n,mse_difference,ci_low,ci_high,block_length,replicates,seed
full,1,FOOD_TREND_R12,88,0.0,0.0,0.0,12,2000,1209
full,1,FOOD_COST_R12,88,0.0,0.0,0.0,12,2000,1209
full,1,DIRECT_MONTHLY_R12,88,0.09665275452919633,-0.08466231983653424,0.2752754228856063,12,2000,1209
full,1,DIRECT_CUMULATIVE_R12,88,0.09665275452919633,-0.08129674605347494,0.27472298706748743,12,2000,1209
full,2,FOOD_TREND_R12,86,0.0,0.0,0.0,12,2000,1209
full,2,FOOD_COST_R12,86,0.0,0.0,0.0,12,2000,1209
full,2,DIRECT_MONTHLY_R12,86,0.47077397799557646,-0.02276095708513165,1.069095997632127,12,2000,1209
full,2,DIRECT_CUMULATIVE_R12,86,0.46053121714499057,-0.018098453869834958,1.060960951306269,12,2000,1209
full,3,FOOD_TREND_R12,84,0.0,0.0,0.0,12,2000,1209
full,3,FOOD_COST_R12,84,0.0,0.0,0.0,12,2000,1209
full,3,DIRECT_MONTHLY_R12,84,1.0111235178181406,-0.044265827341251215,2.2539968896695126,12,2000,1209
full,3,DIRECT_CUMULATIVE_R12,84,1.0221981269219116,-0.044430761157714424,2.2918361226500212,12,2000,1209
full,4,FOOD_TREND_R12,83,0.05915012335242267,-0.017605060876305943,0.1641436362516913,12,2000,1209
full,4,FOOD_COST_R12,83,0.08148460438300789,-0.026557140542631492,0.2411262375383415,12,2000,1209
full,4,DIRECT_MONTHLY_R12,83,1.7209522593915085,0.0003111196148087227,3.9508753442013105,12,2000,1209
full,4,DIRECT_CUMULATIVE_R12,83,1.7314725616045505,-0.03959135676165601,4.031010872779421,12,2000,1209
full,5,FOOD_TREND_R12,82,0.14720853367487785,-0.007590088986165209,0.36563133025978,12,2000,1209
full,5,FOOD_COST_R12,82,0.18899544766002618,-0.019336368621930992,0.5184698304170656,12,2000,1209
full,5,DIRECT_MONTHLY_R12,82,2.53771395017024,-0.18302534575559753,6.159359459337905,12,2000,1209
full,5,DIRECT_CUMULATIVE_R12,82,2.5541120594342406,-0.04959818197756342,6.068703170959848,12,2000,1209
full,6,FOOD_TREND_R12,81,0.2927926282927803,0.024206983546282885,0.6523572562756271,12,2000,1209
full,6,FOOD_COST_R12,81,0.3381950140695598,0.0038329148614541226,0.808978674427447,12,2000,1209
full,6,DIRECT_MONTHLY_R12,81,3.6517731686079595,-0.021287303817655055,9.056107667836589,12,2000,1209
full,6,DIRECT_CUMULATIVE_R12,81,3.6702364847989712,-0.06193284511111041,9.207631446848682,12,2000,1209
full,7,FOOD_TREND_R12,80,0.5140447773577423,0.05716262849397434,1.085758207245396,12,2000,1209
full,7,FOOD_COST_R12,80,0.564387473306372,0.03202463237491876,1.2495785808149993,12,2000,1209
full,7,DIRECT_MONTHLY_R12,80,4.665924635935727,-0.13002098567305181,13.212012201454353,12,2000,1209
full,7,DIRECT_CUMULATIVE_R12,80,4.691915470396289,-0.33237981584838255,12.383512261224421,12,2000,1209
full,8,FOOD_TREND_R12,79,0.7929402411011017,0.06436667289044733,1.7754692471188764,12,2000,1209
full,8,FOOD_COST_R12,79,0.8582438614556944,0.06071786656138667,1.9495779928917796,12,2000,1209
full,8,DIRECT_MONTHLY_R12,79,6.832497572524489,0.15263231532610871,16.412349740402156,12,2000,1209
full,8,DIRECT_CUMULATIVE_R12,79,6.8372633839375805,0.25147050612716865,16.703784678650432,12,2000,1209
full,9,FOOD_TREND_R12,78,1.2645809002223236,0.11283158307753349,2.898875842549879,12,2000,1209
full,9,FOOD_COST_R12,78,1.3741013729375366,0.04458546998890928,3.191728664794003,12,2000,1209
full,9,DIRECT_MONTHLY_R12,78,7.894077385478245,-0.29340771345823696,21.31531031731644,12,2000,1209
full,9,DIRECT_CUMULATIVE_R12,78,7.9201705404924,-0.22357088574468792,20.99041402269871,12,2000,1209
full,10,FOOD_TREND_R12,77,1.737829716675391,0.04103401078884549,4.049067490794679,12,2000,1209
full,10,FOOD_COST_R12,77,1.8865019940877166,0.0462668633642065,4.527070550965201,12,2000,1209
full,10,DIRECT_MONTHLY_R12,77,9.00159775817726,-1.4468484470013712,25.7224760521633,12,2000,1209
full,10,DIRECT_CUMULATIVE_R12,77,8.991335196441158,-1.2809143373238792,25.500383828069257,12,2000,1209
full,11,FOOD_TREND_R12,76,2.386364481425504,0.22057123162318776,5.606765490672666,12,2000,1209
