origin,h,target,as_of_utc,mm_forecast,model,value_food,contribution_food,weight_food
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,FOOD_TREND_R12,,,
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,,FOOD_TREND_R12,,,0.177627679
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,,FOOD_TREND_R12,,,0.177627679
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,,FOOD_TREND_R12,,,0.177627679
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,0.14979427316646826,FOOD_TREND_R12,-0.14075552304286434,-0.02500207686453501,0.177627679
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,0.28415298353001633,FOOD_TREND_R12,-0.33363964571836835,-0.05926363589133606,0.177627679
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,-0.06981756844083008,FOOD_TREND_R12,-0.6674404263597562,-0.11855589380505392,0.177627679
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,-0.1264860534998818,FOOD_TREND_R12,0.1350761762730308,0.023993267679573334,0.177627679
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,0.37145155161016513,FOOD_TREND_R12,0.39298719882924804,0.06980540400475085,0.177627679
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,0.14987407119190432,FOOD_TREND_R12,0.16772578967843468,0.02979274272902251,0.177627679
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,0.13471097737883103,FOOD_TREND_R12,0.5846563856327799,0.10385115679247964,0.177627679
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,0.8723332432863795,FOOD_TREND_R12,0.9606017635719508,0.17062946170659238,0.177627679
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,0.3087633258773365,FOOD_TREND_R12,0.13271097654906214,0.02357314274223334,0.177627679
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,FOOD_COST_R12,,,
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,,FOOD_COST_R12,,,0.177627679
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,,FOOD_COST_R12,,,0.177627679
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,,FOOD_COST_R12,,,0.177627679
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,0.13680662959063777,FOOD_COST_R12,-0.21387275144413445,-0.037989720440365506,0.177627679
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,0.27386381781646785,FOOD_COST_R12,-0.3915651096521087,-0.06955280160488457,0.177627679
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,-0.07795722158723453,FOOD_COST_R12,-0.7132646649707018,-0.12669554695145838,0.177627679
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,-0.13299900497328096,FOOD_COST_R12,0.09840986666370928,0.017480316206174153,0.177627679
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,0.36626870852646776,FOOD_COST_R12,0.36380907122618805,0.06462256092105347,0.177627679
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,0.1457695529858322,FOOD_COST_R12,0.14461836504067802,0.025688224522950377,0.177627679
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,0.13143958142285966,FOOD_COST_R12,0.5662392336754468,0.10057976083650827,0.177627679
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,0.8697269806535383,FOOD_COST_R12,0.9459291480904346,0.16802319907375118,0.177627679
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,0.30671166583592385,FOOD_COST_R12,0.1211606367992945,0.02152148270082067,0.177627679
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,0.31775488058818213,DIRECT_MONTHLY_R12,,,
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,0.15195499522308903,DIRECT_MONTHLY_R12,,,
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,0.25802194546897805,DIRECT_MONTHLY_R12,,,
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,0.23657512495686364,DIRECT_MONTHLY_R12,,,
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,0.18723891703511136,DIRECT_MONTHLY_R12,,,
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,0.1834841144624986,DIRECT_MONTHLY_R12,,,
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,-0.06584062048020006,DIRECT_MONTHLY_R12,,,
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,-0.15657378659841406,DIRECT_MONTHLY_R12,,,
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,0.25297421858691005,DIRECT_MONTHLY_R12,,,
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,0.05944949149443917,DIRECT_MONTHLY_R12,,,
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,0.2720431670230387,DIRECT_MONTHLY_R12,,,
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,0.8864815635560259,DIRECT_MONTHLY_R12,,,
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,0.21016438464833095,DIRECT_MONTHLY_R12,,,
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,0.31775488058818213,DIRECT_CUMULATIVE_R12,,,
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,0.15195499522308903,DIRECT_CUMULATIVE_R12,,,
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,0.2580369438594248,DIRECT_CUMULATIVE_R12,,,
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,0.23651934182846043,DIRECT_CUMULATIVE_R12,,,
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,0.1871842058368544,DIRECT_CUMULATIVE_R12,,,
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,0.18331767075628072,DIRECT_CUMULATIVE_R12,,,
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,-0.06599879717234254,DIRECT_CUMULATIVE_R12,,,
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,-0.15687430250197135,DIRECT_CUMULATIVE_R12,,,
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,0.25250202297576513,DIRECT_CUMULATIVE_R12,,,
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,0.059242842403465695,DIRECT_CUMULATIVE_R12,,,
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,0.27272365137460386,DIRECT_CUMULATIVE_R12,,,
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,0.887196014272832,DIRECT_CUMULATIVE_R12,,,
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,0.21135859007212038,DIRECT_CUMULATIVE_R12,,,
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,0.0994602395416571,FOOD_TREND_R12,,,
