model,n,rmse_yoy,paper_rmse_yoy
TVW3,167,2.0834643319571957,1.973
QRF_MEAN,167,2.132332413102737,2.224
TVW1,167,2.169458527519043,2.089
TVW2,167,2.2414540941108867,2.173
QRF_MEDIAN,167,2.370904843202331,2.304
AR3_DIRECT,167,2.513725588244924,
AR3,167,2.5157638711267403,2.449
ARIMA313,167,2.6179212258739817,2.944
AR3_TMH,167,2.6259664595940104,2.449
LQR_ENSEMBLE,167,2.636437185803912,2.567
RW,167,2.6751522057202437,2.653
RW_TMH,167,2.678517025624287,2.653
ARIMA313_TMH,167,2.930785400582601,2.944
