sample,h,model,control,n,mse_difference,ci_low,ci_high,block_length,replicates,seed
full,1,FOOD_DOMESTIC_PIPELINE_R14,INDEPENDENT_BRIDGE,88,-0.004100534960427141,-0.0542935435730761,0.043597428080473094,12,2000,1409
full,1,FOOD_OWN_LEVEL_AR_R14,INDEPENDENT_BRIDGE,88,0.025965025975294934,-0.0358001803047079,0.09994256220811432,12,2000,1409
full,1,FOOD_DOMESTIC_PIPELINE_R14,FOOD_OWN_LEVEL_AR_R14,89,-0.029785698787057977,-0.0952455283555173,0.017437990636542583,12,2000,1409
full,2,FOOD_DOMESTIC_PIPELINE_R14,INDEPENDENT_BRIDGE,86,0.018709386109509688,-0.14762322568616842,0.20762125207572651,12,2000,1409
full,2,FOOD_OWN_LEVEL_AR_R14,INDEPENDENT_BRIDGE,86,0.06843418204316634,-0.10753980253601249,0.27465743091461947,12,2000,1409
full,2,FOOD_DOMESTIC_PIPELINE_R14,FOOD_OWN_LEVEL_AR_R14,88,-0.049044515913318036,-0.24967986993718339,0.11457592685306445,12,2000,1409
full,3,FOOD_DOMESTIC_PIPELINE_R14,INDEPENDENT_BRIDGE,84,0.24237238653533447,-0.1242336194201493,0.8137535570879415,12,2000,1409
full,3,FOOD_OWN_LEVEL_AR_R14,INDEPENDENT_BRIDGE,84,0.18201415051654088,-0.032434550378941704,0.504674499033766,12,2000,1409
full,3,FOOD_DOMESTIC_PIPELINE_R14,FOOD_OWN_LEVEL_AR_R14,87,0.05629298664135484,-0.4368659213826604,0.5837430272720967,12,2000,1409
full,4,FOOD_DOMESTIC_PIPELINE_R14,INDEPENDENT_BRIDGE,83,0.7616700074695563,-0.11497617770338237,2.2914321066240326,12,2000,1409
full,4,FOOD_OWN_LEVEL_AR_R14,INDEPENDENT_BRIDGE,83,0.23909605128290576,-0.045094028602920194,0.6062735997143404,12,2000,1409
full,4,FOOD_DOMESTIC_PIPELINE_R14,FOOD_OWN_LEVEL_AR_R14,86,0.5014176325519281,-0.49868718485710567,1.919285853008624,12,2000,1409
full,5,FOOD_DOMESTIC_PIPELINE_R14,INDEPENDENT_BRIDGE,82,1.5393197473975948,-0.10230376875188452,4.440037043506815,12,2000,1409
full,5,FOOD_OWN_LEVEL_AR_R14,INDEPENDENT_BRIDGE,82,0.3523494542500881,-0.02340831075629396,0.8295134210629378,12,2000,1409
full,5,FOOD_DOMESTIC_PIPELINE_R14,FOOD_OWN_LEVEL_AR_R14,85,1.1421460282355445,-0.6813790715078655,4.222108705986723,12,2000,1409
