scope,sample,h,model,n_intended,n_common,n_own_forecasts,mm_n,mm_rmse,mm_mae,mm_bias,cumulative_log_n,cumulative_log_rmse,cumulative_log_mae,cumulative_log_bias,cumulative_pct_n,cumulative_pct_rmse,cumulative_pct_mae,cumulative_pct_bias
common,full,1,FOOD_DOMESTIC_PIPELINE_R14,90,88,90,88,1.0842931508632954,0.838740118509032,0.1122163164314993,88,1.0736543078374874,0.8328363582432506,0.11475053896889825,88,1.0842931508632954,0.8387401185090319,0.11221631643149933
common,full,1,FOOD_OWN_LEVEL_AR_R14,90,88,90,88,1.1378602909869349,0.8836519759382832,-0.06302628148011717,88,1.1284696693938232,0.8787435255527953,-0.0575411041506123,88,1.1378602909869349,0.883651975938283,-0.06302628148011714
common,full,1,INDEPENDENT_BRIDGE,90,88,89,88,1.0185886702563334,0.7906835850918607,-0.04581971123278508,88,1.009160894228171,0.7856099957235614,-0.041625334805450886,88,1.0185886702563332,0.7906835850918607,-0.04581971123278505
common,full,1,FOOD_TREND_R12,90,88,89,88,1.0185886702563334,0.7906835850918607,-0.04581971123278508,88,1.009160894228171,0.7856099957235614,-0.041625334805450886,88,1.0185886702563332,0.7906835850918607,-0.04581971123278505
common,full,1,FOOD_COST_R12,90,88,89,88,1.0185886702563334,0.7906835850918607,-0.04581971123278508,88,1.009160894228171,0.7856099957235614,-0.041625334805450886,88,1.0185886702563332,0.7906835850918607,-0.04581971123278505
common,full,2,FOOD_DOMESTIC_PIPELINE_R14,90,86,90,86,1.200753249842228,0.907276382260164,0.16536019838179047,86,1.8181154032433289,1.3442677244690653,0.28370727590917055,86,1.8639904999241999,1.3674417634651965,0.2874468315671153
common,full,2,FOOD_OWN_LEVEL_AR_R14,90,86,90,86,1.178851506042237,0.9097028588156026,-0.03344405971176831,86,1.8785559776073972,1.3912635284391177,-0.08617554412501471,86,1.9084558937341618,1.4062815592513682,-0.09589485452777825
common,full,2,INDEPENDENT_BRIDGE,90,86,88,86,1.0664908610910522,0.8282837474376263,0.055415478457449235,86,1.5839297299887536,1.2564677478983497,0.010133059919016819,86,1.6128172822220923,1.2722121064850678,0.00254647559923013
common,full,2,FOOD_TREND_R12,90,86,88,86,1.0664908610910522,0.8282837474376263,0.055415478457449235,86,1.5839297299887536,1.2564677478983497,0.010133059919016819,86,1.6128172822220923,1.2722121064850678,0.00254647559923013
common,full,2,FOOD_COST_R12,90,86,88,86,1.0664908610910522,0.8282837474376263,0.055415478457449235,86,1.5839297299887536,1.2564677478983497,0.010133059919016819,86,1.6128172822220923,1.2722121064850678,0.00254647559923013
common,full,3,FOOD_DOMESTIC_PIPELINE_R14,90,84,90,84,1.3514129455805628,1.0072395953233264,0.2070313766945426,84,2.7569984176046525,1.9699496352426105,0.5151066008980206,84,2.8877319823910663,2.0312253006729586,0.5367458070142925
common,full,3,FOOD_OWN_LEVEL_AR_R14,90,84,90,84,1.2308008573402636,0.9692655020532912,-0.019052216253124716,84,2.6877113089662314,2.0072472425394388,-0.07929918488914857,84,2.7523854742419434,2.040006698538404,-0.09361411427479817
common,full,3,INDEPENDENT_BRIDGE,90,84,87,84,1.111524169009489,0.8388656890689904,0.003839660469049106,84,2.133875527109243,1.6387814467974988,0.026178636727036537,84,2.196256000584246,1.6710186797709778,0.011103330157272604
common,full,3,FOOD_TREND_R12,90,84,87,84,1.111524169009489,0.8388656890689904,0.003839660469049106,84,2.133875527109243,1.6387814467974988,0.026178636727036537,84,2.196256000584246,1.6710186797709778,0.011103330157272604
common,full,3,FOOD_COST_R12,90,84,87,84,1.111524169009489,0.8388656890689904,0.003839660469049106,84,2.133875527109243,1.6387814467974988,0.026178636727036537,84,2.196256000584246,1.6710186797709778,0.011103330157272604
common,full,4,FOOD_DOMESTIC_PIPELINE_R14,90,83,90,83,1.4964568392795232,1.1121529079761345,0.2532641321850653,83,3.890776713499347,2.6344443647827824,0.7710198768452196,83,4.18157596142383,2.7595991233313297,0.8278505797106072
common,full,4,FOOD_OWN_LEVEL_AR_R14,90,83,90,83,1.2920906623794233,1.015412027152279,-0.002029642914066542,83,3.5848103251866803,2.640703142675523,-0.07972079705794292,83,3.70054321275802,2.7014841108985905,-0.09989427888514359
common,full,4,INDEPENDENT_BRIDGE,90,83,87,83,1.1915344780966923,0.9407442245900948,0.013535154097631718,83,2.687336671172514,2.0232249368826656,0.02410617300751639,83,2.788800579313953,2.0749729163123103,-0.01049826555423482
common,full,4,FOOD_TREND_R12,90,83,87,83,1.2305581294635526,0.9845145536317496,0.06925565304833961,83,2.728879621236001,2.0090671473759856,0.07903112632626304,83,2.8306353449311588,2.0615733700906875,0.05110161309402533
common,full,4,FOOD_COST_R12,90,83,87,83,1.2281341027248902,0.9820192014882,0.09219827369852157,83,2.7338017508025634,2.019762482079486,0.10146008169639024,83,2.8376497510583554,2.0737011176453497,0.0757461402319579
common,full,5,FOOD_DOMESTIC_PIPELINE_R14,90,82,90,82,1.690740524790005,1.2146271265282549,0.29531228090148326,82,5.245893073859817,3.4732134957410237,1.0747498601180134,82,5.812593788239625,3.70284515568423,1.1979831559629261
common,full,5,FOOD_OWN_LEVEL_AR_R14,90,82,90,82,1.3611812188240886,1.0678045196983135,0.0019634720825788625,82,4.557766819664294,3.4248806794712285,-0.08019367825654218,82,4.736699958470529,3.5251481635817346,-0.10409247681569947
common,full,5,INDEPENDENT_BRIDGE,90,82,87,82,1.1939851987687071,0.940390825895129,0.0018743277137334173,82,3.3162205713968382,2.477171412155442,0.02215230369528791,82,3.46426772911708,2.5529318177330516,-0.03446356434310675
common,full,5,FOOD_TREND_R12,90,82,87,82,1.2855194494392765,1.0314634427556992,0.06303476500551182,82,3.44290704222832,2.5837024867043574,0.14795800455993632,82,3.59193494114509,2.663475403568581,0.10861800422967234
common,full,5,FOOD_COST_R12,90,82,87,82,1.2868106854066734,1.0296738818144284,0.08217899910470947,82,3.451093561272786,2.597555406468672,0.1902057320447746,82,3.6045420000275374,2.680239590979481,0.15595590948486093
common,full,6,FOOD_DOMESTIC_PIPELINE_R14,90,81,90,81,1.9302135459291363,1.2997148575855808,0.35692684393974966,81,6.869390942187263,4.456566199779843,1.435599434918223,81,7.900399754726318,4.842166689341012,1.6709189555673292
common,full,6,FOOD_OWN_LEVEL_AR_R14,90,81,90,81,1.4007712614068097,1.121963182996403,0.01816384525174787,81,5.591144860730235,4.2123523634879,-0.08216749080112641,81,5.850351170393155,4.362917057039516,-0.10827372991757862
common,full,6,INDEPENDENT_BRIDGE,90,81,87,81,1.2002544367011965,0.9463459722039701,0.007552084535866088,81,4.052166911633145,3.0022922574890374,0.02087333139625313,81,4.258192550435997,3.1073382730040056,-0.06179393218776875
common,full,6,FOOD_TREND_R12,90,81,87,81,1.3170063423001823,1.062399932680129,0.06791541968752499,81,4.317376977636758,3.2927825924161604,0.22047685717229765,81,4.528899132597614,3.4095657741913636,0.16963605278835708
common,full,6,FOOD_COST_R12,90,81,87,81,1.3202354959630171,1.0594643616588342,0.08374171079115285,81,4.330140742443494,3.31529837793515,0.2799065799315474,81,4.549224687374967,3.4378844838376916,0.2375904014558116
common,full,7,FOOD_DOMESTIC_PIPELINE_R14,90,80,90,80,2.165293721678289,1.3974636644487741,0.4319590368884823,80,8.71530236301039,5.492283967038878,1.8327524886928424,80,10.510957179742649,6.118986000553137,2.252269134341918
common,full,7,FOOD_OWN_LEVEL_AR_R14,90,80,90,80,1.4441003095770042,1.157076446227931,0.04415457087354814,80,6.644586693904443,5.02402018230962,-0.06469248401790442,80,7.008995644593237,5.243275523602227,-0.08978762478385494
common,full,7,INDEPENDENT_BRIDGE,90,80,87,80,1.2015073856512182,0.9444829865343248,0.021338795914759446,80,4.738451726041973,3.4597337323043376,-0.008588909511750165,80,5.0151260240466895,3.5992372879425174,-0.11924014124464404
common,full,7,FOOD_TREND_R12,90,80,87,80,1.3385994883194312,1.0850501334205664,0.0818350582720887,80,5.195371447013351,3.9510816818608077,0.27629139946089654,80,5.484932143903062,4.118998897519437,0.2159271559518729
common,full,7,FOOD_COST_R12,90,80,87,80,1.3436945679327614,1.0871934512003345,0.09508693655632348,80,5.217531233262992,4.002576760885153,0.3520390008962856,80,5.518462368043189,4.18050376821049,0.3039975832361468
common,full,8,FOOD_DOMESTIC_PIPELINE_R14,90,79,90,79,2.498353493039885,1.5366797732723105,0.5081791875363173,79,10.892883175770509,6.695898337611951,2.3236470351734626,79,13.869674411404434,7.670802453948187,3.0270363181152855
common,full,8,FOOD_OWN_LEVEL_AR_R14,90,79,90,79,1.4823892633050284,1.1753011252175096,0.057747412203769215,79,7.70959416563726,5.8625053002229475,-0.030718314105815034,79,8.2025854869573,6.163320925689479,-0.05138501514724251
common,full,8,INDEPENDENT_BRIDGE,90,79,87,79,1.2085266075100627,0.9522937626985485,0.025753611933435373,79,5.4078881200416955,3.9932715788837467,-0.03839563192703913,79,5.756351482144088,4.173528426345613,-0.17984976311848783
common,full,8,FOOD_TREND_R12,90,79,87,79,1.3467876334063398,1.0976220682486288,0.0833604898230021,79,6.078181954656158,4.688345666749782,0.3352661414132336,79,6.453952814236559,4.917343030301061,0.26740803248217626
common,full,8,FOOD_COST_R12,90,79,87,79,1.3546058801978176,1.1035431054787301,0.09432472687234425,79,6.115357582377373,4.739929030795815,0.4251149458588617,79,6.507169610274325,4.981738052336051,0.3736093540258999
common,full,9,FOOD_DOMESTIC_PIPELINE_R14,90,78,90,78,2.935166991960006,1.6606821505700713,0.6155705884449302,78,13.478377556858282,7.95245602783238,2.9004065962426626,78,18.28391687819971,9.420411258486986,4.034930036459321
common,full,9,FOOD_OWN_LEVEL_AR_R14,90,78,90,78,1.5347850144344937,1.1989224084484131,0.08899555484109813,78,8.797274759289662,6.688793363876821,0.0037963740376166875,78,9.450347062206106,7.090318496697293,-0.0038467887342781967
common,full,9,INDEPENDENT_BRIDGE,90,78,87,78,1.2081524163547996,0.9486390042236932,0.04194743931382885,78,6.034813841327858,4.354881194711664,-0.06488498838657669,78,6.465698415831368,4.578964766474938,-0.23678657623645777
common,full,9,FOOD_TREND_R12,90,78,87,78,1.381885935227269,1.1161669006163033,0.09814576073797951,78,6.975829568014321,5.446203051462876,0.3899488425668389,78,7.457666252533549,5.7516464404294565,0.31791729203784014
common,full,9,FOOD_COST_R12,90,78,87,78,1.3918207812252443,1.1249752908325314,0.10710289302240397,78,7.035055163795711,5.505530915228885,0.4913888203981281,78,7.538846050791563,5.826521830874419,0.43974869283113205
common,full,10,FOOD_DOMESTIC_PIPELINE_R14,90,77,90,77,3.448499819624023,1.8265292411183605,0.7198696568760958,77,16.55445979324704,9.378923267238523,3.5568197869839615,77,24.281178316723484,11.581755756801233,5.345012460686002
