origin,model,status,n_train,train_start,train_end,spectral_radius,anchor_month
2019-02,FOOD_DOMESTIC_PIPELINE_R14,estimated,37,2016-01,2019-01,0.9170735978783553,2019-01
2019-02,FOOD_OWN_LEVEL_AR_R14,estimated,37,2016-01,2019-01,0.9249524129938845,2019-01
2019-03,FOOD_DOMESTIC_PIPELINE_R14,estimated,38,2016-01,2019-02,0.9296323974080549,2019-02
2019-03,FOOD_OWN_LEVEL_AR_R14,estimated,38,2016-01,2019-02,0.9370228931875451,2019-02
2019-04,FOOD_DOMESTIC_PIPELINE_R14,estimated,39,2016-01,2019-03,0.9340139048892253,2019-03
2019-04,FOOD_OWN_LEVEL_AR_R14,estimated,39,2016-01,2019-03,0.9441027151557528,2019-03
2019-05,FOOD_DOMESTIC_PIPELINE_R14,estimated,40,2016-01,2019-04,0.9324999909389122,2019-04
2019-05,FOOD_OWN_LEVEL_AR_R14,estimated,40,2016-01,2019-04,0.9419597866249478,2019-04
2019-06,FOOD_DOMESTIC_PIPELINE_R14,estimated,41,2016-01,2019-05,0.9529858944924932,2019-05
2019-06,FOOD_OWN_LEVEL_AR_R14,estimated,41,2016-01,2019-05,0.9644984351534481,2019-05
2019-07,FOOD_DOMESTIC_PIPELINE_R14,estimated,42,2016-01,2019-06,0.9560659220502181,2019-06
2019-07,FOOD_OWN_LEVEL_AR_R14,estimated,42,2016-01,2019-06,0.9706402823740319,2019-06
2019-08,FOOD_DOMESTIC_PIPELINE_R14,estimated,43,2016-01,2019-07,0.948531883136785,2019-07
2019-08,FOOD_OWN_LEVEL_AR_R14,estimated,43,2016-01,2019-07,0.9690452933575825,2019-07
2019-09,FOOD_DOMESTIC_PIPELINE_R14,estimated,44,2016-01,2019-08,0.9465754313082344,2019-08
2019-09,FOOD_OWN_LEVEL_AR_R14,estimated,44,2016-01,2019-08,0.9727167871742675,2019-08
2019-10,FOOD_DOMESTIC_PIPELINE_R14,estimated,45,2016-01,2019-09,0.9424932851269785,2019-09
2019-10,FOOD_OWN_LEVEL_AR_R14,estimated,45,2016-01,2019-09,0.9657146665657348,2019-09
2019-11,FOOD_DOMESTIC_PIPELINE_R14,estimated,46,2016-01,2019-10,0.9449885723042941,2019-10
2019-11,FOOD_OWN_LEVEL_AR_R14,estimated,46,2016-01,2019-10,0.9691546164672217,2019-10
2019-12,FOOD_DOMESTIC_PIPELINE_R14,estimated,47,2016-01,2019-11,0.9616996719941167,2019-11
2019-12,FOOD_OWN_LEVEL_AR_R14,estimated,47,2016-01,2019-11,0.9777068746780975,2019-11
2020-01,FOOD_DOMESTIC_PIPELINE_R14,estimated,48,2016-01,2019-12,0.9896105439561613,2019-12
2020-01,FOOD_OWN_LEVEL_AR_R14,estimated,48,2016-01,2019-12,0.9781835559345607,2019-12
2020-02,FOOD_DOMESTIC_PIPELINE_R14,estimated,49,2016-01,2020-01,1.0131173417503836,2020-01
2020-02,FOOD_OWN_LEVEL_AR_R14,estimated,49,2016-01,2020-01,0.992504695538261,2020-01
2020-03,FOOD_DOMESTIC_PIPELINE_R14,estimated,50,2016-01,2020-02,0.9842106648230418,2020-02
2020-03,FOOD_OWN_LEVEL_AR_R14,estimated,50,2016-01,2020-02,0.9896779881402323,2020-02
2020-04,FOOD_DOMESTIC_PIPELINE_R14,estimated,51,2016-01,2020-03,1.0106618152445002,2020-03
2020-04,FOOD_OWN_LEVEL_AR_R14,estimated,51,2016-01,2020-03,1.000221302957298,2020-03
2020-05,FOOD_DOMESTIC_PIPELINE_R14,estimated,52,2016-01,2020-04,1.0103407364044443,2020-04
2020-05,FOOD_OWN_LEVEL_AR_R14,estimated,52,2016-01,2020-04,1.0088516164461785,2020-04
2020-06,FOOD_DOMESTIC_PIPELINE_R14,estimated,53,2016-01,2020-05,0.98634333503272,2020-05
2020-06,FOOD_OWN_LEVEL_AR_R14,estimated,53,2016-01,2020-05,1.007693164014916,2020-05
2020-07,FOOD_DOMESTIC_PIPELINE_R14,estimated,54,2016-01,2020-06,0.9708945078199944,2020-06
