month,clothing
2015-01,98.599999999999994
2015-02,97.400000000000006
2015-03,98.5
2015-04,101.3
2015-05,100.90000000000001
2015-06,100.40000000000001
2015-07,97.5
2015-08,97.700000000000003
2015-09,99.599999999999994
2015-10,102.7
2015-11,102.7
2015-12,102.7
2016-01,99.099999999999994
2016-02,98.099999999999994
2016-03,99.299999999999997
2016-04,102.09999999999999
2016-05,101.59999999999999
2016-06,100.59999999999999
2016-07,99.099999999999994
2016-08,98.5
2016-09,99.700000000000003
2016-10,103.59999999999999
2016-11,103.09999999999999
2016-12,102.7
2017-01,99
2017-02,97.900000000000006
2017-03,98.799999999999997
2017-04,101.90000000000001
2017-05,102
2017-06,100.40000000000001
2017-07,98.299999999999997
2017-08,97.700000000000003
2017-09,99.400000000000006
2017-10,101.5
2017-11,101.40000000000001
2017-12,100.40000000000001
2018-01,97.299999999999997
2018-02,96.799999999999997
2018-03,97.200000000000003
2018-04,99.700000000000003
2018-05,99.200000000000003
2018-06,98.400000000000006
2018-07,95.799999999999997
2018-08,95.200000000000003
2018-09,96.799999999999997
2018-10,99.099999999999994
2018-11,98.700000000000003
2018-12,97.400000000000006
2019-01,94.700000000000003
2019-02,93.400000000000006
2019-03,94
2019-04,96.400000000000006
2019-05,96
2019-06,95.299999999999997
2019-07,92.900000000000006
2019-08,92.299999999999997
2019-09,93.599999999999994
2019-10,97
2019-11,97.5
2019-12,97.599999999999994
2020-01,95.900000000000006
2020-02,97.700000000000003
2020-03,99.099999999999994
2020-04,100.5
2020-05,99.099999999999994
2020-06,99.5
2020-07,98
2020-08,97.299999999999997
2020-09,98.900000000000006
2020-10,101.5
2020-11,101.59999999999999
2020-12,99.900000000000006
2021-01,99.799999999999997
2021-02,99.900000000000006
2021-03,100.40000000000001
2021-04,101.3
2021-05,101.59999999999999
2021-06,103.5
2021-07,103.8
2021-08,105
2021-09,108.09999999999999
2021-10,112
2021-11,114.09999999999999
2021-12,115.40000000000001
2022-01,116.5
2022-02,117.2
2022-03,119.8
2022-04,122.40000000000001
2022-05,124.3
2022-06,125.2
2022-07,125.59999999999999
2022-08,126.3
2022-09,129.59999999999999
2022-10,134.09999999999999
2022-11,136.30000000000001
2022-12,137.19999999999999
2023-01,136.40000000000001
2023-02,135.90000000000001
2023-03,137.69999999999999
2023-04,139.19999999999999
2023-05,140
2023-06,139.90000000000001
2023-07,139.80000000000001
2023-08,140.5
2023-09,141.90000000000001
2023-10,145
2023-11,146.69999999999999
2023-12,146.19999999999999
2024-01,144.80000000000001
2024-02,144
2024-03,145
2024-04,144.80000000000001
2024-05,145
2024-06,144.30000000000001
2024-07,143
2024-08,143.40000000000001
2024-09,144.19999999999999
2024-10,145.40000000000001
2024-11,146.19999999999999
2024-12,145.80000000000001
2025-01,143.30000000000001
2025-02,142.59999999999999
2025-03,143.09999999999999
2025-04,142.80000000000001
2025-05,142.80000000000001
2025-06,142.59999999999999
2025-07,141.59999999999999
2025-08,141.80000000000001
2025-09,142.59999999999999
2025-10,143.30000000000001
2025-11,143.80000000000001
2025-12,143.30000000000001
2026-01,139.69999999999999
2026-02,139.69999999999999
2026-03,140
2026-04,140.19999999999999
2026-05,140.19999999999999
2026-06,139.69999999999999
2026-07,138.19999999999999
