origin,H,actual,FOOD_NORM_SHIFT_R24,CAND,PPI,AGRI,TREND,CONST,MARGIN,MARGIN_NC,MARGIN_T
2019-05,3,-0.45977092486293625,-0.3545754771857288,0.23369446291585683,0.45141264575765266,0.34571288395234456,-0.2246741261755426,-0.5302368085870549,-0.43619500392520716,-0.45954735894367227,0.6463123229287334
2019-05,6,1.0041161499490623,0.7641149575424282,1.6005612786243704,1.9101293198525486,1.7598374710356264,0.9798269498470747,0.42142986513418257,0.6077196393261536,0.5621802835010219,2.187252298330179
2019-05,12,6.137986811656255,2.7849687807889514,3.621415101870894,3.930983143099072,3.7806912942821502,3.0006807730935985,2.4422836883807064,2.628573462572677,2.583034106747546,4.208106121576703
2019-06,3,-1.3806017723791868,-0.029666794138083485,0.1505692055310381,0.4427967428591285,0.2919031178751411,-0.2739743616097016,-0.07540039505001411,-0.1292996715413185,-0.17415305099632095,0.7173069837199582
2019-06,6,1.361800436844056,0.9878210700781029,1.244094132107635,1.6596051617460137,1.4450532887219067,0.5868005987075511,0.8967782317937877,0.795199497843277,0.7076011332880066,2.049924410470006
2019-06,12,5.252653728713258,2.8548974022975155,3.1111704643270475,3.5266814939654267,3.3121296209413194,2.4538769309269637,2.7638545640132004,2.6622758300626894,2.574677465507419,3.9170007426894182
2019-07,3,1.1102230246251565e-16,0.4682760525786983,0.7332151680107954,0.8783205114149619,0.8309752176583257,0.1634507197555084,0.4682760525786983,0.3768204456647846,0.34654306278615704,1.181231475005752
2019-07,6,4.229150249961526,2.1576430058184908,2.534353310573504,2.740674970726303,2.673355881166086,1.6567449641500591,2.1576430058184908,1.9802689691615627,1.9208125037312205,3.1713764970819582
2019-07,12,4.317217186520889,2.786403328733457,3.1631136334884697,3.3694352936412693,3.3021162040810523,2.2855052870650256,2.786403328733457,2.6090292920765283,2.549572826646186,3.800136819996924
2019-08,3,1.4638870748119985,0.9873674605411713,0.9889815350511625,1.3004061632322723,1.1403508063386585,0.6824803518104114,0.9873674605411713,0.891650962804503,0.909203579115737,1.609202955979209
2019-08,6,4.5052663940943205,2.9624871554027483,2.964782167596642,3.4075890607916577,3.1800103502085504,2.461065455581543,2.9624871554027483,2.7767088170163925,2.8102933927058626,3.846659500478708
2019-08,12,4.063764573182649,2.5525523965298014,2.5548474087236954,2.9976543019187103,2.770075591335604,2.0511306967085963,2.5525523965298014,2.366774058143446,2.4003586338329157,3.4367247416057607
2019-09,3,2.7424022092232425,0.7988545460383332,0.4174292871372046,0.8772147187660757,0.5977769286954304,0.4332884027312567,0.7988545460383332,0.6861173140547976,0.7372030157454831,1.1619531542691433
2019-09,6,5.936995073020551,2.152769704935572,1.6104306649355293,2.2641880755328305,1.866862467776132,1.5486647679705048,2.152769704935572,1.9333232378294647,2.0324356886334076,2.6690505385137544
2019-09,12,3.3716177683121704,2.384921607433421,1.8425825674333791,2.4963399780306803,2.099014370273981,1.7808166704683543,2.384921607433421,2.1654751403273145,2.264587591131257,2.9012024410116046
2019-10,3,4.229150249961526,1.7397761495342905,1.9260869422706273,2.089362689870082,2.0342494388553063,1.5969757969468716,1.6647809143870704,1.6455969983059469,1.7166666034966378,2.3990242793312024
2019-10,6,5.715841383994886,1.7465885901147178,2.0114992485366967,2.2436569521546708,2.165292798368037,1.5130438706684397,1.597794103847381,1.5650911980819726,1.7019047828151503,2.6839570246697013
2019-10,12,3.166252732255534,2.6048025457221367,2.8697132041441153,3.10187090776209,3.023506753975456,2.3712578262758592,2.4560080594548004,2.423305153689392,2.560118738422569,3.542170980277121
2019-11,3,3.041379319282322,1.9537554685235445,1.550024747819323,2.1291282511722973,1.7896453860898827,1.7016824174421714,1.9286299895218242,1.8521680046234856,1.9009532740704551,2.463177244938655
2019-11,6,5.133870661707194,2.1999839773741723,1.6259293588728574,2.449342152702868,1.9666399539138095,1.7867223154935998,2.1498571371168467,2.0035585231179716,2.097602000238615,2.9243180657144077
2019-11,12,1.8893949359961855,2.5117235260200337,1.9376689075187183,2.7610817013487288,2.2783795025596705,2.098461864139461,2.4615966857627076,2.3152980717638325,2.409341548884476,3.236057614360268
2019-12,3,3.1945928637973084,1.4597075110369038,0.9522651423296578,1.3455396216012308,1.124714551037884,0.9681357655741407,1.4597075110369038,1.3610538980049691,1.3809113844390777,1.7361905037322354
2019-12,6,3.890853291869202,2.002252363755163,1.2807327457495472,1.8399198959638152,1.5259342487565566,1.189048227852895,2.002252363755163,1.8098033768257635,1.8482545892411408,2.3953766189938372
2019-12,12,-0.09021200431379217,2.7335062074862817,2.0119865894806663,2.5711737396949337,2.2571880924876755,1.9203020715840136,2.7335062074862817,2.541057220556882,2.579508432972259,3.126630462724956
2020-01,3,1.4866911340333604,0.17645215590811147,-0.4002006298020915,0.16458526656801398,-0.20152318630187982,-0.359045225386731,0.17645215590811147,0.11762592819974821,0.11464006220719575,0.6927934485151448
2020-01,6,0.08806693655936271,0.8183157612163173,-0.0016124184653775187,0.8014425279358662,0.2808820715114859,-0.07355571681303841,0.8183157612163173,0.7031417322994005,0.6971173206557459,1.5524885366419428
2020-01,12,0.6148460300452441,2.967536462273782,2.147608282592087,2.9506632289933306,2.430102772568951,2.075664984244426,2.967536462273782,2.852362433356865,2.8463380217132106,3.7017092376994074
2020-02,3,2.0924913424248714,0.3449154122199656,-0.4010821566532623,0.12903127668455205,-0.314928080546087,-0.2670313106601415,0.3449154122199656,0.27744312318483516,0.26772455936406464,0.5927057941843941
2020-02,6,-0.44150182091167167,-0.28131401822833935,-1.3420293114699602,-0.5882742734427555,-1.2195289845050705,-1.3208545891204717,-0.28131401822833935,-0.414551212645183,-0.4338716609309429,0.07101293112733242
2020-02,12,0.6148460300452436,2.9164846184681514,1.8557693252265308,2.6095243632537355,1.9782696521914207,1.8769440475760193,2.9164846184681514,2.783247424051308,2.7639269757655485,3.2688115678238234
2020-03,3,0.6962604280718937,0.43128975097245675,-0.26552544895027297,0.2969771902041173,-0.3401752860131365,-0.09068743383760981,0.43128975097245675,0.3433950263911863,0.3154561343521425,0.6665705893514968
2020-03,6,-2.5653773047083805,-0.1570364644079518,-1.1478205767980831,-0.34801213675043446,-1.2539633138718422,-1.0363050580841167,-0.1570364644079518,-0.32998049449370054,-0.3852188643712737,0.17750347766224583
2020-03,12,-0.2623525772384605,2.5672643794251484,1.576480267035017,2.3762887070826655,1.4703375299612578,1.6879957857489833,2.5672643794251484,2.394320349339399,2.339081979461826,2.9018043214953457
2020-04,3,-1.3986241974739975,0.6025047528322376,-0.04780842384355771,0.31393147754373396,-0.20585169399527525,-0.05979740552377222,0.6025047528322376,0.5845091963016555,0.5798421626302398,0.7125705307997183
2020-04,6,-2.5495886517393513,0.7779841460333052,-0.14667990205259107,0.36766902023246417,-0.3713976767995646,-0.35508063144387325,0.7779841460333052,0.7420986773749161,0.7327807069781316,0.9344839240808169
2020-04,12,-0.08684325339540877,2.8177304356952684,1.8930663876093718,2.4074153098944273,1.668348612862398,1.6846656582180901,2.8177304356952684,2.7818449670368794,2.7725269966400945,2.9742302137427803
2020-05,3,-2.533993163336543,-0.6859453183825499,-1.4934192940577165,-1.1929762552198417,-1.764471185527524,-1.4045285944596881,-0.6859453183825499,-0.6859453183825499,-0.6859453183825499,-0.8372064218073425
2020-05,6,-3.2444757257110086,0.23341693097754468,-0.9147101281855827,-0.4875176823379798,-1.3001120363692151,-1.0190955758208928,0.23341693097754468,0.23341693097754468,0.23341693097754468,0.018342549545417586
2020-05,12,-1.302667140000855,2.7475350812260335,1.599408022062906,2.0266004679105096,1.214006113879274,1.4950225744275962,2.7475350812260335,2.7475350812260335,2.7475350812260335,2.5324606997939068
2020-06,3,-3.261637732780274,-0.7740551149871853,-1.585576630553869,-1.4388725083944611,-1.8004740140201625,-1.451747897621251,-0.7740551149871853,-0.7740551149871853,-0.7740551149871853,-1.214674356572029
2020-06,6,-3.9810652961829947,0.317380297643109,-0.8365018573032694,-0.6279069336078615,-1.1498991614394338,-0.862449841431632,0.317380297643109,0.317380297643109,0.317380297643109,-0.3091251864853408
2020-06,12,-1.0462170406983478,2.450578034415331,1.2966958794689525,1.5052908031643604,0.9832985753327881,1.2707478953405897,2.450578034415331,2.450578034415331,2.450578034415331,1.824072550286881
2020-07,3,-1.1509644542653539,-0.1145688276814516,-0.8889252565354463,-0.7442787948095905,-1.1532320136362406,-0.6855695392746721,-0.1145688276814516,-0.14749663558491366,-0.15075558174588527,-0.6181006827342455
2020-07,6,0.5267790934858807,1.8685712446488816,0.7675331973721078,0.9732023851385592,0.39172202711941606,0.8876487651496154,1.8685712446488816,1.8029466789260422,1.7964235514691191,1.1526118882456904
2020-07,12,0.7891316707243206,2.3246953593950463,1.2236573121182721,1.4293264998847237,0.8478461418655805,1.34377287989578,2.3246953593950463,2.2590707936722065,2.2525476662152837,1.608736002991855
2020-08,3,-0.7104825623744654,0.7478086091832146,0.1294891376951992,0.28538404138071305,-0.19331975883042996,0.35107038426419357,0.7478086091832146,0.583527715848478,0.598208706667107,0.3473511113226796
2020-08,6,1.0563478509569153,2.8209453684819854,1.9417723699599634,2.1634354361378034,1.4827784702125846,2.1485756059633956,2.8209453684819854,2.498462651153613,2.5266251994069107,2.251544863711537
2020-08,12,1.580366517312524,2.317542070846283,1.438369072324261,1.660032138502101,0.9793751725768821,1.6451723083276937,2.317542070846283,1.9950593535179113,2.0232219017712088,1.7481415660758346
2020-09,3,-0.7194275634027202,1.0200488231838951,0.3349158890699787,0.4749145136940479,0.008844928498371207,0.6346218947933542,1.0200488231838951,0.8526519936969578,0.8872920667382651,0.5024233062911709
2020-09,6,2.30302472746992,2.694708272415913,1.7205348817226875,1.919595426110036,1.2568799215162492,2.0405643813605208,2.694708272415913,2.3658534510273412,2.433400067387792,1.9587094905840705
2020-09,12,1.864235080927962,2.3959083740114786,1.4217349833182538,1.6207955277056025,0.9580800231118148,1.741764482956087,2.3959083740114786,2.0670535526229075,2.1346001689833582,1.6599095921796363
