origin,config,prediction,status,n_train,stage,family,band
2009-01,l0.1,,insufficient_history,33,signal,services,0
2009-01,l1,,insufficient_history,33,signal,services,0
2009-01,l10,,insufficient_history,33,signal,services,0
2009-02,l0.1,,insufficient_history,34,signal,services,0
2009-02,l1,,insufficient_history,34,signal,services,0
2009-02,l10,,insufficient_history,34,signal,services,0
2009-03,l0.1,,insufficient_history,35,signal,services,0
2009-03,l1,,insufficient_history,35,signal,services,0
2009-03,l10,,insufficient_history,35,signal,services,0
2009-04,l0.1,,insufficient_history,36,signal,services,0
2009-04,l1,,insufficient_history,36,signal,services,0
2009-04,l10,,insufficient_history,36,signal,services,0
2009-05,l0.1,,insufficient_history,37,signal,services,0
2009-05,l1,,insufficient_history,37,signal,services,0
2009-05,l10,,insufficient_history,37,signal,services,0
2009-06,l0.1,,insufficient_history,38,signal,services,0
2009-06,l1,,insufficient_history,38,signal,services,0
2009-06,l10,,insufficient_history,38,signal,services,0
2009-07,l0.1,,insufficient_history,39,signal,services,0
2009-07,l1,,insufficient_history,39,signal,services,0
2009-07,l10,,insufficient_history,39,signal,services,0
2009-08,l0.1,,insufficient_history,40,signal,services,0
2009-08,l1,,insufficient_history,40,signal,services,0
2009-08,l10,,insufficient_history,40,signal,services,0
2009-09,l0.1,,insufficient_history,41,signal,services,0
2009-09,l1,,insufficient_history,41,signal,services,0
2009-09,l10,,insufficient_history,41,signal,services,0
2009-10,l0.1,,insufficient_history,42,signal,services,0
2009-10,l1,,insufficient_history,42,signal,services,0
2009-10,l10,,insufficient_history,42,signal,services,0
2009-11,l0.1,,insufficient_history,43,signal,services,0
2009-11,l1,,insufficient_history,43,signal,services,0
2009-11,l10,,insufficient_history,43,signal,services,0
2009-12,l0.1,,insufficient_history,44,signal,services,0
2009-12,l1,,insufficient_history,44,signal,services,0
2009-12,l10,,insufficient_history,44,signal,services,0
2010-01,l0.1,,insufficient_history,45,signal,services,0
2010-01,l1,,insufficient_history,45,signal,services,0
2010-01,l10,,insufficient_history,45,signal,services,0
2010-02,l0.1,,insufficient_history,46,signal,services,0
2010-02,l1,,insufficient_history,46,signal,services,0
2010-02,l10,,insufficient_history,46,signal,services,0
2010-03,l0.1,,insufficient_history,47,signal,services,0
2010-03,l1,,insufficient_history,47,signal,services,0
2010-03,l10,,insufficient_history,47,signal,services,0
2010-04,l0.1,0.4447600323783541,estimated,48,signal,services,0
2010-04,l1,0.13812216299745034,estimated,48,signal,services,0
2010-04,l10,0.029234662265971555,estimated,48,signal,services,0
2010-05,l0.1,0.5401757616215123,estimated,49,signal,services,0
2010-05,l1,0.23207222400388222,estimated,49,signal,services,0
2010-05,l10,0.052249698565217856,estimated,49,signal,services,0
2010-06,l0.1,0.2466490657582066,estimated,50,signal,services,0
2010-06,l1,0.2303522787613268,estimated,50,signal,services,0
2010-06,l10,0.07532967281127187,estimated,50,signal,services,0
2010-07,l0.1,0.19067778372474786,estimated,51,signal,services,0
2010-07,l1,0.21288064804890838,estimated,51,signal,services,0
2010-07,l10,0.07241405837584221,estimated,51,signal,services,0
2010-08,l0.1,0.024075457579724374,estimated,52,signal,services,0
2010-08,l1,0.09390059675995883,estimated,52,signal,services,0
2010-08,l10,0.043760248153444446,estimated,52,signal,services,0
2010-09,l0.1,0.17697289363767685,estimated,53,signal,services,0
2010-09,l1,0.15126856381879364,estimated,53,signal,services,0
2010-09,l10,0.05265361074109117,estimated,53,signal,services,0
2010-10,l0.1,0.11412887312017354,estimated,54,signal,services,0
2010-10,l1,0.20282931567160062,estimated,54,signal,services,0
2010-10,l10,0.0688447744035647,estimated,54,signal,services,0
2010-11,l0.1,0.01198233410501689,estimated,55,signal,services,0
2010-11,l1,0.16265379134281505,estimated,55,signal,services,0
2010-11,l10,0.06015420593103272,estimated,55,signal,services,0
2010-12,l0.1,0.33814391800618177,estimated,56,signal,services,0
2010-12,l1,0.19212373530313526,estimated,56,signal,services,0
2010-12,l10,0.04297089372620369,estimated,56,signal,services,0
2011-01,l0.1,0.3169694619980855,estimated,57,signal,services,0
2011-01,l1,0.09972635961445754,estimated,57,signal,services,0
2011-01,l10,0.017735983743499443,estimated,57,signal,services,0
2011-02,l0.1,0.32012780343541647,estimated,58,signal,services,0
2011-02,l1,0.026645063786684322,estimated,58,signal,services,0
2011-02,l10,-0.004821765880377295,estimated,58,signal,services,0
2011-03,l0.1,-0.07722216978035354,estimated,59,signal,services,0
2011-03,l1,-0.0428211990776224,estimated,59,signal,services,0
2011-03,l10,-0.0014109142506436411,estimated,59,signal,services,0
2011-04,l0.1,-0.05667610054325894,estimated,60,signal,services,0
2011-04,l1,-0.02443829565883547,estimated,60,signal,services,0
2011-04,l10,0.003822832048169084,estimated,60,signal,services,0
2011-05,l0.1,0.0049890347052983,estimated,61,signal,services,0
2011-05,l1,0.013911907740418714,estimated,61,signal,services,0
2011-05,l10,0.012934385647870047,estimated,61,signal,services,0
2011-06,l0.1,0.10609828602913912,estimated,62,signal,services,0
