origin,last_target,available_from,actual,stage,family,band
2018-04,2018-07,2018-08-09 09:00:00,0.7100715243594746,signal,services,0
2018-05,2018-08,2018-09-10 09:00:00,0.837150545895843,signal,services,0
2018-06,2018-09,2018-10-09 09:00:00,0.7398291874395122,signal,services,0
2018-07,2018-10,2018-11-09 09:00:00,0.6109409969747768,signal,services,0
2018-08,2018-11,2018-12-10 09:00:00,-0.1285445296429164,signal,services,0
2018-09,2018-12,2019-01-10 09:00:00,-0.03206658301445575,signal,services,0
2018-10,2019-01,2019-02-13 09:00:00,0.7371684493555928,signal,services,0
2018-11,2019-02,2019-03-11 09:00:00,0.4794033800820747,signal,services,0
2006-01,2006-04,2006-05-20 09:00:00,0.20449904877276381,signal,goods,0
2006-02,2006-05,2006-06-20 09:00:00,0.0,signal,goods,0
2006-03,2006-06,2006-07-20 09:00:00,-0.27350580797284874,signal,goods,0
2006-04,2006-07,2006-08-20 09:00:00,-0.47842448612302624,signal,goods,0
2006-05,2006-08,2006-09-20 09:00:00,-0.6491024490555355,signal,goods,0
2006-06,2006-09,2006-10-20 09:00:00,-0.477898511663283,signal,goods,0
2006-07,2006-10,2006-11-20 09:00:00,0.44523571982484444,signal,goods,0
2006-08,2006-11,2006-12-20 09:00:00,0.34198594369841784,signal,goods,0
2006-09,2006-12,2007-01-20 09:00:00,0.3415656686260107,signal,goods,0
2006-10,2007-01,2007-02-20 09:00:00,0.13643739157027168,signal,goods,0
2006-11,2007-02,2007-03-20 09:00:00,0.03392577822868326,signal,goods,0
2006-12,2007-03,2007-04-20 09:00:00,-0.034449813603434354,signal,goods,0
2007-01,2007-04,2007-05-20 09:00:00,0.033161492262499426,signal,goods,0
2007-02,2007-05,2007-06-20 09:00:00,0.6466609874920037,signal,goods,0
2007-03,2007-06,2007-07-20 09:00:00,0.987566777468937,signal,goods,0
2007-04,2007-07,2007-08-20 09:00:00,0.16956574134614977,signal,goods,0
2007-05,2007-08,2007-09-20 09:00:00,-0.4418490675635589,signal,goods,0
2007-06,2007-09,2007-10-20 09:00:00,-0.3063132397270234,signal,goods,0
2007-07,2007-10,2007-11-20 09:00:00,-0.06889000646736099,signal,goods,0
2007-08,2007-11,2007-12-20 09:00:00,0.9496553479405603,signal,goods,0
2007-09,2007-12,2008-01-20 09:00:00,1.2207338790289104,signal,goods,0
