horizon,policy,model,n,rmse,mae,bias,fallback_rate
3,paper_independent,TVW3_leaf_QRF,177,0.7322813699232914,0.4132194450652039,-0.0369032546720424,0.0
3,paper_full,TVW3_leaf_QRF,177,0.7366474067339485,0.4066801939050118,-0.038552573751174955,0.0
3,paper_sentiment,TVW3_leaf_QRF,177,0.737451938300222,0.4113234250933114,-0.043721938200672245,0.0
3,common,AR3,177,0.7447284389996358,0.3950862824787006,-0.0733122537948116,0.0
3,common,RW,177,0.9812148624166038,0.5140574859284975,0.003388532859052752,0.0
6,paper_full,TVW3_leaf_QRF,177,0.6698016666266337,0.38757701795805805,-0.06340774638423567,0.0
6,paper_independent,TVW3_leaf_QRF,177,0.6703078142904509,0.3765658168647708,-0.06446118306203262,0.0
6,paper_sentiment,TVW3_leaf_QRF,177,0.6739730823656604,0.3911767784545197,-0.06569921311445245,0.0
6,common,AR3,177,0.7145693223619128,0.3808212612709688,-0.06031299672638143,0.0
6,common,RW,177,0.8773382212566118,0.5225786195076185,-0.00147529233583106,0.0
9,paper_independent,TVW3_leaf_QRF,177,0.6820064512867795,0.3903572027274342,-0.0821352744123767,0.0
9,paper_full,TVW3_leaf_QRF,177,0.6863348731705275,0.3887273018778103,-0.07304150412116996,0.0
9,paper_sentiment,TVW3_leaf_QRF,177,0.6890264419776108,0.3886349600936979,-0.07692407524249034,0.0
9,common,AR3,177,0.7378153797342846,0.4040504936886095,-0.06924807511663349,0.0
9,common,RW,177,0.9597173862971463,0.5320814050799973,-0.007331182936144952,0.0
12,common,AR3,177,0.6475997912705796,0.37957604170114995,-0.027076716803283735,0.0
12,paper_sentiment,TVW3_leaf_QRF,177,0.6757588835455463,0.3952472487803418,-0.028342512848932227,0.0
12,paper_independent,TVW3_leaf_QRF,177,0.6798845462829199,0.40369562513195084,-0.023038132229048783,0.0
12,paper_full,TVW3_leaf_QRF,177,0.6881695595285445,0.40661144613184397,-0.023194785506564168,0.0
12,common,RW,177,0.6888995314156252,0.4118677866861826,-5.91837500795142e-05,0.0
