period,cpi_mm,a6_11,a6_12,a6_13,a6_14,a6_18,a6_20,a6_22,a6_23,a6_25,a6_26,a6_29,a6_32,a6_36,a6_38,a6_43,a6_44,a6_45,a6_46,a6_47,a6_48,a6_49,a6_53,a6_54,a6_55,a6_56,a6_57,a6_58,a6_59,a6_60,a6_61,a6_64,a6_65,a6_66,a6_69,a6_70,a6_72
2002-05,-0.1290322580645098,7.363355183447601,60.52179748,,,86.2,-2.8,,,,,0.8,46.8,26.5,-6.3,,-0.2695417789757459,,,,,,5.30377176545915,3.81,3.75,92.08,80.08,,,25.67363636363636,,,,,3.076923076923077,3.3461538461538463,36.5
2002-06,-0.387596899224818,7.24435008584821,60.0594619,,,84.6,-2.6,,,,,3.2,44.1,25.0,-3.5,,-0.5383580080753569,,,,,,5.12790495157242,3.65,3.75,93.75,81.23999999999998,,,24.613888888888887,,,,,2.972727272727272,3.1,28.3
2002-07,0.5188067444876765,7.197771729122027,61.4815209,,,84.2,-1.3,,,,,2.9,53.1,26.0,-5.2,,-0.8053691275167751,,,,,,4.79384771802209,3.08,3.0,95.77,83.4,,,25.68086956521739,,,,,2.958333333333333,2.75,20.8
2002-08,-0.1290322580645098,7.20137341705837,60.5254081,,,82.9,-1.8,,,,,3.2,38.6,24.6,-6.1,,-1.3440860215053752,,,,,,4.56783835825167,3.04,3.0,91.99,80.2,,,26.354761904761908,,,,,3.0,2.6545454545454543,22.5
2002-09,-0.5167958656330796,7.219234487760019,61.81598113,,,83.7,-0.2,,,,,0.5,37.7,23.2,-4.3,,-1.21293800539084,,,,,,4.47521060705185,2.88,3.0,93.46,81.65999999999998,,,28.29047619047619,,,,,2.94,3.07,47.9
2002-10,-0.3896103896103842,7.235378515485363,62.4325773,,,81.9,0.8,,,,,4.5,41.6,18.9,-5.3,,-1.0781671159029615,,,,,,4.28704513744874,2.72,3.0,92.05,80.14,,,27.358260869565207,,,,,2.908333333333333,2.5083333333333333,42.2
2002-11,-0.1303780964797996,7.253109603723712,63.42361108,,,80.9,-3.3,,,,,1.6,45.5,19.4,-3.6,,-0.8042895442359144,,,,,,4.21496179841814,2.75,2.75,92.05,79.76,,,24.26428571428572,,,,,2.7545454545454544,2.3818181818181814,33.1
2002-12,0.1305483028720688,7.295104290922882,63.592523,,,79.8,-2.2,,,,,1.5,46.5,20.5,-1.8,,-0.5383580080753569,,,,,,4.147168590742,2.59,2.75,90.49,78.76999999999998,,,27.479000000000003,,,,,2.833333333333333,2.325,31.2
2003-01,0.5215123859191539,7.345556348601122,61.89998822,,,80.0,-0.6,,,,,3.9,41.7,20.4,-8.0,,-0.6747638326585648,,,,,,4.09925269229072,2.55,2.5,90.27,78.45,,,30.33909090909091,,,,,2.7,2.525,36.1
2003-02,0.2594033722438382,7.365055412013434,61.52468115,,,81.1,-0.7,,,,,4.3,40.8,19.9,-3.6,,-0.9421265141319024,,,,,,3.80975702404976,2.39,2.5,89.95,78.36,,,32.1775,,,,,2.7916666666666665,2.4416666666666664,37.3
2003-03,-0.1293661060801976,7.372390805177273,61.40273639,,,82.0,-1.3,,,,,5.2,41.5,18.0,0.0,,-0.6720430107526876,,,,,,3.74575068553289,2.4,2.5,90.04999999999998,78.31999999999998,,,29.56047619047619,,,,,2.8545454545454545,2.4818181818181824,39.1
2003-04,0.2590673575129543,7.420666321564014,62.95787252,,,85.1,-1.1,,,,,8.7,43.7,20.1,-4.6,,-0.6711409395973145,,,,,,3.92259624742326,2.48,2.5,90.65,78.84999999999998,,,24.753499999999995,,,,,2.707692307692308,2.5615384615384618,33.3
2003-05,0.0,7.515465838691264,61.84312685,,,83.9,-1.1,,,,,5.5,40.6,22.6,-7.6,,-0.8108108108108025,,,,,,3.72971761226654,2.42,2.5,92.62,80.45999999999998,,,25.455,,,,,2.7727272727272725,3.727272727272727,31.5
2003-06,0.0,7.62385171857827,62.11304565,,,86.9,0.3,,,,,3.8,44.3,18.9,-5.2,,-0.8119079837618504,,,,,,3.49241297869455,2.25,2.25,92.76,80.65999999999998,,,27.288571428571423,,,,,2.72,3.23,33.1
2003-07,0.1291989664082615,7.720177047884898,62.33227874,,,87.9,-1.6,,,,,1.9,41.1,18.8,-6.3,,-0.9472259810554884,,,,,,4.05718462622684,2.26,2.25,90.6,78.68,,,28.36434782608696,,,,,2.79,3.28,34.9
2003-08,-0.2580645161290307,7.802526492570784,64.07005499,,,90.8,-1.4,,,,,0.0,43.8,19.0,-3.5,,-0.5449591280654031,,,,,,4.22572971809478,2.06,2.0,89.01,77.09999999999998,,,29.443,,,,,2.6363636363636367,3.2363636363636363,35.8
2003-09,-0.388098318240615,7.884019380341699,64.31336336,,,92.1,-1.7,,,,,-0.9,42.4,18.2,-6.9,,-0.1364256480218206,,,,,,4.25841521133076,2.05,2.0,89.37999999999998,77.12999999999998,,,26.80727272727273,,,,,2.7,3.063636363636363,37.3
