month,household_energy
2015-01,99.700000000000003
2015-02,99.900000000000006
2015-03,100
2015-04,100
2015-05,100
2015-06,100.09999999999999
2015-07,100.09999999999999
2015-08,100.09999999999999
2015-09,100
2015-10,100.09999999999999
2015-11,100.09999999999999
2015-12,100.09999999999999
2016-01,100.40000000000001
2016-02,100.40000000000001
2016-03,100.40000000000001
2016-04,100.59999999999999
2016-05,98.900000000000006
2016-06,98.900000000000006
2016-07,98.900000000000006
2016-08,99
2016-09,99
2016-10,99.099999999999994
2016-11,99.099999999999994
2016-12,99.099999999999994
2017-01,99.5
2017-02,98.799999999999997
2017-03,98.799999999999997
2017-04,98.799999999999997
2017-05,98.700000000000003
2017-06,98.700000000000003
2017-07,98.700000000000003
2017-08,98.700000000000003
2017-09,98.700000000000003
2017-10,98.799999999999997
2017-11,98.900000000000006
2017-12,98.900000000000006
2018-01,100.40000000000001
2018-02,100.09999999999999
2018-03,100
2018-04,100
2018-05,100
2018-06,101.09999999999999
2018-07,101.09999999999999
2018-08,101.40000000000001
2018-09,101.40000000000001
2018-10,101.40000000000001
2018-11,101.7
2018-12,101.8
2019-01,105.2
2019-02,106.3
2019-03,107.7
2019-04,107.7
2019-05,108
2019-06,108.2
2019-07,108.2
2019-08,108.3
2019-09,108.3
2019-10,108.3
2019-11,109.09999999999999
2019-12,109.5
2020-01,111.09999999999999
2020-02,111.09999999999999
2020-03,112
2020-04,111.90000000000001
2020-05,112
2020-06,112
2020-07,112.09999999999999
2020-08,112.09999999999999
2020-09,112.09999999999999
2020-10,109.40000000000001
2020-11,109.40000000000001
2020-12,109.40000000000001
2021-01,108.90000000000001
2021-02,108.90000000000001
2021-03,108.8
2021-04,108.8
2021-05,108.8
2021-06,108.8
2021-07,108.8
2021-08,108.90000000000001
2021-09,109.5
2021-10,111.90000000000001
2021-11,100
2021-12,100.09999999999999
2022-01,129.30000000000001
2022-02,133.59999999999999
2022-03,137.59999999999999
2022-04,143.40000000000001
2022-05,145.69999999999999
2022-06,148.69999999999999
2022-07,151.09999999999999
2022-08,152.69999999999999
2022-09,162.90000000000001
2022-10,121.40000000000001
2022-11,131.59999999999999
2022-12,133.40000000000001
2023-01,195.80000000000001
2023-02,195.09999999999999
2023-03,194.19999999999999
2023-04,194.80000000000001
2023-05,195.30000000000001
2023-06,195.69999999999999
2023-07,194.90000000000001
2023-08,195.59999999999999
2023-09,191.40000000000001
2023-10,187.80000000000001
2023-11,189.69999999999999
2023-12,190.80000000000001
2024-01,205
2024-02,204.59999999999999
2024-03,203.69999999999999
2024-04,203
2024-05,202.69999999999999
2024-06,202.40000000000001
2024-07,201.09999999999999
2024-08,201.19999999999999
2024-09,199.80000000000001
2024-10,199.80000000000001
2024-11,200.30000000000001
2024-12,199.19999999999999
2025-01,198.40000000000001
2025-02,197.69999999999999
2025-03,196.80000000000001
2025-04,196.40000000000001
2025-05,196.09999999999999
2025-06,195.59999999999999
2025-07,195.30000000000001
2025-08,194.90000000000001
2025-09,193.59999999999999
2025-10,193
2025-11,191.69999999999999
2025-12,191.40000000000001
2026-01,183.69999999999999
2026-02,183
2026-03,182.59999999999999
2026-04,182.69999999999999
2026-05,182.40000000000001
2026-06,182.19999999999999
2026-07,182.19999999999999
2026-08,182
