run,sample,h,n,original_rmse,causal_rmse,bridge_rmse
realtime_full_luci,full,1,88,1.1059937807114946,1.1198671661973754,0.9107373045382808
realtime_full_luci,full,3,84,1.9565437923257742,2.013505470763669,1.5373220457297827
realtime_full_luci,full,6,81,2.985442706271165,2.981307125819144,2.5163793712145033
realtime_full_luci,full,9,78,4.221432855389296,4.1599083043895035,3.9216066990467007
realtime_full_luci,full,12,75,5.602016033406287,5.514871258171563,5.394838562659049
realtime_full_luci,recent_origins,1,30,0.46454116098441045,0.4612675578916673,0.37068420046535955
realtime_full_luci,recent_origins,3,28,0.5438183007683364,0.5575769369768673,0.5690583679307833
realtime_full_luci,recent_origins,6,25,0.7808930743375592,0.8021850558550043,0.6777098464569113
realtime_full_luci,recent_origins,9,22,0.8826507831608054,0.9140937803995285,1.004798264828266
realtime_full_luci,recent_origins,12,19,1.2061355856886544,1.220660073589377,1.3473085858350073
realtime_full_luci,recent_targets,1,31,0.490532890454779,0.4836456169047014,0.36504574444403814
realtime_full_luci,recent_targets,3,31,0.5745831893805866,0.5980699780677329,0.5465251115875537
realtime_full_luci,recent_targets,6,31,0.8311544417432458,0.8710302613699998,0.7478339170561032
realtime_full_luci,recent_targets,9,31,1.3647745966427263,1.341093357905735,1.1824489101326947
realtime_full_luci,recent_targets,12,31,3.504096728211473,3.176488611655065,1.8921319727646286
realtime_full_luci_month,full,1,88,1.055263758341487,1.0781451653152507,0.9107373045382808
realtime_full_luci_month,full,3,84,1.896521822295544,1.9548480632583307,1.5373220457297827
realtime_full_luci_month,full,6,81,2.873858302176242,2.85881795159751,2.5163793712145033
realtime_full_luci_month,full,9,78,4.1619877477326455,4.100678652340207,3.9216066990467007
realtime_full_luci_month,full,12,75,5.5197598448534055,5.431277435290871,5.394838562659049
realtime_full_luci_month,recent_origins,1,30,0.40125877861790504,0.4001329861975432,0.37068420046535955
realtime_full_luci_month,recent_origins,3,28,0.47834348181216246,0.46812746647545805,0.5690583679307833
realtime_full_luci_month,recent_origins,6,25,0.71778972531115,0.7024037636802604,0.6777098464569113
realtime_full_luci_month,recent_origins,9,22,0.8639018924755092,0.8874451271220343,1.004798264828266
realtime_full_luci_month,recent_origins,12,19,1.1778503345391549,1.1544376876757334,1.3473085858350073
realtime_full_luci_month,recent_targets,1,31,0.4042449562023429,0.4013263252805644,0.36504574444403814
realtime_full_luci_month,recent_targets,3,31,0.4801991185407824,0.47743882055073084,0.5465251115875537
realtime_full_luci_month,recent_targets,6,31,0.7308869367424121,0.7426047139500095,0.7478339170561032
realtime_full_luci_month,recent_targets,9,31,1.324347770769072,1.2293782894164653,1.1824489101326947
realtime_full_luci_month,recent_targets,12,31,3.275877656447243,2.969351057991198,1.8921319727646286
