frame,model,alerts,direction_right,big,material_wins,material_losses,net_pp,alerts_2024plus,months
HARD_FULL,as_recorded,23,16,7,9,10,-1.2904823398921823,5,2019-02 2019-07 2020-03 2020-06 2020-07 2021-02 2021-05 2021-11 2021-12 2022-01 2022-02 2022-03 2022-05 2022-12 2023-01 2023-06 2023-08 2023-10 2024-01 2024-04 2024-07 2025-09 2025-12
HARD_FULL,ALC_STEPS_R30,24,16,7,9,10,-1.162727389872823,7,2019-02 2019-07 2020-03 2020-06 2020-07 2021-02 2021-11 2021-12 2022-01 2022-02 2022-03 2022-05 2022-12 2023-01 2023-06 2023-08 2023-10 2024-01 2024-04 2024-05 2024-07 2025-02 2025-09 2025-12
CATEGORY_RAW,as_recorded,21,16,9,9,5,0.16544123946517983,4,2019-02 2019-07 2020-03 2020-07 2021-11 2021-12 2022-01 2022-02 2022-03 2022-04 2022-07 2022-08 2022-09 2022-12 2023-01 2023-09 2023-10 2024-01 2024-04 2025-09 2025-12
CATEGORY_RAW,ALC_STEPS_R30,20,16,8,9,4,0.6365824237280525,5,2019-02 2019-07 2020-03 2020-07 2021-11 2021-12 2022-01 2022-02 2022-07 2022-08 2022-09 2022-12 2023-01 2023-09 2023-10 2024-01 2024-04 2024-05 2025-09 2025-12
