level,model,sample,n,rmse,bias,mae,frame,consensus_rmse,material_wins_big,material_losses_big
headline,ALC_STEPS_SOURCED_R30,full,90,0.41592312726575625,-0.030432698043829386,0.26789086587425504,STRUCT_EVE,0.3815174380753199,7.0,2.0
headline,ALC_STEPS_SOURCED_R30,prints_2024plus,31,0.2153966103592259,-0.005429447582350394,0.1710686087251598,STRUCT_EVE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_SOURCED_R30,flash_era_2025plus,19,0.1729289307292507,0.021789153656320333,0.13953102302072157,STRUCT_EVE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_SOURCED_R30,ex_january,83,0.4009279035449467,0.0032640842603852147,0.2542206760376667,STRUCT_EVE,0.3800760862318244,6.0,2.0
headline,ALC_STEPS_THETA035_R30,full,90,0.4138112431838377,-0.02863920109907712,0.2644458310619329,STRUCT_EVE,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_THETA035_R30,prints_2024plus,31,0.21588479024871945,-0.011988523385268492,0.17263361377591716,STRUCT_EVE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_THETA035_R30,flash_era_2025plus,19,0.17167771538805268,0.0152056001135138,0.14111150894686605,STRUCT_EVE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_THETA035_R30,ex_january,83,0.39880562929976393,0.005392537183978694,0.2503013989203228,STRUCT_EVE,0.3800760862318244,7.0,2.0
headline,ALC_STEPS_THETA055_R30,full,90,0.41312435788588914,-0.027883104755264485,0.26368973471812035,STRUCT_EVE,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_THETA055_R30,prints_2024plus,31,0.21366837476390582,-0.010467603754179402,0.17111269414482805,STRUCT_EVE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_THETA055_R30,flash_era_2025plus,19,0.1707178903900063,0.016479700783563752,0.13983740827681612,STRUCT_EVE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_THETA055_R30,ex_january,83,0.39880562929976393,0.005392537183978694,0.2503013989203228,STRUCT_EVE,0.3800760862318244,7.0,2.0
headline,ALC_STEPS_FIRSTMONTH_R30,full,90,0.42114219882888276,-0.028261152927170807,0.27467545316946185,STRUCT_EVE,0.3815174380753199,7.0,1.0
headline,ALC_STEPS_FIRSTMONTH_R30,prints_2024plus,31,0.228530929733146,-0.011228063569723949,0.18910930603724035,STRUCT_EVE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_FIRSTMONTH_R30,flash_era_2025plus,19,0.17783985322108206,0.015842650448538775,0.15172139116290048,STRUCT_EVE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_FIRSTMONTH_R30,ex_january,83,0.40743001619631225,0.005392537183978699,0.26180369199440917,STRUCT_EVE,0.3800760862318244,6.0,1.0
headline,as_recorded,full,90,0.41795154739724044,-0.02522563676857154,0.2625157341641442,HARD_BASE,0.3815174380753199,7.0,3.0
headline,as_recorded,prints_2024plus,31,0.21897776134072022,-0.005877997285901072,0.1690393240182861,HARD_BASE,0.2409657986707497,2.0,0.0
headline,as_recorded,flash_era_2025plus,19,0.17300164605167864,0.024692630835155792,0.13929634726858153,HARD_BASE,0.19466570535691505,0.0,0.0
headline,as_recorded,ex_january,83,0.4033326092057299,0.009051414942628446,0.24825110030558287,HARD_BASE,0.3800760862318244,6.0,3.0
headline,ALC_STEPS_R30,full,90,0.4126412526067351,-0.010921723733179213,0.2569545210572275,HARD_BASE,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_R30,prints_2024plus,31,0.21919435571769466,0.006771243656113671,0.1711344999374653,HARD_BASE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_R30,flash_era_2025plus,19,0.1747918888218523,0.03133971587108452,0.13875953651737807,HARD_BASE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_R30,ex_january,83,0.3992915410749582,0.022716989202426662,0.2440655621128065,HARD_BASE,0.3800760862318244,7.0,2.0
headline,ALC_STEPS_SOURCED_R30,full,90,0.4142245467729461,-0.013093268849837796,0.2606269513458491,HARD_BASE,0.3815174380753199,7.0,2.0
headline,ALC_STEPS_SOURCED_R30,prints_2024plus,31,0.22039504154839393,0.012569859643487218,0.1715384170159779,HARD_BASE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_SOURCED_R30,flash_era_2025plus,19,0.17689557959366384,0.03728621907886609,0.1397878025960212,HARD_BASE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_SOURCED_R30,ex_january,83,0.4004133408598332,0.020588536278833162,0.24782148088551645,HARD_BASE,0.3800760862318244,6.0,2.0
headline,ALC_STEPS_THETA035_R30,full,90,0.41299167072867016,-0.011299771905085536,0.25733256922913383,HARD_BASE,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_THETA035_R30,prints_2024plus,31,0.22028481556339596,0.006010783840569127,0.17189495975300983,HARD_BASE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_THETA035_R30,flash_era_2025plus,19,0.17522444530163192,0.030702665536059544,0.13939658685240308,HARD_BASE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_THETA035_R30,ex_january,83,0.3992915410749582,0.022716989202426662,0.2440655621128065,HARD_BASE,0.3800760862318244,7.0,2.0
headline,ALC_STEPS_THETA055_R30,full,90,0.41230864298927344,-0.010543675561272902,0.2565764728853212,HARD_BASE,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_THETA055_R30,prints_2024plus,31,0.21813316800343244,0.0075317034716582045,0.17037404012192078,HARD_BASE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_THETA055_R30,flash_era_2025plus,19,0.17438941524987864,0.031976766206109494,0.13812248618235312,HARD_BASE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_THETA055_R30,ex_january,83,0.3992915410749582,0.022716989202426662,0.2440655621128065,HARD_BASE,0.3800760862318244,7.0,2.0
headline,ALC_STEPS_FIRSTMONTH_R30,full,90,0.4205225032458454,-0.010921723733179213,0.2696382760576354,HARD_BASE,0.3815174380753199,7.0,2.0
headline,ALC_STEPS_FIRSTMONTH_R30,prints_2024plus,31,0.2319931290360289,0.006771243656113666,0.1881348636826622,HARD_BASE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_FIRSTMONTH_R30,flash_era_2025plus,19,0.18085147776394617,0.03133971587108453,0.14962176179044837,HARD_BASE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_FIRSTMONTH_R30,ex_january,83,0.40811015375664994,0.022716989202426655,0.2578190313903572,HARD_BASE,0.3800760862318244,6.0,2.0
headline,as_recorded,full,90,0.4139308470027306,-0.005779131141549162,0.2696268338876436,HARD_FULL,0.3815174380753199,9.0,2.0
headline,as_recorded,prints_2024plus,31,0.22531658006178432,-0.002307685957092744,0.17263970528256042,HARD_FULL,0.2409657986707497,2.0,1.0
headline,as_recorded,flash_era_2025plus,19,0.1638271242938502,0.03984227670951719,0.13239549655765354,HARD_FULL,0.19466570535691505,0.0,0.0
headline,as_recorded,ex_january,83,0.39844813883989944,0.028074544632118198,0.25652947463390013,HARD_FULL,0.3800760862318244,8.0,1.0
headline,ALC_STEPS_R30,full,90,0.4091476186104658,0.008524781893843179,0.2631700042320615,HARD_FULL,0.3815174380753199,9.0,1.0
headline,ALC_STEPS_R30,prints_2024plus,31,0.22487487791638497,0.010341554984922004,0.17449909287006873,HARD_FULL,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_R30,flash_era_2025plus,19,0.1659369355575627,0.04648936174544591,0.13147397852846088,HARD_FULL,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_R30,ex_january,83,0.39505439554760213,0.041740118891916415,0.2517161761500407,HARD_FULL,0.3800760862318244,8.0,1.0
headline,ALC_STEPS_SOURCED_R30,full,90,0.4102146470171924,0.006353236777184582,0.2672405869581565,HARD_FULL,0.3815174380753199,9.0,1.0
headline,ALC_STEPS_SOURCED_R30,prints_2024plus,31,0.22586074543227458,0.01614017097229556,0.17369454763485587,HARD_FULL,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_SOURCED_R30,flash_era_2025plus,19,0.16803248260426912,0.052435864953227475,0.13053054293734143,HARD_FULL,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_SOURCED_R30,ex_january,83,0.39566107616210444,0.039611665968322926,0.2555604362980834,HARD_FULL,0.3800760862318244,8.0,1.0
headline,ALC_STEPS_THETA035_R30,full,90,0.4095102452376138,0.008146733721936868,0.26361842619463444,HARD_FULL,0.3815174380753199,9.0,1.0
headline,ALC_STEPS_THETA035_R30,prints_2024plus,31,0.22603779059383367,0.00958109516937746,0.17525955268561333,HARD_FULL,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_THETA035_R30,flash_era_2025plus,19,0.16627904534591476,0.04585231141042093,0.13211102886348586,HARD_FULL,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_THETA035_R30,ex_january,83,0.39505439554760213,0.041740118891916415,0.2517161761500407,HARD_FULL,0.3800760862318244,8.0,1.0
headline,ALC_STEPS_THETA055_R30,full,90,0.40880293191691197,0.0089028300657495,0.2627215822694885,HARD_FULL,0.3815174380753199,9.0,1.0
headline,ALC_STEPS_THETA055_R30,prints_2024plus,31,0.2237397739636357,0.011102014800466544,0.1737386330545242,HARD_FULL,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_THETA055_R30,flash_era_2025plus,19,0.16562692362643922,0.047126412080470886,0.13083692819343593,HARD_FULL,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_THETA055_R30,ex_january,83,0.39505439554760213,0.041740118891916415,0.2517161761500407,HARD_FULL,0.3800760862318244,8.0,1.0
headline,ALC_STEPS_FIRSTMONTH_R30,full,90,0.4186315964302033,0.008524781893843175,0.27560074199239487,HARD_FULL,0.3815174380753199,9.0,1.0
headline,ALC_STEPS_FIRSTMONTH_R30,prints_2024plus,31,0.23941815548050088,0.010341554984921996,0.19173524494693647,HARD_FULL,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_FIRSTMONTH_R30,flash_era_2025plus,19,0.1757993517104928,0.04648936174544591,0.14272091107952037,HARD_FULL,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_FIRSTMONTH_R30,ex_january,83,0.4056854906219996,0.041740118891916415,0.26519528938413717,HARD_FULL,0.3800760862318244,8.0,1.0
headline,as_recorded,full,90,0.4089469924635298,-0.05526506341294864,0.256504568666051,CATEGORY_RAW,0.3815174380753199,8.0,2.0
headline,as_recorded,prints_2024plus,31,0.19779760195832014,0.015387089354639703,0.15646370408853486,CATEGORY_RAW,0.2409657986707497,1.0,0.0
headline,as_recorded,flash_era_2025plus,19,0.1609597107039151,0.051456001918903906,0.12737704784360535,CATEGORY_RAW,0.19466570535691505,0.0,0.0
headline,as_recorded,ex_january,83,0.3913644294047555,-0.024361737437213243,0.24234336705694784,CATEGORY_RAW,0.3800760862318244,7.0,2.0
headline,ALC_STEPS_R30,full,90,0.40269458450058354,-0.04096115037755627,0.2520069203326413,CATEGORY_RAW,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_R30,prints_2024plus,31,0.19851203290371763,0.028036330296654446,0.1593190234061672,CATEGORY_RAW,0.2409657986707497,1.0,0.0
headline,ALC_STEPS_R30,flash_era_2025plus,19,0.1640487278647233,0.05810308695483265,0.1280804710582993,CATEGORY_RAW,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_R30,ex_january,83,0.38576220199530936,-0.010696163177415022,0.23907460664251934,CATEGORY_RAW,0.3800760862318244,7.0,2.0
headline,ALC_STEPS_SOURCED_R30,full,90,0.40464542504968204,-0.043132695494214855,0.25497913355646085,CATEGORY_RAW,0.3815174380753199,8.0,1.0
headline,ALC_STEPS_SOURCED_R30,prints_2024plus,31,0.20031003404611175,0.033834946284027986,0.16001767753085386,CATEGORY_RAW,0.2409657986707497,1.0,0.0
headline,ALC_STEPS_SOURCED_R30,flash_era_2025plus,19,0.16713775707448092,0.0640495901626142,0.12958962389648954,CATEGORY_RAW,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_SOURCED_R30,ex_january,83,0.38742600021127843,-0.012824616101008508,0.24187078930097233,CATEGORY_RAW,0.3800760862318244,7.0,1.0
headline,ALC_STEPS_THETA035_R30,full,90,0.4029544476294728,-0.0413391985494626,0.2523365036304421,CATEGORY_RAW,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_THETA035_R30,prints_2024plus,31,0.19936926279696054,0.027275870481109903,0.15993877874850196,CATEGORY_RAW,0.2409657986707497,1.0,0.0
headline,ALC_STEPS_THETA035_R30,flash_era_2025plus,19,0.16426058633693277,0.05746603661980767,0.12848795093703463,CATEGORY_RAW,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_THETA035_R30,ex_january,83,0.38576220199530936,-0.010696163177415022,0.23907460664251934,CATEGORY_RAW,0.3800760862318244,7.0,2.0
headline,ALC_STEPS_THETA055_R30,full,90,0.40245310332636947,-0.04058310220564997,0.2516773370348406,CATEGORY_RAW,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_THETA055_R30,prints_2024plus,31,0.1976894009828355,0.028796790112198985,0.15869926806383244,CATEGORY_RAW,0.2409657986707497,1.0,0.0
headline,ALC_STEPS_THETA055_R30,flash_era_2025plus,19,0.16386975190971884,0.058740137289857615,0.1276729911795639,CATEGORY_RAW,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_THETA055_R30,ex_january,83,0.38576220199530936,-0.010696163177415022,0.23907460664251934,CATEGORY_RAW,0.3800760862318244,7.0,2.0
headline,ALC_STEPS_FIRSTMONTH_R30,full,90,0.4107332150352104,-0.04096115037755628,0.26217927446242467,CATEGORY_RAW,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_FIRSTMONTH_R30,prints_2024plus,31,0.21119004028820781,0.028036330296654442,0.17484738522520232,CATEGORY_RAW,0.2409657986707497,1.0,0.0
headline,ALC_STEPS_FIRSTMONTH_R30,flash_era_2025plus,19,0.1719628431551993,0.058103086954832635,0.13654100897815802,CATEGORY_RAW,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_FIRSTMONTH_R30,ex_january,83,0.3948452746797055,-0.010696163177415017,0.2501048701567422,CATEGORY_RAW,0.3800760862318244,7.0,2.0
