level,model,sample,n,rmse,bias,mae,frame,consensus_rmse,material_wins_big,material_losses_big
block,recorded,full,90,0.9193676938193489,-0.07892680397736954,0.7123837330755721,,,,
block,recorded,prints_2024plus,31,0.8460984928546587,0.05496561341205972,0.7028756834392168,,,,
block,recorded,flash_era_2025plus,19,0.7893536731774855,0.08173772585132419,0.6821453945380535,,,,
block,recorded,ex_january,83,0.8862716603571362,0.006836338298680112,0.6800446691572023,,,,
block,ALC_STEPS_R30,full,90,0.9022455589296943,0.08615797748623606,0.7311059007227889,,,,
block,ALC_STEPS_R30,prints_2024plus,31,0.8740320011373709,0.2040542692994242,0.7363771041883435,,,,
block,ALC_STEPS_R30,flash_era_2025plus,19,0.8307082511542462,0.16050967767443028,0.7236388341204505,,,,
block,ALC_STEPS_R30,ex_january,83,0.8991957246036938,0.1651271225870012,0.721062624868568,,,,
block,ALC_STEPS_SOURCED_R30,full,90,0.9782163675720935,0.06257019327035973,0.7520401019724867,,,,
block,ALC_STEPS_SOURCED_R30,prints_2024plus,31,0.8909381889503863,0.2728310005814868,0.7432702549406751,,,,
block,ALC_STEPS_SOURCED_R30,flash_era_2025plus,19,0.8456418716413001,0.2313716551013129,0.7297250949916712,,,,
block,ALC_STEPS_SOURCED_R30,ex_january,83,0.9684500578437997,0.14137841484956015,0.7419339534860565,,,,
block,ALC_STEPS_THETA035_R30,full,90,0.9068903076611995,0.08191231023736235,0.7353515679716626,,,,
block,ALC_STEPS_THETA035_R30,prints_2024plus,31,0.8806406788036318,0.19518471203157767,0.7452466614561901,,,,
block,ALC_STEPS_THETA035_R30,flash_era_2025plus,19,0.8370470574795166,0.15298149702805225,0.7311670147668285,,,,
block,ALC_STEPS_THETA035_R30,ex_january,83,0.8991957246036938,0.1651271225870012,0.721062624868568,,,,
block,ALC_STEPS_THETA055_R30,full,90,0.8986129879227076,0.09040364473510978,0.7268602334739153,,,,
block,ALC_STEPS_THETA055_R30,prints_2024plus,31,0.8685554920299144,0.21292382656727074,0.727507546920497,,,,
block,ALC_STEPS_THETA055_R30,flash_era_2025plus,19,0.8252405531453777,0.16803785832080828,0.7161106534740725,,,,
block,ALC_STEPS_THETA055_R30,ex_january,83,0.8991957246036938,0.1651271225870012,0.721062624868568,,,,
block,ALC_STEPS_FIRSTMONTH_R30,full,90,1.2039035031435212,0.0861579774862361,0.8421767331352956,,,,
block,ALC_STEPS_FIRSTMONTH_R30,prints_2024plus,31,1.174249088459239,0.20405426929942422,0.8347657301816288,,,,
block,ALC_STEPS_FIRSTMONTH_R30,flash_era_2025plus,19,0.8920352721419351,0.16050967767443028,0.7380399077876225,,,,
block,ALC_STEPS_FIRSTMONTH_R30,ex_january,83,1.223712446583506,0.1651271225870012,0.8415008768821296,,,,
headline,as_recorded,full,90,0.41991699780709985,-0.042565065962563146,0.2700109418656688,STRUCT_EVE,0.3815174380753199,7.0,1.0
headline,as_recorded,prints_2024plus,31,0.21659843528266012,-0.023877304511738685,0.17001376637286428,STRUCT_EVE,0.2409657986707497,2.0,0.0
headline,as_recorded,flash_era_2025plus,19,0.16969570717873983,0.009195565412610051,0.1413959766410337,STRUCT_EVE,0.19466570535691505,0.0,0.0
headline,as_recorded,ex_january,83,0.4041436836389838,-0.008273037075819518,0.2549010952840064,STRUCT_EVE,0.3800760862318244,6.0,1.0
headline,ALC_STEPS_R30,full,90,0.4134589154890591,-0.0282611529271708,0.2640677828900267,STRUCT_EVE,0.3815174380753199,8.0,2.0
headline,ALC_STEPS_R30,prints_2024plus,31,0.21476180903615052,-0.011228063569723947,0.17187315396037256,STRUCT_EVE,0.2409657986707497,2.0,0.0
headline,ALC_STEPS_R30,flash_era_2025plus,19,0.17118260786867012,0.01584265044853878,0.14047445861184107,STRUCT_EVE,0.19466570535691505,0.0,0.0
headline,ALC_STEPS_R30,ex_january,83,0.39880562929976393,0.005392537183978694,0.2503013989203228,STRUCT_EVE,0.3800760862318244,7.0,2.0
