archive,section,code,description,kind
building_total_nsa_nace2.zip,Countries,EU,European Union (current composition),catalog
building_total_nsa_nace2.zip,Countries,EA,Euro area,catalog
building_total_nsa_nace2.zip,Countries,BE,Belgium,catalog
building_total_nsa_nace2.zip,Countries,BG,Bulgaria,catalog
building_total_nsa_nace2.zip,Countries,CZ,Czechia,catalog
building_total_nsa_nace2.zip,Countries,DK,Denmark,catalog
building_total_nsa_nace2.zip,Countries,DE,Germany,catalog
building_total_nsa_nace2.zip,Countries,EE,Estonia,catalog
building_total_nsa_nace2.zip,Countries,IE,Ireland,catalog
building_total_nsa_nace2.zip,Countries,EL,Greece,catalog
building_total_nsa_nace2.zip,Countries,ES,Spain,catalog
building_total_nsa_nace2.zip,Countries,FR,France,catalog
building_total_nsa_nace2.zip,Countries,HR,Croatia,catalog
building_total_nsa_nace2.zip,Countries,IT,Italy,catalog
building_total_nsa_nace2.zip,Countries,CY,Cyprus,catalog
building_total_nsa_nace2.zip,Countries,LV,Latvia,catalog
building_total_nsa_nace2.zip,Countries,LT,Lithuania,catalog
building_total_nsa_nace2.zip,Countries,LU,Luxembourg,catalog
building_total_nsa_nace2.zip,Countries,HU,Hungary,catalog
building_total_nsa_nace2.zip,Countries,MT,Malta,catalog
building_total_nsa_nace2.zip,Countries,NL,Netherlands,catalog
building_total_nsa_nace2.zip,Countries,AT,Austria,catalog
building_total_nsa_nace2.zip,Countries,PL,Poland,catalog
building_total_nsa_nace2.zip,Countries,PT,Portugal,catalog
building_total_nsa_nace2.zip,Countries,RO,Romania,catalog
building_total_nsa_nace2.zip,Countries,SI,Slovenia,catalog
building_total_nsa_nace2.zip,Countries,SK,Slovak Republic,catalog
building_total_nsa_nace2.zip,Countries,FI,Finland,catalog
building_total_nsa_nace2.zip,Countries,SE,Sweden,catalog
building_total_nsa_nace2.zip,Countries,UK,United Kingdom,catalog
building_total_nsa_nace2.zip,Countries,ME,Montenegro,catalog
building_total_nsa_nace2.zip,Countries,MK,North Macedonia,catalog
building_total_nsa_nace2.zip,Countries,AL,Albania,catalog
building_total_nsa_nace2.zip,Countries,RS,Serbia,catalog
building_total_nsa_nace2.zip,Countries,TR,Türkiye,catalog
building_total_nsa_nace2.zip,Construction sub-sectors,TOT,TOTAL construction as a whole,catalog
building_total_nsa_nace2.zip,Construction sub-sectors,The exact wording of the questions can be found in the User Guide available on our main web page ▬►,User Guide,catalog
building_total_nsa_nace2.zip,Monthly Questions,COF,Confidence Indicator (Q3 + Q4) / 2,catalog
building_total_nsa_nace2.zip,Monthly Questions,1,Building activity development over the past 3 months,catalog
building_total_nsa_nace2.zip,Monthly Questions,2,Main factors currently limiting your building activity,catalog
building_total_nsa_nace2.zip,Monthly Questions,3,Evolution of your current overall order books,catalog
building_total_nsa_nace2.zip,Monthly Questions,4,Employment expectations over the next 3 months,catalog
building_total_nsa_nace2.zip,Monthly Questions,5,Prices expectations over the next 3 months,catalog
building_total_nsa_nace2.zip,Answers,B,Balance not seasonally adjusted (not s.a),catalog
building_total_nsa_nace2.zip,Answers,F1,None (% n.s.a. - monthly question 2),catalog
building_total_nsa_nace2.zip,Answers,F2,Insufficient demand (% n.s.a. - monthly question 2),catalog
building_total_nsa_nace2.zip,Answers,F3,Weather conditions (% n.s.a. - monthly question 2),catalog
building_total_nsa_nace2.zip,Answers,F4,Shortage of labour force (% n.s.a. - monthly question 2),catalog
building_total_nsa_nace2.zip,Answers,F5,Shortage of material and/or equipment (% n.s.a. - monthly question 2),catalog
building_total_nsa_nace2.zip,Answers,F6,Other factors (% n.s.a. - monthly question 2),catalog
building_total_nsa_nace2.zip,Answers,F7,Financial constraints (% n.s.a. - monthly question 2),catalog
building_total_nsa_nace2.zip,Answers,QM,Number of months (n.s.a. - quarterly question 6),catalog
building_total_nsa_nace2.zip,Frequency,M,Monthly,catalog
building_total_sa_nace2.zip,Countries,EU,European Union (current composition),catalog
building_total_sa_nace2.zip,Countries,EA,Euro area,catalog
building_total_sa_nace2.zip,Countries,BE,Belgium,catalog
building_total_sa_nace2.zip,Countries,BG,Bulgaria,catalog
building_total_sa_nace2.zip,Countries,CZ,Czechia,catalog
building_total_sa_nace2.zip,Countries,DK,Denmark,catalog
building_total_sa_nace2.zip,Countries,DE,Germany,catalog
building_total_sa_nace2.zip,Countries,EE,Estonia,catalog
building_total_sa_nace2.zip,Countries,IE,Ireland,catalog
building_total_sa_nace2.zip,Countries,EL,Greece,catalog
building_total_sa_nace2.zip,Countries,ES,Spain,catalog
building_total_sa_nace2.zip,Countries,FR,France,catalog
building_total_sa_nace2.zip,Countries,HR,Croatia,catalog
