model,h,n_intended,n_forecast,n_actual
CORE_GAP_ADAPT_R14,0,90,90,90
CORE_GAP_ADAPT_R14,1,90,74,89
CORE_GAP_ADAPT_R14,2,90,74,88
CORE_GAP_ADAPT_R14,3,90,74,87
CORE_GAP_ADAPT_R14,4,90,71,86
CORE_GAP_ADAPT_R14,5,90,71,85
CORE_GAP_ADAPT_R14,6,90,71,84
CORE_GAP_ADAPT_R14,7,90,68,83
CORE_GAP_ADAPT_R14,8,90,68,82
CORE_GAP_ADAPT_R14,9,90,68,81
CORE_GAP_ADAPT_R14,10,90,65,80
CORE_GAP_ADAPT_R14,11,90,65,79
CORE_GAP_ADAPT_R14,12,90,65,78
CORE_GAP_RF_R14,0,90,90,90
CORE_GAP_RF_R14,1,90,74,89
CORE_GAP_RF_R14,2,90,74,88
CORE_GAP_RF_R14,3,90,74,87
CORE_GAP_RF_R14,4,90,71,86
CORE_GAP_RF_R14,5,90,71,85
CORE_GAP_RF_R14,6,90,71,84
CORE_GAP_RF_R14,7,90,68,83
CORE_GAP_RF_R14,8,90,68,82
CORE_GAP_RF_R14,9,90,68,81
CORE_GAP_RF_R14,10,90,65,80
CORE_GAP_RF_R14,11,90,65,79
CORE_GAP_RF_R14,12,90,65,78
CORE_GAP_RIDGE_R14,0,90,90,90
CORE_GAP_RIDGE_R14,1,90,74,89
CORE_GAP_RIDGE_R14,2,90,74,88
CORE_GAP_RIDGE_R14,3,90,74,87
CORE_GAP_RIDGE_R14,4,90,71,86
CORE_GAP_RIDGE_R14,5,90,71,85
CORE_GAP_RIDGE_R14,6,90,71,84
CORE_GAP_RIDGE_R14,7,90,68,83
CORE_GAP_RIDGE_R14,8,90,68,82
CORE_GAP_RIDGE_R14,9,90,68,81
CORE_GAP_RIDGE_R14,10,90,65,80
CORE_GAP_RIDGE_R14,11,90,65,79
CORE_GAP_RIDGE_R14,12,90,65,78
CORE_LEVEL_RF_R14,0,90,90,90
CORE_LEVEL_RF_R14,1,90,74,89
CORE_LEVEL_RF_R14,2,90,74,88
CORE_LEVEL_RF_R14,3,90,74,87
CORE_LEVEL_RF_R14,4,90,71,86
CORE_LEVEL_RF_R14,5,90,71,85
CORE_LEVEL_RF_R14,6,90,71,84
CORE_LEVEL_RF_R14,7,90,68,83
CORE_LEVEL_RF_R14,8,90,68,82
CORE_LEVEL_RF_R14,9,90,68,81
CORE_LEVEL_RF_R14,10,90,65,80
CORE_LEVEL_RF_R14,11,90,65,79
CORE_LEVEL_RF_R14,12,90,65,78
CORE_LEVEL_RIDGE_R14,0,90,90,90
CORE_LEVEL_RIDGE_R14,1,90,74,89
CORE_LEVEL_RIDGE_R14,2,90,74,88
CORE_LEVEL_RIDGE_R14,3,90,74,87
CORE_LEVEL_RIDGE_R14,4,90,71,86
CORE_LEVEL_RIDGE_R14,5,90,71,85
CORE_LEVEL_RIDGE_R14,6,90,71,84
CORE_LEVEL_RIDGE_R14,7,90,68,83
CORE_LEVEL_RIDGE_R14,8,90,68,82
CORE_LEVEL_RIDGE_R14,9,90,68,81
CORE_LEVEL_RIDGE_R14,10,90,65,80
CORE_LEVEL_RIDGE_R14,11,90,65,79
CORE_LEVEL_RIDGE_R14,12,90,65,78
CORE_LOCAL_R14,0,90,90,90
CORE_LOCAL_R14,1,90,89,89
CORE_LOCAL_R14,2,90,88,88
CORE_LOCAL_R14,3,90,87,87
CORE_LOCAL_R14,4,90,87,86
CORE_LOCAL_R14,5,90,87,85
CORE_LOCAL_R14,6,90,87,84
CORE_LOCAL_R14,7,90,87,83
CORE_LOCAL_R14,8,90,87,82
CORE_LOCAL_R14,9,90,87,81
CORE_LOCAL_R14,10,90,87,80
CORE_LOCAL_R14,11,90,87,79
CORE_LOCAL_R14,12,90,87,78
FOOD_DOMESTIC_PIPELINE_R14,0,90,90,90
FOOD_DOMESTIC_PIPELINE_R14,1,90,90,89
FOOD_DOMESTIC_PIPELINE_R14,2,90,90,88
FOOD_DOMESTIC_PIPELINE_R14,3,90,90,87
FOOD_DOMESTIC_PIPELINE_R14,4,90,90,86
FOOD_DOMESTIC_PIPELINE_R14,5,90,90,85
FOOD_DOMESTIC_PIPELINE_R14,6,90,90,84
FOOD_DOMESTIC_PIPELINE_R14,7,90,90,83
FOOD_DOMESTIC_PIPELINE_R14,8,90,90,82
FOOD_DOMESTIC_PIPELINE_R14,9,90,90,81
FOOD_DOMESTIC_PIPELINE_R14,10,90,90,80
FOOD_DOMESTIC_PIPELINE_R14,11,90,90,79
FOOD_DOMESTIC_PIPELINE_R14,12,90,90,78
FOOD_OWN_LEVEL_AR_R14,0,90,90,90
FOOD_OWN_LEVEL_AR_R14,1,90,90,89
FOOD_OWN_LEVEL_AR_R14,2,90,90,88
FOOD_OWN_LEVEL_AR_R14,3,90,90,87
FOOD_OWN_LEVEL_AR_R14,4,90,90,86
FOOD_OWN_LEVEL_AR_R14,5,90,90,85
FOOD_OWN_LEVEL_AR_R14,6,90,90,84
FOOD_OWN_LEVEL_AR_R14,7,90,90,83
FOOD_OWN_LEVEL_AR_R14,8,90,90,82
FOOD_OWN_LEVEL_AR_R14,9,90,90,81
FOOD_OWN_LEVEL_AR_R14,10,90,90,80
FOOD_OWN_LEVEL_AR_R14,11,90,90,79
FOOD_OWN_LEVEL_AR_R14,12,90,90,78
FUEL_CONSTANT_PUMP_R14,0,90,90,90
FUEL_CONSTANT_PUMP_R14,1,90,89,89
FUEL_CONSTANT_PUMP_R14,2,90,88,88
FUEL_CONSTANT_PUMP_R14,3,90,87,87
FUEL_CONSTANT_PUMP_R14,4,90,87,86
FUEL_CONSTANT_PUMP_R14,5,90,87,85
FUEL_CONSTANT_PUMP_R14,6,90,87,84
FUEL_CONSTANT_PUMP_R14,7,90,87,83
FUEL_CONSTANT_PUMP_R14,8,90,87,82
FUEL_CONSTANT_PUMP_R14,9,90,87,81
FUEL_CONSTANT_PUMP_R14,10,90,87,80
FUEL_CONSTANT_PUMP_R14,11,90,87,79
FUEL_CONSTANT_PUMP_R14,12,90,87,78
FUEL_ECM_R14,0,90,90,90
FUEL_ECM_R14,1,90,89,89
FUEL_ECM_R14,2,90,88,88
FUEL_ECM_R14,3,90,87,87
FUEL_ECM_R14,4,90,87,86
FUEL_ECM_R14,5,90,87,85
FUEL_ECM_R14,6,90,87,84
FUEL_ECM_R14,7,90,87,83
FUEL_ECM_R14,8,90,87,82
FUEL_ECM_R14,9,90,87,81
FUEL_ECM_R14,10,90,87,80
FUEL_ECM_R14,11,90,87,79
FUEL_ECM_R14,12,90,87,78
FUEL_ZERO_R14,0,90,90,90
FUEL_ZERO_R14,1,90,89,89
FUEL_ZERO_R14,2,90,88,88
FUEL_ZERO_R14,3,90,87,87
FUEL_ZERO_R14,4,90,87,86
FUEL_ZERO_R14,5,90,87,85
FUEL_ZERO_R14,6,90,87,84
FUEL_ZERO_R14,7,90,87,83
FUEL_ZERO_R14,8,90,87,82
FUEL_ZERO_R14,9,90,87,81
FUEL_ZERO_R14,10,90,87,80
FUEL_ZERO_R14,11,90,87,79
FUEL_ZERO_R14,12,90,87,78
INDEPENDENT_BRIDGE,0,90,90,90
INDEPENDENT_BRIDGE,1,90,89,89
INDEPENDENT_BRIDGE,2,90,88,88
INDEPENDENT_BRIDGE,3,90,87,87
INDEPENDENT_BRIDGE,4,90,87,86
INDEPENDENT_BRIDGE,5,90,87,85
INDEPENDENT_BRIDGE,6,90,87,84
INDEPENDENT_BRIDGE,7,90,87,83
INDEPENDENT_BRIDGE,8,90,87,82
INDEPENDENT_BRIDGE,9,90,87,81
INDEPENDENT_BRIDGE,10,90,87,80
INDEPENDENT_BRIDGE,11,90,87,79
INDEPENDENT_BRIDGE,12,90,87,78
PIPELINE_FOOD_FUEL_R14,0,90,90,90
PIPELINE_FOOD_FUEL_R14,1,90,90,89
PIPELINE_FOOD_FUEL_R14,2,90,90,88
PIPELINE_FOOD_FUEL_R14,3,90,90,87
PIPELINE_FOOD_FUEL_R14,4,90,90,86
