sample,h,model,n,mse_difference,lower,upper,block,draws,seed
full,1,CORE_GAP_ADAPT_R14,73,-0.10793281032783002,-0.2739919146549397,0.012630280976240678,12,2000,1409
full,1,CORE_GAP_RF_R14,73,-0.09678585630159046,-0.2511733952542098,0.006982124983237548,12,2000,1409
full,1,CORE_GAP_RIDGE_R14,73,-0.10286911793715514,-0.2512974124664842,0.004632431220785689,12,2000,1409
full,1,CORE_LEVEL_RF_R14,73,-0.059491357090566285,-0.14394677092193342,0.0037720109217076548,12,2000,1409
full,1,CORE_LEVEL_RIDGE_R14,73,-0.0960607046299798,-0.22526554529741627,0.0025732612703396047,12,2000,1409
full,1,CORE_LOCAL_R14,88,-0.07401478212320632,-0.17822033886966596,-0.00601998610141683,12,2000,1409
full,1,FOOD_DOMESTIC_PIPELINE_R14,88,-0.004100534960427141,-0.051230765469649206,0.045047443854604984,12,2000,1409
full,1,FOOD_OWN_LEVEL_AR_R14,88,0.025965025975294934,-0.035434812591868814,0.0991552749995127,12,2000,1409
full,1,FUEL_CONSTANT_PUMP_R14,88,-0.01065980044923928,-0.027515269284150927,0.012717977662655564,12,2000,1409
full,1,FUEL_ECM_R14,88,-0.025357072283922477,-0.05164936849146887,-0.001973753907654078,12,2000,1409
full,1,FUEL_ZERO_R14,88,-0.0010914434881978395,-0.011268878413874554,0.01213753480688217,12,2000,1409
full,1,PIPELINE_FOOD_FUEL_R14,88,-0.03703023299979926,-0.08779679089361957,0.00025868939610607913,12,2000,1409
full,1,PIPELINE_GAP_RF_R14,73,-0.11883920489575392,-0.2780548926258674,-0.006456463638263559,12,2000,1409
full,1,PIPELINE_GAP_RIDGE_R14,73,-0.1263974655744329,-0.2981140193570772,-0.012176064308218024,12,2000,1409
full,2,CORE_GAP_ADAPT_R14,72,-0.18783153676135989,-0.5695927582333499,0.07289979123289654,12,2000,1409
full,2,CORE_GAP_RF_R14,72,-0.18705281263039375,-0.5839695100649487,0.0709802915885629,12,2000,1409
full,2,CORE_GAP_RIDGE_R14,72,-0.194022741024467,-0.5471232027499792,0.04199007406671243,12,2000,1409
full,2,CORE_LEVEL_RF_R14,72,-0.094158675696216,-0.3868214404179776,0.1622245009719188,12,2000,1409
full,2,CORE_LEVEL_RIDGE_R14,72,-0.186562029868978,-0.4925192425437718,0.048512966489018455,12,2000,1409
full,2,CORE_LOCAL_R14,86,-0.14219066670608163,-0.40145971808205894,0.0440516047186288,12,2000,1409
full,2,FOOD_DOMESTIC_PIPELINE_R14,86,0.018709386109509688,-0.14698014969448972,0.1974729129232627,12,2000,1409
full,2,FOOD_OWN_LEVEL_AR_R14,86,0.06843418204316634,-0.1045863055897755,0.30408823672808577,12,2000,1409
full,2,FUEL_CONSTANT_PUMP_R14,86,0.00672680166227199,-0.03597865188203654,0.06616595633375318,12,2000,1409
full,2,FUEL_ECM_R14,86,0.021810009681234983,-0.04616692575930412,0.1320320157465963,12,2000,1409
full,2,FUEL_ZERO_R14,86,-0.00029913026177097555,-0.03927405175463245,0.04793462896594629,12,2000,1409
full,2,PIPELINE_FOOD_FUEL_R14,86,0.011401331619276584,-0.12718320642389686,0.18372233454317222,12,2000,1409
full,2,PIPELINE_GAP_RF_R14,72,-0.11360967061144829,-0.43384446450853104,0.15075609994156328,12,2000,1409
full,2,PIPELINE_GAP_RIDGE_R14,72,-0.12599249635754836,-0.46268219573765806,0.14956187423857384,12,2000,1409
full,3,CORE_GAP_ADAPT_R14,71,-0.1267361621866468,-0.6797956583708038,0.2711753143975229,12,2000,1409
full,3,CORE_GAP_RF_R14,71,-0.1510448897176641,-0.67203099262716,0.250393823157443,12,2000,1409
full,3,CORE_GAP_RIDGE_R14,71,-0.17299319771212557,-0.6615366549396129,0.1812059462676244,12,2000,1409
full,3,CORE_LEVEL_RF_R14,71,0.04029178599268104,-0.5337655475820733,0.6855638378371128,12,2000,1409
full,3,CORE_LEVEL_RIDGE_R14,71,-0.15734812042448784,-0.5987424485284571,0.22316466587193043,12,2000,1409
full,3,CORE_LOCAL_R14,84,-0.08045259842156266,-0.48628943210353326,0.24304925228354574,12,2000,1409
full,3,FOOD_DOMESTIC_PIPELINE_R14,84,0.24237238653533447,-0.11052405945423607,0.8186164267948657,12,2000,1409
full,3,FOOD_OWN_LEVEL_AR_R14,84,0.18201415051654088,-0.03361096727907544,0.514243677124991,12,2000,1409
full,3,FUEL_CONSTANT_PUMP_R14,84,-0.013586410661679368,-0.07136017654622644,0.03561372050647209,12,2000,1409
full,3,FUEL_ECM_R14,84,0.033115069433476946,-0.054187464472770265,0.1360959149009505,12,2000,1409
full,3,FUEL_ZERO_R14,84,0.008136836506822192,-0.06565814293649402,0.09483695864365665,12,2000,1409
full,3,PIPELINE_FOOD_FUEL_R14,84,0.21371344321143154,-0.09531316424213067,0.6782152798094754,12,2000,1409
