period,horizon,policy,model,actual,forecast,fallback_used,status,n_train,n_features,engine,qrf_median,qrf_p05,qrf_p95,error
2024-08,3,paper_independent,TVW3_leaf_QRF,0.263157894736854,0.08136952794655045,False,estimated,262.0,25.0,SklearnLeafTVWQRF,0.1305483028720688,-0.6216696269982114,1.4905149051490652,
2024-09,3,paper_independent,TVW3_leaf_QRF,-0.3937007874015741,-0.030902330121653197,False,estimated,263.0,25.0,SklearnLeafTVWQRF,0.0675675675675613,-0.7377598926894713,1.172161172161168,
2024-10,3,paper_independent,TVW3_leaf_QRF,0.3293807641633783,0.15001643500776354,False,estimated,264.0,25.0,SklearnLeafTVWQRF,0.1062699256110688,-0.6009615384615419,1.5801354401805856,
2024-11,3,paper_independent,TVW3_leaf_QRF,0.0656598818122189,0.17803947359286673,False,estimated,265.0,25.0,SklearnLeafTVWQRF,0.2409638554216941,-0.264200792602387,1.172161172161168,
2024-12,3,paper_independent,TVW3_leaf_QRF,-0.2624671916010568,0.16563229027818038,False,estimated,266.0,25.0,SklearnLeafTVWQRF,0.1831501831501825,-0.5504587155963248,1.172161172161168,
2025-01,3,paper_independent,TVW3_leaf_QRF,1.3157894736842035,0.09879256240832676,False,estimated,267.0,25.0,SklearnLeafTVWQRF,0.1061571125265281,-0.4048582995951344,1.3404825737265424,
2025-02,3,paper_independent,TVW3_leaf_QRF,0.1948051948051921,0.15077551585652726,False,estimated,268.0,25.0,SklearnLeafTVWQRF,0.100401606425704,-0.3003003003003157,1.2841091492777013,
2025-03,3,paper_independent,TVW3_leaf_QRF,0.0648088139987068,0.24254206212890655,False,estimated,269.0,25.0,SklearnLeafTVWQRF,0.1893939393939447,-0.3937007874015741,1.037735849056598,
2025-04,3,paper_independent,TVW3_leaf_QRF,-0.1295336787564882,0.3394978994002439,False,estimated,270.0,25.0,SklearnLeafTVWQRF,0.26702269692922,-0.7159904534606132,1.041666666666674,
2025-05,3,paper_independent,TVW3_leaf_QRF,0.5188067444876765,0.16219468000059983,False,estimated,271.0,25.0,SklearnLeafTVWQRF,0.1074113856068814,-0.3937007874015741,1.2841091492777013,
2025-06,3,paper_independent,TVW3_leaf_QRF,0.2580645161290418,0.1698296265722595,False,estimated,272.0,25.0,SklearnLeafTVWQRF,0.0999000999001076,-0.5167958656330796,0.6622516556291425,
