origin,as_of,model,variable,h,target,forecast,actual,persistence,n_distinct_ulc_quarters
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,1,2019-03,0.11761645465577378,-0.10005003335835334,0.3181292352598326,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,2,2019-04,0.45606988721402786,0.39920212695374535,0.6813160827139809,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,3,2019-05,0.20915234132684363,0.09995003330835331,0.44585706131813907,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,4,2019-06,0.16415807579373318,0.2995508979798479,0.41254038354868794,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,5,2019-07,0.6679287043605417,0.9950330853168083,0.9243011218333731,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,6,2019-08,0.09641424298086357,0.19980026626730563,0.3571311385487948,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,7,2019-09,-0.4323072541025659,-0.9040744652149064,-0.16899436886863572,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,8,2019-10,0.4939458231036954,0.5982071677547464,0.7589471956473937,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,9,2019-11,0.02172671204464155,0.0,0.28778816183613176,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,10,2019-12,0.3050187636286195,0.09995003330835331,0.5717262850630469,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,11,2020-01,0.3311015122937485,0.7968169649176874,0.5982071677547464,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_OWN_R22,core,12,2020-02,0.391881283201736,0.6975613736425241,0.6592349170118664,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,core,1,2019-03,0.12424146615506729,-0.10005003335835334,0.3181292352598326,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,core,2,2019-04,0.4727666175568944,0.39920212695374535,0.6813160827139809,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,core,3,2019-05,0.23178406413550212,0.09995003330835331,0.44585706131813907,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,core,4,2019-06,0.18955945834352397,0.2995508979798479,0.41254038354868794,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,core,5,2019-07,0.6950347122585188,0.9950330853168083,0.9243011218333731,14
2019-02,2019-03-10T22:59:00+00:00,JOINT_DOMESTIC_R22,core,6,2019-08,0.12566275408041316,0.19980026626730563,0.3571311385487948,14
