period,source_quarter
2015-02,2014Q4
2015-03,2015Q1
2015-04,2015Q1
2015-05,2015Q1
2015-06,2015Q2
2015-07,2015Q2
2015-08,2015Q2
2015-09,2015Q3
2015-10,2015Q3
2015-11,2015Q3
2015-12,2015Q4
2016-01,2015Q4
2016-02,2015Q4
2016-03,2016Q1
2016-04,2016Q1
2016-05,2016Q1
2016-06,2016Q2
2016-07,2016Q2
2016-08,2016Q2
2016-09,2016Q3
2016-10,2016Q3
2016-11,2016Q3
2016-12,2016Q4
2017-01,2016Q4
2017-02,2016Q4
2017-03,2017Q1
2017-04,2017Q1
2017-05,2017Q1
2017-06,2017Q2
2017-07,2017Q2
2017-08,2017Q2
2017-09,2017Q3
2017-10,2017Q3
2017-11,2017Q3
2017-12,2017Q4
2018-01,2017Q4
2018-02,2017Q4
2018-03,2018Q1
2018-04,2018Q1
2018-05,2018Q1
2018-06,2018Q2
2018-07,2018Q2
2018-08,2018Q2
2018-09,2018Q3
2018-10,2018Q3
2018-11,2018Q3
2018-12,2018Q4
2019-01,2018Q4
2019-02,2018Q4
2019-03,2019Q1
2019-04,2019Q1
2019-05,2019Q1
2019-06,2019Q2
2019-07,2019Q2
2019-08,2019Q2
2019-09,2019Q3
2019-10,2019Q3
2019-11,2019Q3
2019-12,2019Q4
2020-01,2019Q4
2020-02,2019Q4
2020-03,2020Q1
2020-04,2020Q1
2020-05,2020Q1
2020-06,2020Q2
2020-07,2020Q2
2020-08,2020Q2
2020-09,2020Q3
2020-10,2020Q3
2020-11,2020Q3
2020-12,2020Q4
2021-01,2020Q4
2021-02,2020Q4
2021-03,2021Q1
2021-04,2021Q1
2021-05,2021Q1
2021-06,2021Q2
2021-07,2021Q2
2021-08,2021Q2
2021-09,2021Q3
2021-10,2021Q3
2021-11,2021Q3
2021-12,2021Q4
2022-01,2021Q4
2022-02,2021Q4
2022-03,2022Q1
2022-04,2022Q1
2022-05,2022Q1
2022-06,2022Q2
2022-07,2022Q2
2022-08,2022Q2
2022-09,2022Q3
2022-10,2022Q3
2022-11,2022Q3
2022-12,2022Q4
2023-01,2022Q4
2023-02,2022Q4
2023-03,2023Q1
2023-04,2023Q1
2023-05,2023Q1
2023-06,2023Q2
2023-07,2023Q2
2023-08,2023Q2
2023-09,2023Q3
2023-10,2023Q3
2023-11,2023Q3
2023-12,2023Q4
2024-01,2023Q4
2024-02,2023Q4
2024-03,2024Q1
2024-04,2024Q1
2024-05,2024Q1
2024-06,2024Q2
2024-07,2024Q2
2024-08,2024Q2
2024-09,2024Q3
2024-10,2024Q3
2024-11,2024Q3
2024-12,2024Q4
2025-01,2024Q4
2025-02,2024Q4
2025-03,2025Q1
2025-04,2025Q1
2025-05,2025Q1
2025-06,2025Q2
2025-07,2025Q2
2025-08,2025Q2
2025-09,2025Q3
2025-10,2025Q3
2025-11,2025Q3
2025-12,2025Q4
2026-01,2025Q4
2026-02,2025Q4
2026-03,2026Q1
2026-04,2026Q1
2026-05,2026Q1
2026-06,
2026-07,
2026-08,
