origin,as_of,model,status,n_train
2019-11,2019-12-09T22:59:00+00:00,JOINT_ENET_R22,estimated,49
2019-11,2019-12-09T22:59:00+00:00,JOINT_RF_R22,estimated,49
2019-11,2019-12-09T22:59:00+00:00,JOINT_HALF_R22,estimated,49
2019-12,2020-01-12T22:59:00+00:00,JOINT_OWN_R22,estimated,51
2019-12,2020-01-12T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,51
2019-12,2020-01-12T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,51
2019-12,2020-01-12T22:59:00+00:00,JOINT_LINEAR_R22,estimated,51
2019-12,2020-01-12T22:59:00+00:00,JOINT_ENET_R22,estimated,51
2019-12,2020-01-12T22:59:00+00:00,JOINT_RF_R22,estimated,51
2019-12,2020-01-12T22:59:00+00:00,JOINT_HALF_R22,estimated,51
2020-01,2020-02-13T22:59:00+00:00,JOINT_OWN_R22,estimated,52
2020-01,2020-02-13T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,52
2020-01,2020-02-13T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,52
2020-01,2020-02-13T22:59:00+00:00,JOINT_LINEAR_R22,estimated,52
2020-01,2020-02-13T22:59:00+00:00,JOINT_ENET_R22,estimated,52
2020-01,2020-02-13T22:59:00+00:00,JOINT_RF_R22,estimated,52
2020-01,2020-02-13T22:59:00+00:00,JOINT_HALF_R22,estimated,52
2020-02,2020-03-09T22:59:00+00:00,JOINT_OWN_R22,estimated,52
2020-02,2020-03-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,52
2020-02,2020-03-09T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,52
2020-02,2020-03-09T22:59:00+00:00,JOINT_LINEAR_R22,estimated,52
2020-02,2020-03-09T22:59:00+00:00,JOINT_ENET_R22,estimated,52
2020-02,2020-03-09T22:59:00+00:00,JOINT_RF_R22,estimated,52
2020-02,2020-03-09T22:59:00+00:00,JOINT_HALF_R22,estimated,52
2020-03,2020-04-13T21:59:00+00:00,JOINT_OWN_R22,estimated,54
2020-03,2020-04-13T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,54
2020-03,2020-04-13T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,54
2020-03,2020-04-13T21:59:00+00:00,JOINT_LINEAR_R22,estimated,54
2020-03,2020-04-13T21:59:00+00:00,JOINT_ENET_R22,estimated,54
2020-03,2020-04-13T21:59:00+00:00,JOINT_RF_R22,estimated,54
2020-03,2020-04-13T21:59:00+00:00,JOINT_HALF_R22,estimated,54
2020-04,2020-05-12T21:59:00+00:00,JOINT_OWN_R22,estimated,55
2020-04,2020-05-12T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,55
2020-04,2020-05-12T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,55
2020-04,2020-05-12T21:59:00+00:00,JOINT_LINEAR_R22,estimated,55
2020-04,2020-05-12T21:59:00+00:00,JOINT_ENET_R22,estimated,55
2020-04,2020-05-12T21:59:00+00:00,JOINT_RF_R22,estimated,55
2020-04,2020-05-12T21:59:00+00:00,JOINT_HALF_R22,estimated,55
2020-05,2020-06-09T21:59:00+00:00,JOINT_OWN_R22,estimated,55
2020-05,2020-06-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,55
2020-05,2020-06-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,55
2020-05,2020-06-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,55
2020-05,2020-06-09T21:59:00+00:00,JOINT_ENET_R22,estimated,55
2020-05,2020-06-09T21:59:00+00:00,JOINT_RF_R22,estimated,55
2020-05,2020-06-09T21:59:00+00:00,JOINT_HALF_R22,estimated,55
2020-06,2020-07-09T21:59:00+00:00,JOINT_OWN_R22,estimated,57
2020-06,2020-07-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,57
2020-06,2020-07-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,57
2020-06,2020-07-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,57
2020-06,2020-07-09T21:59:00+00:00,JOINT_ENET_R22,estimated,57
2020-06,2020-07-09T21:59:00+00:00,JOINT_RF_R22,estimated,57
2020-06,2020-07-09T21:59:00+00:00,JOINT_HALF_R22,estimated,57
2020-07,2020-08-12T21:59:00+00:00,JOINT_OWN_R22,estimated,58
2020-07,2020-08-12T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,58
2020-07,2020-08-12T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,58
2020-07,2020-08-12T21:59:00+00:00,JOINT_LINEAR_R22,estimated,58
2020-07,2020-08-12T21:59:00+00:00,JOINT_ENET_R22,estimated,58
2020-07,2020-08-12T21:59:00+00:00,JOINT_RF_R22,estimated,58
2020-07,2020-08-12T21:59:00+00:00,JOINT_HALF_R22,estimated,58
2020-08,2020-09-09T21:59:00+00:00,JOINT_OWN_R22,estimated,58
2020-08,2020-09-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,58
2020-08,2020-09-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,58
2020-08,2020-09-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,58
2020-08,2020-09-09T21:59:00+00:00,JOINT_ENET_R22,estimated,58
2020-08,2020-09-09T21:59:00+00:00,JOINT_RF_R22,estimated,58
2020-08,2020-09-09T21:59:00+00:00,JOINT_HALF_R22,estimated,58
2020-09,2020-10-11T21:59:00+00:00,JOINT_OWN_R22,estimated,60
2020-09,2020-10-11T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,60
2020-09,2020-10-11T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,60
2020-09,2020-10-11T21:59:00+00:00,JOINT_LINEAR_R22,estimated,60
2020-09,2020-10-11T21:59:00+00:00,JOINT_ENET_R22,estimated,60
2020-09,2020-10-11T21:59:00+00:00,JOINT_RF_R22,estimated,60
2020-09,2020-10-11T21:59:00+00:00,JOINT_HALF_R22,estimated,60
2020-10,2020-11-09T22:59:00+00:00,JOINT_OWN_R22,estimated,61
2020-10,2020-11-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,61
2020-10,2020-11-09T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,61
2020-10,2020-11-09T22:59:00+00:00,JOINT_LINEAR_R22,estimated,61
2020-10,2020-11-09T22:59:00+00:00,JOINT_ENET_R22,estimated,61
