edge,horizon,validation_n,calibration_status,validation_first_origin,validation_last_origin,validation_last_target
2010-12,1,0,fixed_insufficient_history,2009-12,2010-11,2010-12
2011-01,1,1,fixed_insufficient_history,2010-01,2010-12,2011-01
2011-02,1,2,fixed_insufficient_history,2010-02,2011-01,2011-02
2011-03,1,3,fixed_insufficient_history,2010-03,2011-02,2011-03
2011-04,1,4,fixed_insufficient_history,2010-04,2011-03,2011-04
2011-05,1,5,fixed_insufficient_history,2010-05,2011-04,2011-05
2011-06,1,6,fixed_insufficient_history,2010-06,2011-05,2011-06
2011-07,1,7,fixed_insufficient_history,2010-07,2011-06,2011-07
2011-08,1,8,fixed_insufficient_history,2010-08,2011-07,2011-08
2011-09,1,9,fixed_insufficient_history,2010-09,2011-08,2011-09
2011-10,1,10,fixed_insufficient_history,2010-10,2011-09,2011-10
2011-11,1,11,fixed_insufficient_history,2010-11,2011-10,2011-11
2011-12,1,12,past_origin_forecasts,2010-12,2011-11,2011-12
2012-01,1,12,past_origin_forecasts,2011-01,2011-12,2012-01
2012-02,1,12,past_origin_forecasts,2011-02,2012-01,2012-02
2012-03,1,12,past_origin_forecasts,2011-03,2012-02,2012-03
2012-04,1,12,past_origin_forecasts,2011-04,2012-03,2012-04
2012-05,1,12,past_origin_forecasts,2011-05,2012-04,2012-05
2012-06,1,12,past_origin_forecasts,2011-06,2012-05,2012-06
2012-07,1,12,past_origin_forecasts,2011-07,2012-06,2012-07
2012-08,1,12,past_origin_forecasts,2011-08,2012-07,2012-08
2012-09,1,12,past_origin_forecasts,2011-09,2012-08,2012-09
2012-10,1,12,past_origin_forecasts,2011-10,2012-09,2012-10
2012-11,1,12,past_origin_forecasts,2011-11,2012-10,2012-11
2012-12,1,12,past_origin_forecasts,2011-12,2012-11,2012-12
2013-01,1,12,past_origin_forecasts,2012-01,2012-12,2013-01
2013-02,1,12,past_origin_forecasts,2012-02,2013-01,2013-02
2013-03,1,12,past_origin_forecasts,2012-03,2013-02,2013-03
2013-04,1,12,past_origin_forecasts,2012-04,2013-03,2013-04
2013-05,1,12,past_origin_forecasts,2012-05,2013-04,2013-05
2013-06,1,12,past_origin_forecasts,2012-06,2013-05,2013-06
2013-07,1,12,past_origin_forecasts,2012-07,2013-06,2013-07
2013-08,1,12,past_origin_forecasts,2012-08,2013-07,2013-08
2013-09,1,12,past_origin_forecasts,2012-09,2013-08,2013-09
2013-10,1,12,past_origin_forecasts,2012-10,2013-09,2013-10
2013-11,1,12,past_origin_forecasts,2012-11,2013-10,2013-11
2013-12,1,12,past_origin_forecasts,2012-12,2013-11,2013-12
2014-01,1,12,past_origin_forecasts,2013-01,2013-12,2014-01
2014-02,1,12,past_origin_forecasts,2013-02,2014-01,2014-02
2014-03,1,12,past_origin_forecasts,2013-03,2014-02,2014-03
2014-04,1,12,past_origin_forecasts,2013-04,2014-03,2014-04
2014-05,1,12,past_origin_forecasts,2013-05,2014-04,2014-05
2014-06,1,12,past_origin_forecasts,2013-06,2014-05,2014-06
2014-07,1,12,past_origin_forecasts,2013-07,2014-06,2014-07
2014-08,1,12,past_origin_forecasts,2013-08,2014-07,2014-08
2014-09,1,12,past_origin_forecasts,2013-09,2014-08,2014-09
2014-10,1,12,past_origin_forecasts,2013-10,2014-09,2014-10
2014-11,1,12,past_origin_forecasts,2013-11,2014-10,2014-11
2014-12,1,12,past_origin_forecasts,2013-12,2014-11,2014-12
2015-01,1,12,past_origin_forecasts,2014-01,2014-12,2015-01
2015-02,1,12,past_origin_forecasts,2014-02,2015-01,2015-02
2015-03,1,12,past_origin_forecasts,2014-03,2015-02,2015-03
2015-04,1,12,past_origin_forecasts,2014-04,2015-03,2015-04
2015-05,1,12,past_origin_forecasts,2014-05,2015-04,2015-05
2015-06,1,12,past_origin_forecasts,2014-06,2015-05,2015-06
2015-07,1,12,past_origin_forecasts,2014-07,2015-06,2015-07
2015-08,1,12,past_origin_forecasts,2014-08,2015-07,2015-08
2015-09,1,12,past_origin_forecasts,2014-09,2015-08,2015-09
2015-10,1,12,past_origin_forecasts,2014-10,2015-09,2015-10
2015-11,1,12,past_origin_forecasts,2014-11,2015-10,2015-11
2015-12,1,12,past_origin_forecasts,2014-12,2015-11,2015-12
2016-01,1,12,past_origin_forecasts,2015-01,2015-12,2016-01
2016-02,1,12,past_origin_forecasts,2015-02,2016-01,2016-02
2016-03,1,12,past_origin_forecasts,2015-03,2016-02,2016-03
2016-04,1,12,past_origin_forecasts,2015-04,2016-03,2016-04
2016-05,1,12,past_origin_forecasts,2015-05,2016-04,2016-05
2016-06,1,12,past_origin_forecasts,2015-06,2016-05,2016-06
2016-07,1,12,past_origin_forecasts,2015-07,2016-06,2016-07
2016-08,1,12,past_origin_forecasts,2015-08,2016-07,2016-08
