month,ict_equipment
2015-01,100.90000000000001
2015-02,100.7
2015-03,100.5
2015-04,100
2015-05,100.09999999999999
2015-06,100.2
2015-07,100.5
2015-08,99.700000000000003
2015-09,100
2015-10,99
2015-11,98.200000000000003
2015-12,100.3
2016-01,99.799999999999997
2016-02,99.700000000000003
2016-03,98.299999999999997
2016-04,97.599999999999994
2016-05,97.099999999999994
2016-06,97.299999999999997
2016-07,96.5
2016-08,96.700000000000003
2016-09,95.700000000000003
2016-10,94
2016-11,94.099999999999994
2016-12,94
2017-01,93.5
2017-02,93
2017-03,92
2017-04,91.700000000000003
2017-05,91.599999999999994
2017-06,91.299999999999997
2017-07,91.200000000000003
2017-08,90.5
2017-09,89.799999999999997
2017-10,89.900000000000006
2017-11,88.5
2017-12,88
2018-01,86.900000000000006
2018-02,86.599999999999994
2018-03,86.299999999999997
2018-04,85.900000000000006
2018-05,85.099999999999994
2018-06,84.099999999999994
2018-07,83.400000000000006
2018-08,82.799999999999997
2018-09,82.5
2018-10,81.799999999999997
2018-11,81.200000000000003
2018-12,80.700000000000003
2019-01,79.900000000000006
2019-02,80.099999999999994
2019-03,79.200000000000003
2019-04,79.400000000000006
2019-05,78.599999999999994
2019-06,77.599999999999994
2019-07,77.299999999999997
2019-08,76.400000000000006
2019-09,75.799999999999997
2019-10,76.200000000000003
2019-11,76
2019-12,75.700000000000003
2020-01,75.099999999999994
2020-02,74.799999999999997
2020-03,74.700000000000003
2020-04,74.799999999999997
2020-05,74.599999999999994
2020-06,74.700000000000003
2020-07,74.599999999999994
2020-08,73.599999999999994
2020-09,73.299999999999997
2020-10,73.200000000000003
2020-11,73
2020-12,72.900000000000006
2021-01,72.799999999999997
2021-02,72.700000000000003
2021-03,72.799999999999997
2021-04,72.200000000000003
2021-05,72.5
2021-06,73.400000000000006
2021-07,73.799999999999997
2021-08,74.299999999999997
2021-09,76.099999999999994
2021-10,77
2021-11,77.799999999999997
2021-12,78.599999999999994
2022-01,78.900000000000006
2022-02,80.099999999999994
2022-03,80.299999999999997
2022-04,80.400000000000006
2022-05,81.099999999999994
2022-06,81.200000000000003
2022-07,81.799999999999997
2022-08,82.299999999999997
2022-09,82.400000000000006
2022-10,82.5
2022-11,82.299999999999997
2022-12,83.099999999999994
2023-01,83.5
2023-02,84.700000000000003
2023-03,84.599999999999994
2023-04,85
2023-05,85.200000000000003
2023-06,85.200000000000003
2023-07,85.299999999999997
2023-08,85.700000000000003
2023-09,86
2023-10,86.200000000000003
2023-11,85.5
2023-12,86.799999999999997
2024-01,87.099999999999994
2024-02,87.599999999999994
2024-03,87.700000000000003
2024-04,88.099999999999994
2024-05,87.799999999999997
2024-06,86.799999999999997
2024-07,86.700000000000003
2024-08,86.099999999999994
2024-09,88.400000000000006
2024-10,89.099999999999994
2024-11,87.5
2024-12,88.5
2025-01,88.700000000000003
2025-02,89.599999999999994
2025-03,89.200000000000003
2025-04,88.900000000000006
2025-05,88.700000000000003
2025-06,89.200000000000003
2025-07,89.799999999999997
2025-08,89.799999999999997
2025-09,90.700000000000003
2025-10,92
2025-11,89
2025-12,90.299999999999997
2026-01,90.099999999999994
2026-02,93
2026-03,93.400000000000006
2026-04,94.400000000000006
2026-05,93.599999999999994
2026-06,94.200000000000003
2026-07,94.5
2026-08,95.599999999999994
