relative_path,bytes,sha256
candidate_policy_events.csv,13001,d50dd1731e47e5454733d4cccc3c2888fcf48ca6ec904adcb32b60382df59502
exposure_field_audit.csv,6812,072fd8b9a3b438c9ed9d4ebad17e54812b1119cc2a3dfe08006f10914d5278f8
R17_POLICY_SOURCE_AUDIT.md,17844,0f96a1211233d528c65c598282eeccf27842ce4a25ee95c9251bb809a334e37b
scenario_assumptions.csv,3404,e14d12287bb94aa6cd72a847a49481bbb69dcef2f4ee8f1287708072fb4c2582
source_register.csv,6120,7dc9440701fd48409f3e93193ef1e45433464d3268b8921922d99f0063fd10dc
sources/ERU_erv072023_published_2023-11-30.pdf,1229870,b177059b9f5ae8e60f1c786143f7d344d904485be553456e6a193819ad8d85f7
sources/ERU_erv072023_published_2023-11-30.txt,302731,842f6809a5eafbf6c79a691f0a4ef83910ff83b833cc04a02cd4ae0fbc9be442
sources/ERU_erv072023_published_2023-11-30_page22.png,237215,f5896b8d2328ecfb1a1c7b49acf218895e2b5f82ae75429540b98a45fd002254
sources/ERU_erv192025_adopted_2025-12-29.pdf,245886,ffb293aeead64ec96a22b5b473274a3c2e011673a8f96a84975c26289d0030c0
sources/ERU_erv192025_adopted_2025-12-29.txt,5471,f4058f98578b15ec27f693a72ce034e6b40958a585550a2ce06723ce78726a20
sources/ERU_erv192025_adopted_2025-12-29_page2.png,172269,b77096c41c430e544f06c39ea7e87a93c7848c73cbf3c21291eb79f3ccf66478
web_retrieval_log.json,248791,1476d2ef38398cd1596e6b43d36022948bc05f395332bb06e4d1048c33d1c0db
