origin,model,status,n_pool
2024-01,DAMPED_P95_Q001_R16,estimated,47
2024-02,DAMPED_P95_Q001_R16,estimated,48
2024-03,DAMPED_P95_Q001_R16,estimated,49
2024-04,DAMPED_P95_Q001_R16,estimated,50
2024-05,DAMPED_P95_Q001_R16,estimated,51
2024-06,DAMPED_P95_Q001_R16,estimated,52
2024-07,DAMPED_P95_Q001_R16,estimated,53
2024-08,DAMPED_P95_Q001_R16,estimated,54
2024-09,DAMPED_P95_Q001_R16,estimated,55
2024-10,DAMPED_P95_Q001_R16,estimated,56
2024-11,DAMPED_P95_Q001_R16,estimated,57
2024-12,DAMPED_P95_Q001_R16,estimated,58
2025-01,DAMPED_P95_Q001_R16,estimated,59
2025-02,DAMPED_P95_Q001_R16,estimated,60
2025-03,DAMPED_P95_Q001_R16,estimated,60
2025-04,DAMPED_P95_Q001_R16,estimated,60
2025-05,DAMPED_P95_Q001_R16,estimated,60
2025-06,DAMPED_P95_Q001_R16,estimated,60
2025-07,DAMPED_P95_Q001_R16,estimated,60
2025-08,DAMPED_P95_Q001_R16,estimated,60
2025-09,DAMPED_P95_Q001_R16,estimated,60
2025-10,DAMPED_P95_Q001_R16,estimated,60
2025-11,DAMPED_P95_Q001_R16,estimated,60
2025-12,DAMPED_P95_Q001_R16,estimated,60
2026-01,DAMPED_P95_Q001_R16,estimated,60
2026-02,DAMPED_P95_Q001_R16,estimated,60
2026-03,DAMPED_P95_Q001_R16,estimated,60
2026-04,DAMPED_P95_Q001_R16,estimated,60
2026-05,DAMPED_P95_Q001_R16,estimated,60
2026-06,DAMPED_P95_Q001_R16,estimated,60
2026-07,DAMPED_P95_Q001_R16,estimated,60
2019-02,FOOD_H0_FAST_R18,insufficient_pool,0
2019-03,FOOD_H0_FAST_R18,insufficient_pool,0
2019-04,FOOD_H0_FAST_R18,insufficient_pool,0
2019-05,FOOD_H0_FAST_R18,insufficient_pool,0
2019-06,FOOD_H0_FAST_R18,insufficient_pool,0
2019-07,FOOD_H0_FAST_R18,insufficient_pool,0
2019-08,FOOD_H0_FAST_R18,insufficient_pool,0
2019-09,FOOD_H0_FAST_R18,insufficient_pool,0
2019-10,FOOD_H0_FAST_R18,insufficient_pool,0
2019-11,FOOD_H0_FAST_R18,insufficient_pool,0
2019-12,FOOD_H0_FAST_R18,insufficient_pool,0
2020-01,FOOD_H0_FAST_R18,insufficient_pool,0
2020-02,FOOD_H0_FAST_R18,insufficient_pool,0
2020-03,FOOD_H0_FAST_R18,insufficient_pool,1
2020-04,FOOD_H0_FAST_R18,insufficient_pool,2
2020-05,FOOD_H0_FAST_R18,insufficient_pool,3
2020-06,FOOD_H0_FAST_R18,insufficient_pool,4
2020-07,FOOD_H0_FAST_R18,insufficient_pool,5
2020-08,FOOD_H0_FAST_R18,insufficient_pool,6
2020-09,FOOD_H0_FAST_R18,insufficient_pool,7
2020-10,FOOD_H0_FAST_R18,insufficient_pool,8
2020-11,FOOD_H0_FAST_R18,insufficient_pool,9
2020-12,FOOD_H0_FAST_R18,insufficient_pool,10
2021-01,FOOD_H0_FAST_R18,insufficient_pool,11
2021-02,FOOD_H0_FAST_R18,insufficient_pool,12
2021-03,FOOD_H0_FAST_R18,insufficient_pool,13
2021-04,FOOD_H0_FAST_R18,insufficient_pool,14
2021-05,FOOD_H0_FAST_R18,insufficient_pool,15
2021-06,FOOD_H0_FAST_R18,insufficient_pool,16
2021-07,FOOD_H0_FAST_R18,insufficient_pool,17
2021-08,FOOD_H0_FAST_R18,insufficient_pool,18
2021-09,FOOD_H0_FAST_R18,insufficient_pool,19
2021-10,FOOD_H0_FAST_R18,insufficient_pool,20
2021-11,FOOD_H0_FAST_R18,insufficient_pool,21
2021-12,FOOD_H0_FAST_R18,insufficient_pool,22
