clock,report_date,quarter,included
report,2022-02-10,2022Q1,True
report,2022-02-10,2022Q2,True
report,2022-02-10,2022Q3,True
report,2022-02-10,2022Q4,True
report,2022-02-10,2023Q1,False
report,2022-02-10,2023Q2,False
report,2022-02-10,2023Q3,False
report,2022-02-10,2023Q4,False
cutoff,2022-02-10,2022Q1,True
cutoff,2022-02-10,2022Q2,True
cutoff,2022-02-10,2022Q3,True
cutoff,2022-02-10,2022Q4,True
cutoff,2022-02-10,2023Q1,False
cutoff,2022-02-10,2023Q2,False
cutoff,2022-02-10,2023Q3,False
cutoff,2022-02-10,2023Q4,False
report,2022-05-12,2022Q2,True
report,2022-05-12,2022Q3,True
report,2022-05-12,2022Q4,True
report,2022-05-12,2023Q1,True
report,2022-05-12,2023Q2,False
report,2022-05-12,2023Q3,False
report,2022-05-12,2023Q4,False
cutoff,2022-05-12,2022Q2,True
cutoff,2022-05-12,2022Q3,True
cutoff,2022-05-12,2022Q4,True
cutoff,2022-05-12,2023Q1,True
cutoff,2022-05-12,2023Q2,False
cutoff,2022-05-12,2023Q3,False
cutoff,2022-05-12,2023Q4,False
report,2022-08-11,2022Q3,True
report,2022-08-11,2022Q4,True
report,2022-08-11,2023Q1,True
report,2022-08-11,2023Q2,True
report,2022-08-11,2023Q3,False
report,2022-08-11,2023Q4,False
report,2022-08-11,2024Q1,False
report,2022-08-11,2024Q2,False
report,2022-08-11,2024Q3,False
report,2022-08-11,2024Q4,False
cutoff,2022-08-11,2022Q3,True
cutoff,2022-08-11,2022Q4,True
cutoff,2022-08-11,2023Q1,True
cutoff,2022-08-11,2023Q2,True
cutoff,2022-08-11,2023Q3,False
cutoff,2022-08-11,2023Q4,False
cutoff,2022-08-11,2024Q1,False
cutoff,2022-08-11,2024Q2,False
cutoff,2022-08-11,2024Q3,False
cutoff,2022-08-11,2024Q4,False
report,2022-11-10,2022Q4,True
report,2022-11-10,2023Q1,True
report,2022-11-10,2023Q2,True
report,2022-11-10,2023Q3,True
report,2022-11-10,2023Q4,False
report,2022-11-10,2024Q1,False
report,2022-11-10,2024Q2,False
report,2022-11-10,2024Q3,False
report,2022-11-10,2024Q4,False
cutoff,2022-11-10,2022Q4,True
cutoff,2022-11-10,2023Q1,True
cutoff,2022-11-10,2023Q2,True
cutoff,2022-11-10,2023Q3,True
cutoff,2022-11-10,2023Q4,False
cutoff,2022-11-10,2024Q1,False
cutoff,2022-11-10,2024Q2,False
cutoff,2022-11-10,2024Q3,False
cutoff,2022-11-10,2024Q4,False
report,2023-02-09,2023Q1,True
report,2023-02-09,2023Q2,True
report,2023-02-09,2023Q3,True
report,2023-02-09,2023Q4,True
report,2023-02-09,2024Q1,False
report,2023-02-09,2024Q2,False
report,2023-02-09,2024Q3,False
report,2023-02-09,2024Q4,False
cutoff,2023-02-09,2023Q1,True
cutoff,2023-02-09,2023Q2,True
cutoff,2023-02-09,2023Q3,True
cutoff,2023-02-09,2023Q4,True
cutoff,2023-02-09,2024Q1,False
cutoff,2023-02-09,2024Q2,False
cutoff,2023-02-09,2024Q3,False
cutoff,2023-02-09,2024Q4,False
report,2023-05-11,2023Q2,True
report,2023-05-11,2023Q3,True
report,2023-05-11,2023Q4,True
report,2023-05-11,2024Q1,True
report,2023-05-11,2024Q2,False
report,2023-05-11,2024Q3,False
report,2023-05-11,2024Q4,False
cutoff,2023-05-11,2023Q2,True
cutoff,2023-05-11,2023Q3,True
cutoff,2023-05-11,2023Q4,True
cutoff,2023-05-11,2024Q1,True
cutoff,2023-05-11,2024Q2,False
cutoff,2023-05-11,2024Q3,False
cutoff,2023-05-11,2024Q4,False
report,2023-08-10,2023Q3,True
report,2023-08-10,2023Q4,True
report,2023-08-10,2024Q1,True
report,2023-08-10,2024Q2,True
report,2023-08-10,2024Q3,False
report,2023-08-10,2024Q4,False
report,2023-08-10,2025Q1,False
report,2023-08-10,2025Q2,False
report,2023-08-10,2025Q3,False
report,2023-08-10,2025Q4,False
cutoff,2023-08-10,2023Q3,True
cutoff,2023-08-10,2023Q4,True
cutoff,2023-08-10,2024Q1,True
cutoff,2023-08-10,2024Q2,True
cutoff,2023-08-10,2024Q3,False
cutoff,2023-08-10,2024Q4,False
cutoff,2023-08-10,2025Q1,False
cutoff,2023-08-10,2025Q2,False
cutoff,2023-08-10,2025Q3,False
cutoff,2023-08-10,2025Q4,False
report,2023-11-09,2023Q4,True
report,2023-11-09,2024Q1,True
report,2023-11-09,2024Q2,True
report,2023-11-09,2024Q3,True
report,2023-11-09,2024Q4,False
report,2023-11-09,2025Q1,False
report,2023-11-09,2025Q2,False
report,2023-11-09,2025Q3,False
report,2023-11-09,2025Q4,False
cutoff,2023-11-09,2023Q4,True
cutoff,2023-11-09,2024Q1,True
cutoff,2023-11-09,2024Q2,True
cutoff,2023-11-09,2024Q3,True
cutoff,2023-11-09,2024Q4,False
cutoff,2023-11-09,2025Q1,False
cutoff,2023-11-09,2025Q2,False
cutoff,2023-11-09,2025Q3,False
cutoff,2023-11-09,2025Q4,False
report,2024-02-15,2024Q1,True
report,2024-02-15,2024Q2,True
report,2024-02-15,2024Q3,True
report,2024-02-15,2024Q4,True
report,2024-02-15,2025Q1,False
report,2024-02-15,2025Q2,False
report,2024-02-15,2025Q3,False
report,2024-02-15,2025Q4,False
cutoff,2024-02-15,2024Q1,True
cutoff,2024-02-15,2024Q2,True
cutoff,2024-02-15,2024Q3,True
cutoff,2024-02-15,2024Q4,True
cutoff,2024-02-15,2025Q1,False
cutoff,2024-02-15,2025Q2,False
cutoff,2024-02-15,2025Q3,False
cutoff,2024-02-15,2025Q4,False
report,2024-05-09,2024Q2,True
report,2024-05-09,2024Q3,True
report,2024-05-09,2024Q4,True
report,2024-05-09,2025Q1,True
report,2024-05-09,2025Q2,False
report,2024-05-09,2025Q3,False
report,2024-05-09,2025Q4,False
cutoff,2024-05-09,2024Q2,True
cutoff,2024-05-09,2024Q3,True
cutoff,2024-05-09,2024Q4,True
cutoff,2024-05-09,2025Q1,True
cutoff,2024-05-09,2025Q2,False
cutoff,2024-05-09,2025Q3,False
cutoff,2024-05-09,2025Q4,False
report,2024-08-08,2024Q3,True
report,2024-08-08,2024Q4,True
report,2024-08-08,2025Q1,True
report,2024-08-08,2025Q2,True
report,2024-08-08,2025Q3,False
report,2024-08-08,2025Q4,False
report,2024-08-08,2026Q1,False
report,2024-08-08,2026Q2,False
report,2024-08-08,2026Q3,False
