sample,clock,model,omitted_report,n,mae,rmse,cnb_mae,cnb_rmse
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2022-02-10,62,1.2239230734157636,1.980661031417192,0.7040305251471131,1.4762985730425087
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2022-05-12,62,1.1932284162868994,1.9410480494315123,0.8639058580347869,2.011588414712717
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2022-08-11,62,1.4447820985937059,2.368973536140542,1.025782452630478,2.3011132855836207
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2022-11-10,62,1.4324540723865933,2.3642327780991197,1.0273077011297567,2.3277027370360734
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2023-02-09,62,1.371334725634978,2.287285064386708,1.1198213144271685,2.3679762558638635
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2023-05-11,62,1.3326806937541895,2.256639576358166,1.0977174807353174,2.364701449100045
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2023-08-10,62,1.4869062378654923,2.397129150948486,1.1073596899799842,2.3661721828347044
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2023-11-09,62,1.4315101574897988,2.3721087337527376,1.1139947860587205,2.366849088210777
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2024-02-15,62,1.5136138836436197,2.402619481635246,1.1097687047272502,2.366056213976598
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2024-05-09,62,1.5103690986670115,2.4020646554925316,1.113370885039828,2.367256203681473
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2024-08-08,62,1.5217428643619488,2.403315441054529,1.0964902903161784,2.364628764398905
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2024-11-14,62,1.4985543083467834,2.3996592108224193,1.1182254788429142,2.3679521920645064
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2025-02-13,62,1.5089099628450962,2.401585326445858,1.119703276802938,2.3680554601341135
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2025-05-15,62,1.484641695361371,2.394592236973981,1.1143983776256081,2.366627053457412
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2025-08-14,62,1.4862345521998155,2.395899421087451,1.0970690968318144,2.3639882587009775
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2025-11-13,63,1.4676515658199734,2.3779088358769647,1.0994653920351358,2.3483463711487516
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2026-02-12,64,1.4712920374417502,2.3648801331403675,1.0845651369983424,2.3300770237781605
full,cutoff,BLEND_DAMPED_TRANSMISSION_R16,2026-05-14,65,1.452093132808039,2.3469519280476976,1.074816815601965,2.3129842313782722
full,cutoff,DAMPED_ADAPT_R16,2022-02-10,62,1.2530741110097812,2.013843834359298,0.7040305251471131,1.4762985730425087
full,cutoff,DAMPED_ADAPT_R16,2022-05-12,62,1.1928909165257584,1.8863702043091692,0.8639058580347869,2.011588414712717
full,cutoff,DAMPED_ADAPT_R16,2022-08-11,62,1.4456517618415168,2.333055087036382,1.025782452630478,2.3011132855836207
full,cutoff,DAMPED_ADAPT_R16,2022-11-10,62,1.4308703764878599,2.323192813089605,1.0273077011297567,2.3277027370360734
full,cutoff,DAMPED_ADAPT_R16,2023-02-09,62,1.376802346005,2.256146816924353,1.1198213144271685,2.3679762558638635
full,cutoff,DAMPED_ADAPT_R16,2023-05-11,62,1.3295405248017713,2.2056324230420277,1.0977174807353174,2.364701449100045
full,cutoff,DAMPED_ADAPT_R16,2023-08-10,62,1.5024797081929786,2.366270175142415,1.1073596899799842,2.3661721828347044
full,cutoff,DAMPED_ADAPT_R16,2023-11-09,62,1.4324051285720238,2.3348345248887954,1.1139947860587205,2.366849088210777
full,cutoff,DAMPED_ADAPT_R16,2024-02-15,62,1.5151115105009136,2.367871203746389,1.1097687047272502,2.366056213976598
full,cutoff,DAMPED_ADAPT_R16,2024-05-09,62,1.5072891711613634,2.366416024653769,1.113370885039828,2.367256203681473
full,cutoff,DAMPED_ADAPT_R16,2024-08-08,62,1.5265371373020835,2.3691604740535728,1.0964902903161784,2.364628764398905
full,cutoff,DAMPED_ADAPT_R16,2024-11-14,62,1.5022102744548669,2.3652565211607377,1.1182254788429142,2.3679521920645064
full,cutoff,DAMPED_ADAPT_R16,2025-02-13,62,1.510743380135331,2.366982277573951,1.119703276802938,2.3680554601341135
full,cutoff,DAMPED_ADAPT_R16,2025-05-15,62,1.4911247969772832,2.361028530675366,1.1143983776256081,2.366627053457412
full,cutoff,DAMPED_ADAPT_R16,2025-08-14,62,1.4928362859141866,2.362375622812423,1.0970690968318144,2.3639882587009775
full,cutoff,DAMPED_ADAPT_R16,2025-11-13,63,1.4732051821507877,2.344274927196236,1.0994653920351358,2.3483463711487516
full,cutoff,DAMPED_ADAPT_R16,2026-02-12,64,1.476933025643223,2.3314797203132125,1.0845651369983424,2.3300770237781605
full,cutoff,DAMPED_ADAPT_R16,2026-05-14,65,1.4569353285878952,2.3137087172805173,1.074816815601965,2.3129842313782722
full,cutoff,DAMPED_P80_Q001_R16,2022-02-10,62,1.2879275265228807,2.0370150614042832,0.7040305251471131,1.4762985730425087
full,cutoff,DAMPED_P80_Q001_R16,2022-05-12,62,1.2277443320388581,1.9110876272181638,0.8639058580347869,2.011588414712717
full,cutoff,DAMPED_P80_Q001_R16,2022-08-11,62,1.4805051773546165,2.3530850835333763,1.025782452630478,2.3011132855836207
full,cutoff,DAMPED_P80_Q001_R16,2022-11-10,62,1.4680352547179167,2.3458556345974655,1.0273077011297567,2.3277027370360734
full,cutoff,DAMPED_P80_Q001_R16,2023-02-09,62,1.409947663827509,2.266669355896639,1.1198213144271685,2.3679762558638635
full,cutoff,DAMPED_P80_Q001_R16,2023-05-11,62,1.365751551470724,2.2288659842605862,1.0977174807353174,2.364701449100045
full,cutoff,DAMPED_P80_Q001_R16,2023-08-10,62,1.5073037954655002,2.3740817378214505,1.1073596899799842,2.3661721828347044
full,cutoff,DAMPED_P80_Q001_R16,2023-11-09,62,1.4672585440851236,2.3548493858023325,1.1139947860587205,2.366849088210777
full,cutoff,DAMPED_P80_Q001_R16,2024-02-15,62,1.5499649260140131,2.3876091406954174,1.1097687047272502,2.366056213976598
full,cutoff,DAMPED_P80_Q001_R16,2024-05-09,62,1.5421425866744634,2.3861659986134836,1.113370885039828,2.367256203681473
full,cutoff,DAMPED_P80_Q001_R16,2024-08-08,62,1.5613905528151835,2.388887758564367,1.0964902903161784,2.364628764398905
full,cutoff,DAMPED_P80_Q001_R16,2024-11-14,62,1.5370636899679664,2.3850160968208014,1.1182254788429142,2.3679521920645064
full,cutoff,DAMPED_P80_Q001_R16,2025-02-13,62,1.5455967956484304,2.3867275658420057,1.119703276802938,2.3680554601341135
full,cutoff,DAMPED_P80_Q001_R16,2025-05-15,62,1.523332122410477,2.379804653880166,1.1143983776256081,2.366627053457412
full,cutoff,DAMPED_P80_Q001_R16,2025-08-14,62,1.5235507280524505,2.380684125196682,1.0970690968318144,2.3639882587009775
full,cutoff,DAMPED_P80_Q001_R16,2025-11-13,63,1.507505368846219,2.363894754573665,1.0994653920351358,2.3483463711487516
full,cutoff,DAMPED_P80_Q001_R16,2026-02-12,64,1.5106972719215381,2.3508993655796244,1.0845651369983424,2.3300770237781605
full,cutoff,DAMPED_P80_Q001_R16,2026-05-14,65,1.490180124923467,2.332976477383967,1.074816815601965,2.3129842313782722
full,cutoff,DAMPED_P80_Q010_R16,2022-02-10,62,1.146153659585473,1.8563935494160635,0.7040305251471131,1.4762985730425087
full,cutoff,DAMPED_P80_Q010_R16,2022-05-12,62,1.0708791067055663,1.6915002615463333,0.8639058580347869,2.011588414712717
full,cutoff,DAMPED_P80_Q010_R16,2022-08-11,62,1.2948862900069937,2.0928763660328644,1.025782452630478,2.3011132855836207
full,cutoff,DAMPED_P80_Q010_R16,2022-11-10,62,1.2773434060959998,2.0815650809893134,1.0273077011297567,2.3277027370360734
full,cutoff,DAMPED_P80_Q010_R16,2023-02-09,62,1.2199137061901393,1.990189345226609,1.1198213144271685,2.3679762558638635
full,cutoff,DAMPED_P80_Q010_R16,2023-05-11,62,1.1905775245206673,1.9747259087980829,1.0977174807353174,2.364701449100045
full,cutoff,DAMPED_P80_Q010_R16,2023-08-10,62,1.3471138486421363,2.124474314380427,1.1073596899799842,2.3661721828347044
full,cutoff,DAMPED_P80_Q010_R16,2023-11-09,62,1.3010822721735382,2.106427911134064,1.1139947860587205,2.366849088210777
full,cutoff,DAMPED_P80_Q010_R16,2024-02-15,62,1.361921063070084,2.1269657578881764,1.1097687047272502,2.366056213976598
full,cutoff,DAMPED_P80_Q010_R16,2024-05-09,62,1.3719686126560018,2.1277910286577897,1.113370885039828,2.367256203681473
full,cutoff,DAMPED_P80_Q010_R16,2024-08-08,62,1.3619153889156717,2.1270202020065985,1.0964902903161784,2.364628764398905
full,cutoff,DAMPED_P80_Q010_R16,2024-11-14,62,1.354649238106913,2.1253788525809774,1.1182254788429142,2.3679521920645064
full,cutoff,DAMPED_P80_Q010_R16,2025-02-13,62,1.3647879890501902,2.127037488078582,1.119703276802938,2.3680554601341135
full,cutoff,DAMPED_P80_Q010_R16,2025-05-15,62,1.335758937426441,2.118634535109052,1.1143983776256081,2.366627053457412
full,cutoff,DAMPED_P80_Q010_R16,2025-08-14,62,1.3374704263633446,2.1201356451774624,1.0970690968318144,2.3639882587009775
full,cutoff,DAMPED_P80_Q010_R16,2025-11-13,63,1.3199049561065772,2.103883578990177,1.0994653920351358,2.3483463711487516
full,cutoff,DAMPED_P80_Q010_R16,2026-02-12,64,1.3249204305508944,2.093511971576498,1.0845651369983424,2.3300770237781605
