sample,scope,model,block,h,metric,n_roster,n_valid,n_unavailable
full,own_coverage,INDEPENDENT_BRIDGE,administered,1,monthly_error,90,89,1
full,own_coverage,INDEPENDENT_BRIDGE,administered,2,monthly_error,90,88,2
full,own_coverage,INDEPENDENT_BRIDGE,administered,3,monthly_error,90,87,3
full,own_coverage,INDEPENDENT_BRIDGE,administered,4,monthly_error,90,86,4
full,own_coverage,INDEPENDENT_BRIDGE,administered,5,monthly_error,90,85,5
full,own_coverage,INDEPENDENT_BRIDGE,administered,6,monthly_error,90,84,6
full,own_coverage,INDEPENDENT_BRIDGE,administered,7,monthly_error,90,83,7
full,own_coverage,INDEPENDENT_BRIDGE,administered,8,monthly_error,90,82,8
full,own_coverage,INDEPENDENT_BRIDGE,administered,9,monthly_error,90,81,9
full,own_coverage,INDEPENDENT_BRIDGE,administered,10,monthly_error,90,80,10
full,own_coverage,INDEPENDENT_BRIDGE,administered,11,monthly_error,90,79,11
full,own_coverage,INDEPENDENT_BRIDGE,administered,12,monthly_error,90,78,12
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,1,monthly_error,90,89,1
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,2,monthly_error,90,88,2
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,3,monthly_error,90,87,3
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,4,monthly_error,90,86,4
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,5,monthly_error,90,85,5
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,6,monthly_error,90,84,6
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,7,monthly_error,90,83,7
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,8,monthly_error,90,82,8
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,9,monthly_error,90,81,9
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,10,monthly_error,90,80,10
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,11,monthly_error,90,79,11
full,own_coverage,INDEPENDENT_BRIDGE,alcohol_tobacco,12,monthly_error,90,78,12
full,own_coverage,INDEPENDENT_BRIDGE,core,1,monthly_error,90,89,1
full,own_coverage,INDEPENDENT_BRIDGE,core,2,monthly_error,90,88,2
full,own_coverage,INDEPENDENT_BRIDGE,core,3,monthly_error,90,87,3
full,own_coverage,INDEPENDENT_BRIDGE,core,4,monthly_error,90,86,4
full,own_coverage,INDEPENDENT_BRIDGE,core,5,monthly_error,90,85,5
full,own_coverage,INDEPENDENT_BRIDGE,core,6,monthly_error,90,84,6
full,own_coverage,INDEPENDENT_BRIDGE,core,7,monthly_error,90,83,7
full,own_coverage,INDEPENDENT_BRIDGE,core,8,monthly_error,90,82,8
full,own_coverage,INDEPENDENT_BRIDGE,core,9,monthly_error,90,81,9
full,own_coverage,INDEPENDENT_BRIDGE,core,10,monthly_error,90,80,10
full,own_coverage,INDEPENDENT_BRIDGE,core,11,monthly_error,90,79,11
full,own_coverage,INDEPENDENT_BRIDGE,core,12,monthly_error,90,78,12
full,own_coverage,INDEPENDENT_BRIDGE,food,1,monthly_error,90,88,2
full,own_coverage,INDEPENDENT_BRIDGE,food,2,monthly_error,90,86,4
full,own_coverage,INDEPENDENT_BRIDGE,food,3,monthly_error,90,84,6
full,own_coverage,INDEPENDENT_BRIDGE,food,4,monthly_error,90,86,4
full,own_coverage,INDEPENDENT_BRIDGE,food,5,monthly_error,90,85,5
full,own_coverage,INDEPENDENT_BRIDGE,food,6,monthly_error,90,84,6
full,own_coverage,INDEPENDENT_BRIDGE,food,7,monthly_error,90,83,7
full,own_coverage,INDEPENDENT_BRIDGE,food,8,monthly_error,90,82,8
full,own_coverage,INDEPENDENT_BRIDGE,food,9,monthly_error,90,81,9
full,own_coverage,INDEPENDENT_BRIDGE,food,10,monthly_error,90,80,10
full,own_coverage,INDEPENDENT_BRIDGE,food,11,monthly_error,90,79,11
full,own_coverage,INDEPENDENT_BRIDGE,food,12,monthly_error,90,78,12
full,own_coverage,INDEPENDENT_BRIDGE,fuel,1,monthly_error,90,89,1
full,own_coverage,INDEPENDENT_BRIDGE,fuel,2,monthly_error,90,88,2
full,own_coverage,INDEPENDENT_BRIDGE,fuel,3,monthly_error,90,87,3
full,own_coverage,INDEPENDENT_BRIDGE,fuel,4,monthly_error,90,86,4
full,own_coverage,INDEPENDENT_BRIDGE,fuel,5,monthly_error,90,85,5
full,own_coverage,INDEPENDENT_BRIDGE,fuel,6,monthly_error,90,84,6
full,own_coverage,INDEPENDENT_BRIDGE,fuel,7,monthly_error,90,83,7
full,own_coverage,INDEPENDENT_BRIDGE,fuel,8,monthly_error,90,82,8
full,own_coverage,INDEPENDENT_BRIDGE,fuel,9,monthly_error,90,81,9
full,own_coverage,INDEPENDENT_BRIDGE,fuel,10,monthly_error,90,80,10
full,own_coverage,INDEPENDENT_BRIDGE,fuel,11,monthly_error,90,79,11
full,own_coverage,INDEPENDENT_BRIDGE,fuel,12,monthly_error,90,78,12
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,1,monthly_error,90,89,1
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,2,monthly_error,90,88,2
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,3,monthly_error,90,87,3
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,4,monthly_error,90,86,4
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,5,monthly_error,90,85,5
full,own_coverage,STABLE_LOCAL_CORE_R14B,administered,6,monthly_error,90,84,6
