,actual_core_minus_prior_forecast
2015-04,0.2237904874013159
2015-05,0.6564008542280476
2015-06,-0.7182995931926819
2015-07,0.026202180986725054
2015-08,-0.06336153405117992
2015-09,0.03720255399853972
2015-10,0.2968613435821708
2015-11,-0.07840720006594745
2015-12,0.1900280761322082
2016-01,-0.2420225650487068
2016-02,-0.04232832596658001
2016-03,-0.13982591014670526
2016-04,-0.13019270831907465
2016-05,0.020674619786685375
2016-06,-0.17663913834723904
2016-07,0.04838047562165543
2016-08,-0.21009990263632045
2016-09,0.007612312346914896
2016-10,0.27369068776644895
2016-11,0.015037858492950598
2016-12,0.3063980818249823
2017-01,0.22514652781032946
2017-02,0.04382666177590239
2017-03,-0.09886660923156951
2017-04,0.03978870497404119
2017-05,-0.004330750749314022
2017-06,0.0018861215416145216
2017-07,0.19866373912005997
2017-08,-0.0730010999380625
2017-09,0.15509361109556224
2017-10,0.07509561754366845
2017-11,-0.15978280235103814
2017-12,-0.2701639670744162
2018-01,-0.11428719800697579
2018-02,0.0741124945197365
2018-03,0.058339181881335
2018-04,0.12901622883385844
2018-05,0.033215900855827846
2018-06,0.01711742830191912
2018-07,0.4880161129818311
2018-08,-0.10693967112317831
2018-09,-0.3975797726431439
2018-10,0.22012814262283698
2018-11,0.09797005917720744
2018-12,-0.08092939331425805
2019-01,0.3877482049335592
2019-02,0.03442332065228887
2019-03,-0.1145124591210952
2019-04,-0.01730438316789612
2019-05,-0.01933138158888867
2019-06,0.1253307493185915
2019-07,0.4177672476557538
2019-08,0.08768054296911026
2019-09,-0.3198652508844604
2019-10,0.2956358101228773
2019-11,-0.11565764843981875
2019-12,0.061017486112500026
2020-01,0.4688487288297035
2020-02,0.4024451852114874
2020-03,-0.2174469336767928
2020-04,0.25507092384951163
2020-05,0.5929580601763342
2020-06,0.12303514137998978
2020-07,0.653232291845514
2020-08,-0.12737274497046225
2020-09,-0.005903493521785208
2020-10,0.20985569550726169
2020-11,-0.17997458005679307
2020-12,-0.22695171564798225
2021-01,0.3268910110608776
2021-02,-0.3184576250555206
2021-03,-0.020234850493273504
2021-04,0.02384994024372028
2021-05,-0.18166499026714866
2021-06,0.4794217392129571
2021-07,0.5041650764697585
2021-08,0.6751814555756278
2021-09,0.4147625428175333
2021-10,0.5603083320272086
2021-11,0.41797802717522126
2021-12,-0.5153412805952682
2022-01,0.6022001451329189
2022-02,-0.167797614263972
2022-03,0.5899861825897995
2022-04,0.3538409799562807
2022-05,-0.744287185958008
2022-06,-0.044761925632821775
2022-07,-0.636045328077667
2022-08,-0.5522483099385492
2022-09,-0.11548948817469257
2022-10,-0.27482784517309455
2022-11,-0.4054343301266389
2022-12,0.05857867864867422
2023-01,-0.15576892970697986
2023-02,-0.019920784455409124
2023-03,-0.10684966568489712
2023-04,-0.6352052499294156
2023-05,-0.33191731902507904
2023-06,0.19942798937742934
2023-07,0.11129545198017099
2023-08,-0.370126048287767
2023-09,-0.4046036239567569
2023-10,-0.40275788645629435
2023-11,-0.1645692890722845
2023-12,-0.2761773976523872
2024-01,-0.11389241774248954
2024-02,0.3406203575655893
2024-03,0.047507286772518614
2024-04,-0.21294138633652157
2024-05,0.11233749499633044
2024-06,-0.15246891879037713
2024-07,0.5665956837323848
2024-08,-0.11941905379619056
2024-09,-0.2816459003869731
2024-10,0.1343214156928515
2024-11,0.016607061119931044
2024-12,-0.0735575487013555
2025-01,0.24287019506719026
2025-02,0.08862077102058702
2025-03,-0.1613497189377208
2025-04,-0.0657103370671957
2025-05,0.1683485545771655
2025-06,0.1301990594893629
2025-07,0.10271034893350905
2025-08,0.03809991034734567
2025-09,-0.14771199124915957
2025-10,0.15682201521639466
2025-11,0.00947785396207193
2025-12,0.24853723396794378
2026-01,0.04911135925973542
2026-02,0.12110082866998556
2026-03,0.16479478229404945
2026-04,-0.04179811834792896
2026-05,-0.03426677150292978
2026-06,-0.0498340410031457
2026-07,0.25653192282169535
