"Ukazatel","IndicatorType","Týdny","CasT2","Území","Uz0","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná cena bez daní (Kč/tis. l)","7401"," 28. týden 2016","2016-W28","Česko","CZ","10421.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 29. týden 2016","2016-W29","Česko","CZ","10256.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 30. týden 2016","2016-W30","Česko","CZ","10166.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 31. týden 2016","2016-W31","Česko","CZ","9875.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 32. týden 2016","2016-W32","Česko","CZ","9813.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 33. týden 2016","2016-W33","Česko","CZ","9987.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 34. týden 2016","2016-W34","Česko","CZ","10637.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 35. týden 2016","2016-W35","Česko","CZ","11223.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 36. týden 2016","2016-W36","Česko","CZ","10501.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 37. týden 2016","2016-W37","Česko","CZ","10494.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 38. týden 2016","2016-W38","Česko","CZ","10453.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 39. týden 2016","2016-W39","Česko","CZ","10654.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 40. týden 2016","2016-W40","Česko","CZ","10717.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 41. týden 2016","2016-W41","Česko","CZ","10693.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 42. týden 2016","2016-W42","Česko","CZ","11179.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 44. týden 2016","2016-W44","Česko","CZ","11260.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 45. týden 2016","2016-W45","Česko","CZ","10890.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 46. týden 2016","2016-W46","Česko","CZ","10683.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 47. týden 2016","2016-W47","Česko","CZ","10938.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 48. týden 2016","2016-W48","Česko","CZ","11467.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 49. týden 2016","2016-W49","Česko","CZ","11618.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 50. týden 2016","2016-W50","Česko","CZ","12089.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 51. týden 2016","2016-W51","Česko","CZ","12405.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 01. týden 2017","2017-W01","Česko","CZ","12607.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 02. týden 2017","2017-W02","Česko","CZ","12540.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 03. týden 2017","2017-W03","Česko","CZ","12643.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 04. týden 2017","2017-W04","Česko","CZ","12595.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 05. týden 2017","2017-W05","Česko","CZ","12482.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 06. týden 2017","2017-W06","Česko","CZ","12550.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 07. týden 2017","2017-W07","Česko","CZ","12485.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 08. týden 2017","2017-W08","Česko","CZ","12407.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 09. týden 2017","2017-W09","Česko","CZ","12587.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 10. týden 2017","2017-W10","Česko","CZ","12531.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 11. týden 2017","2017-W11","Česko","CZ","12273.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 12. týden 2017","2017-W12","Česko","CZ","11947.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 13. týden 2017","2017-W13","Česko","CZ","11818.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 14. týden 2017","2017-W14","Česko","CZ","11998.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 15. týden 2017","2017-W15","Česko","CZ","12011.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 17. týden 2017","2017-W17","Česko","CZ","12027.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 20. týden 2017","2017-W20","Česko","CZ","11122.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 21. týden 2017","2017-W21","Česko","CZ","11292.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 22. týden 2017","2017-W22","Česko","CZ","11364.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 23. týden 2017","2017-W23","Česko","CZ","11026.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 24. týden 2017","2017-W24","Česko","CZ","10693.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 25. týden 2017","2017-W25","Česko","CZ","10562.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 26. týden 2017","2017-W26","Česko","CZ","10424.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 28. týden 2017","2017-W28","Česko","CZ","10638.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 29. týden 2017","2017-W29","Česko","CZ","10261.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 30. týden 2017","2017-W30","Česko","CZ","10342.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 31. týden 2017","2017-W31","Česko","CZ","10460.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 32. týden 2017","2017-W32","Česko","CZ","10675.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 33. týden 2017","2017-W33","Česko","CZ","10660.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 34. týden 2017","2017-W34","Česko","CZ","10608.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 35. týden 2017","2017-W35","Česko","CZ","10622.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 36. týden 2017","2017-W36","Česko","CZ","10803.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 37. týden 2017","2017-W37","Česko","CZ","11054.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 38. týden 2017","2017-W38","Česko","CZ","11287.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 39. týden 2017","2017-W39","Česko","CZ","11327.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 40. týden 2017","2017-W40","Česko","CZ","11593.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 41. týden 2017","2017-W41","Česko","CZ","11626.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 42. týden 2017","2017-W42","Česko","CZ","11660.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 43. týden 2017","2017-W43","Česko","CZ","11768.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 44. týden 2017","2017-W44","Česko","CZ","11726.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 45. týden 2017","2017-W45","Česko","CZ","11954.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 46. týden 2017","2017-W46","Česko","CZ","12278.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 47. týden 2017","2017-W47","Česko","CZ","12314.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 48. týden 2017","2017-W48","Česko","CZ","12134.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 49. týden 2017","2017-W49","Česko","CZ","12032.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 50. týden 2017","2017-W50","Česko","CZ","12103.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 51. týden 2017","2017-W51","Česko","CZ","12447.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 01. týden 2018","2018-W01","Česko","CZ","12483.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 02. týden 2018","2018-W02","Česko","CZ","12579.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 03. týden 2018","2018-W03","Česko","CZ","12716.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 04. týden 2018","2018-W04","Česko","CZ","12549.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 05. týden 2018","2018-W05","Česko","CZ","12441.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 06. týden 2018","2018-W06","Česko","CZ","12367.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 07. týden 2018","2018-W07","Česko","CZ","12005.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 08. týden 2018","2018-W08","Česko","CZ","11664.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 09. týden 2018","2018-W09","Česko","CZ","11702.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 10. týden 2018","2018-W10","Česko","CZ","11611.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 11. týden 2018","2018-W11","Česko","CZ","11456.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 12. týden 2018","2018-W12","Česko","CZ","11471.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 13. týden 2018","2018-W13","Česko","CZ","11724.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 15. týden 2018","2018-W15","Česko","CZ","12107.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 16. týden 2018","2018-W16","Česko","CZ","12076.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 17. týden 2018","2018-W17","Česko","CZ","12111.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 18. týden 2018","2018-W18","Česko","CZ","12406.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 19. týden 2018","2018-W19","Česko","CZ","12691.0","Kč/tis. l",""
