ticker,TZTA Comdty,W A Comdty,C A Comdty,S A Comdty
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,
2020-01-20,16.142,,,
2020-01-21,16.01,,,
2020-01-22,15.94,,,
2020-01-23,15.901,,,
2020-01-24,15.535,,,
2020-01-27,15.428,,,
2020-01-28,15.81,,,
2020-01-29,15.468,,,
2020-01-30,15.21,,,
2020-01-31,14.924,,,
2020-02-03,15.0,,,
2020-02-04,15.341,,,
2020-02-05,15.866,,,
2020-02-06,15.634,,,
2020-02-07,15.77,,,
2020-02-10,15.69,,,
2020-02-11,16.134,,,
2020-02-12,16.443,,,
2020-02-13,16.605,,,
2020-02-14,16.796,,,
2020-02-17,16.746,,,
2020-02-18,16.581,,,
2020-02-19,16.309,,,
2020-02-20,16.121,,,
2020-02-21,15.866,,,
2020-02-24,15.701,,,
2020-02-25,15.605,,,
2020-02-26,15.641,,,
2020-02-27,15.639,,,
2020-02-28,15.661,,,
2020-03-02,15.6,,,
2020-03-03,15.835,,,
2020-03-04,15.709,,,
2020-03-05,15.826,,,
2020-03-06,15.355,,,
2020-03-09,14.856,,,
2020-03-10,15.259,,,
2020-03-11,14.78,,,
2020-03-12,14.618,,,
2020-03-13,14.696,,,
2020-03-16,14.415,,,
2020-03-17,14.206,,,
2020-03-18,13.679,,,
2020-03-19,13.63,,,
2020-03-20,13.841,,,
2020-03-23,13.775,,,
2020-03-24,14.438,,,
2020-03-25,14.594,,,
2020-03-26,14.721,,,
2020-03-27,14.571,,,
2020-03-30,14.563,,,
2020-03-31,14.803,,,
2020-04-01,14.673,,,
2020-04-02,14.775,,,
2020-04-03,14.823,,,
2020-04-06,14.973,,,
2020-04-07,15.248,,,
2020-04-08,15.279,,,
2020-04-09,15.458,,,
2020-04-13,15.458,,,
2020-04-14,15.311,,,
2020-04-15,14.857,,,
2020-04-16,14.965,,,
2020-04-17,15.255,,,
2020-04-20,15.143,,,
2020-04-21,14.655,,,
2020-04-22,14.425,,,
2020-04-23,14.568,,,
2020-04-24,14.69,,,
2020-04-27,14.475,,,
2020-04-28,14.565,,,
2020-04-29,14.42,,,
2020-04-30,14.245,,,
2020-05-01,13.96,,,
2020-05-04,13.931,,,
2020-05-05,14.201,,,
2020-05-06,14.065,,,
2020-05-07,14.194,,,
2020-05-08,14.291,,,
2020-05-11,14.393,,,
2020-05-12,14.209,,,
2020-05-13,14.133,,,
2020-05-14,14.22,,,
