target_month,actual_rent,imputed_rent,catering,accommodation,package_holidays
2015-01,99.7,99.6,99.5,99.0,96.3
2015-02,99.9,99.5,99.6,98.7,99.8
2015-03,99.9,99.5,99.6,99.0,95.2
2015-04,100.1,99.6,99.7,99.9,94.8
2015-05,100.0,100.0,100.0,100.3,94.5
2015-06,100.0,100.1,100.0,100.8,99.5
2015-07,99.8,100.1,100.1,101.2,112.2
2015-08,99.8,100.1,100.2,101.6,115.3
2015-09,99.9,100.3,100.3,100.9,99.4
2015-10,100.1,100.5,100.3,100.3,99.1
2015-11,100.3,100.4,100.3,99.4,96.9
2015-12,100.5,100.5,100.4,99.0,97.0
2016-01,100.7,100.7,100.7,99.0,103.0
2016-02,100.6,100.5,100.7,99.2,108.1
2016-03,100.8,100.4,100.9,99.9,101.7
2016-04,100.9,100.5,100.9,100.6,99.6
2016-05,100.9,101.1,101.2,100.6,98.6
2016-06,100.9,101.0,101.2,100.8,99.9
2016-07,101.1,101.0,101.3,102.1,112.7
2016-08,101.5,101.2,101.5,102.1,114.2
2016-09,101.5,101.4,101.6,101.3,99.3
2016-10,101.6,101.7,102.1,100.8,98.7
2016-11,101.8,101.8,102.8,100.0,97.1
2016-12,101.8,102.5,105.3,100.5,96.5
2017-01,102.4,103.0,106.1,100.4,104.2
2017-02,102.6,103.4,106.7,100.9,108.9
2017-03,102.8,103.7,107.0,101.4,102.3
2017-04,103.0,104.1,107.3,102.1,100.4
2017-05,103.1,104.9,107.6,102.8,100.0
2017-06,103.1,105.4,107.7,103.4,104.1
2017-07,103.4,105.8,108.1,103.7,117.2
2017-08,103.5,106.4,108.3,104.2,118.8
2017-09,103.8,106.7,109.3,103.0,102.8
2017-10,104.0,107.1,109.5,102.5,101.7
2017-11,104.2,107.1,109.7,101.6,99.6
2017-12,104.4,107.3,109.9,102.1,99.4
2018-01,104.6,107.3,110.5,102.0,106.5
2018-02,105.0,107.3,110.6,102.4,111.1
2018-03,105.3,107.5,110.9,103.0,105.5
2018-04,105.7,108.3,111.1,105.1,103.4
2018-05,106.1,108.9,111.5,106.0,102.9
2018-06,106.3,109.2,111.7,106.0,106.7
2018-07,106.7,109.6,112.0,107.9,132.0
2018-08,107.1,110.7,112.1,108.0,134.9
2018-09,107.4,111.4,112.6,107.4,104.8
2018-10,107.5,112.4,113.2,106.5,104.1
2018-11,107.6,113.0,113.8,105.3,102.9
2018-12,107.8,113.5,114.2,105.7,103.4
2019-01,108.6,113.7,114.8,104.8,115.3
2019-02,109.0,113.6,115.1,104.7,120.9
2019-03,109.1,113.6,115.3,106.0,110.3
2019-04,109.2,114.3,115.6,108.0,108.2
2019-05,109.6,115.0,116.0,108.7,106.2
2019-06,110.4,115.4,116.6,108.8,113.3
2019-07,111.0,115.6,117.0,110.2,141.4
2019-08,111.3,116.1,117.4,110.5,145.4
2019-09,111.5,116.3,118.3,110.6,111.1
2019-10,111.6,117.0,118.8,109.9,110.4
2019-11,111.7,117.6,119.3,108.8,109.5
2019-12,111.8,118.0,119.7,109.2,109.7
2020-01,113.2,118.1,121.0,109.4,120.5
2020-02,113.7,117.8,121.6,110.7,127.3
2020-03,113.7,117.6,121.9,111.0,116.4
2020-04,113.9,117.5,122.0,111.0,113.5
2020-05,113.8,117.9,122.5,111.5,112.5
2020-06,113.8,118.2,123.0,111.3,118.5
2020-07,114.1,118.3,123.5,111.9,146.0
2020-08,114.2,118.1,123.8,112.2,149.1
2020-09,113.7,118.3,124.7,111.0,116.9
2020-10,113.8,118.7,125.1,109.5,116.0
2020-11,113.9,119.4,125.2,109.5,115.0
2020-12,114.0,119.8,125.3,109.3,115.2
2021-01,114.7,120.2,125.7,109.5,127.0
2021-02,115.0,120.4,125.8,109.5,130.0
2021-03,115.2,120.5,126.0,109.7,119.3
2021-04,115.6,121.0,126.1,109.8,115.9
2021-05,115.9,122.0,126.3,110.5,114.9
2021-06,116.2,123.5,127.7,111.0,119.8
2021-07,116.9,125.4,129.0,113.0,147.6
2021-08,117.1,127.8,130.2,114.2,152.4
2021-09,117.4,130.5,131.5,113.6,120.0
2021-10,117.8,133.9,132.7,113.2,119.1
2021-11,118.1,136.5,134.7,113.3,118.9
2021-12,118.5,137.4,135.5,113.5,119.3
2022-01,119.6,138.5,139.8,115.0,132.2
2022-02,120.0,139.3,141.8,117.2,137.5
2022-03,120.3,140.2,144.9,121.2,127.4
2022-04,120.8,142.4,150.7,125.6,124.6
2022-05,121.4,145.3,155.1,130.5,123.6
2022-06,121.6,148.3,157.7,134.5,138.3
2022-07,122.6,149.6,160.0,135.7,170.1
2022-08,123.1,150.8,162.4,137.1,175.0
2022-09,123.5,151.9,165.7,137.3,139.1
2022-10,124.2,152.7,168.0,136.5,138.5
2022-11,125.0,152.7,169.7,136.2,138.6
2022-12,125.5,152.4,170.8,137.7,141.5
2023-01,126.9,151.1,173.1,137.9,157.4
2023-02,127.8,150.0,174.4,140.8,166.3
2023-03,128.4,149.7,176.0,144.3,158.8
2023-04,129.1,149.4,177.2,147.5,149.5
2023-05,129.7,149.8,178.5,149.4,145.6
2023-06,130.0,150.5,179.5,152.7,158.2
2023-07,131.9,150.9,180.5,154.1,194.3
2023-08,132.5,151.4,181.3,155.1,199.6
2023-09,133.2,152.0,182.4,154.1,155.9
2023-10,134.0,152.7,182.9,153.1,154.6
2023-11,134.3,153.4,183.9,152.6,152.6
2023-12,134.6,153.3,184.7,153.4,152.1
2024-01,135.8,151.7,187.9,153.8,162.7
2024-02,136.5,151.5,189.5,154.4,172.5
2024-03,137.5,151.1,190.4,157.3,167.6
2024-04,138.4,150.9,191.2,161.1,160.5
2024-05,139.0,151.3,191.9,164.7,157.8
2024-06,139.1,151.7,192.8,165.1,158.1
2024-07,140.9,152.3,193.3,167.7,197.8
2024-08,141.3,153.2,193.6,168.3,205.1
2024-09,141.7,154.1,195.0,167.7,162.2
2024-10,142.3,155.3,195.6,166.9,162.4
2024-11,142.7,155.7,196.3,166.0,162.6
2024-12,143.0,155.9,196.6,167.2,159.5
2025-01,144.8,156.1,197.6,167.2,168.6
2025-02,145.6,156.2,198.7,167.9,177.1
2025-03,146.1,156.5,199.4,170.0,172.2
2025-04,146.5,157.1,200.1,174.3,167.0
2025-05,146.9,158.3,200.7,177.4,165.0
2025-06,147.9,159.1,201.1,178.1,169.0
2025-07,148.8,159.7,202.0,179.1,207.7
2025-08,149.4,160.7,202.5,179.4,215.9
2025-09,149.8,161.6,203.7,178.7,170.3
2025-10,150.6,162.7,204.3,177.9,171.2
