effective_year,basis_year,subgroup_code,series_name,basket_code,basket_label_cs,weight_permille,availability_assumption_date,availability_assumption_kind,source_file,source_sheet,source_cell
2022,2020,112,accommodation,E11.2,Ubytovací služby,6.607458,2022-02-14,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2022.xlsx,List1,E769
2022,2020,098,package_holidays,E09.6,Dovolená s komplexními službami,16.949289,2022-02-14,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2022.xlsx,List1,E693
2024,2022,041,actual_rent,E04.1,Nájemné z bytu,33.184542,2024-02-15,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,E179
2024,2022,042,imputed_rent,E04.2,Imputované nájemné za bydlení (náklady vlastnického bydlení),103.372152,2024-02-15,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,E191
2024,2022,111,catering,E11.1,Stravovací služby,56.992583,2024-02-15,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,E697
2024,2022,112,accommodation,E11.2,Ubytovací služby,7.779954,2024-02-15,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,E738
2024,2022,098,package_holidays,E09.6,Dovolená s komplexními službami,18.74232,2024-02-15,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,E662
2026,2024,041,actual_rent,04.1,NÁJEMNÉ ZA BYDLENÍ,34.497805,2026-02-13,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2026.xlsx,List1,E187
2026,2024,042,imputed_rent,04.2,IMPUTOVANÉ NÁJEMNÉ ZA BYDLENÍ (NÁKLADY VLASTNICKÉHO BYDLENÍ),119.295072,2026-02-13,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2026.xlsx,List1,E199
2026,2024,111,catering,11.1,STRAVOVACÍ SLUŽBY,60.074047,2026-02-13,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2026.xlsx,List1,E714
2026,2024,112,accommodation,11.2,UBYTOVACÍ SLUŽBY,8.090192,2026-02-13,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2026.xlsx,List1,E756
2026,2024,098,package_holidays,09.8,ORGANIZOVANÁ DOVOLENÁ A ZÁJEZDY,18.543302,2026-02-13,January detailed release date,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2026.xlsx,List1,E679
