period,model,actual,consensus,forecast,error,surprise,deviation,gain_vs_consensus,gain_vs_base,big,alert,direction_correct
2019-02,BASE,0.20000000000000001,0.10000000000000001,0.31775488058818213,0.11775488058818212,0.10000000000000001,0.21775488058818213,-0.017754880588182115,0,False,True,True
2019-07,BASE,0.40000000000000002,0.20000000000000001,0.43522902776385097,0.035229027763850951,0.20000000000000001,0.23522902776385096,0.16477097223614906,0,False,True,True
2020-03,BASE,-0.10000000000000001,0.10000000000000001,-0.26205742195104648,-0.16205742195104647,-0.20000000000000001,-0.36205742195104651,0.03794257804895354,0,False,True,True
2020-07,BASE,0.40000000000000002,0.20000000000000001,0.48695029773844739,0.086950297738447369,0.20000000000000001,0.28695029773844738,0.11304970226155264,0,False,True,True
2021-11,BASE,0.20000000000000001,0.29999999999999999,0.68234845142842038,0.48234845142842037,-0.099999999999999978,0.38234845142842039,-0.38234845142842039,0,False,True,False
2021-12,BASE,0.40000000000000002,0.29999999999999999,0.77093896741703016,0.37093896741703014,0.10000000000000003,0.47093896741703017,-0.27093896741703011,0,False,True,True
2022-01,BASE,4.4000000000000004,3.7999999999999998,4.3781372269715337,-0.02186277302846662,0.60000000000000053,0.57813722697153391,0.57813722697153391,0,True,True,True
2022-02,BASE,1.3,0.59999999999999998,0.86642540702841275,-0.43357459297158729,0.70000000000000007,0.26642540702841278,0.26642540702841278,0,True,True,True
2022-03,BASE,1.7,1.3999999999999999,0.97407177738956485,-0.7259282226104351,0.30000000000000004,-0.42592822261043506,-0.42592822261043506,0,False,True,False
2022-05,BASE,1.8,1.3999999999999999,1.8273429935590184,0.027342993559018369,0.40000000000000013,0.4273429935590185,0.37265700644098176,0,True,True,True
2022-10,BASE,-1.3999999999999999,0.90000000000000002,1.1729476113272232,2.5729476113272232,-2.2999999999999998,0.27294761132722323,-0.27294761132722334,0,True,True,False
2022-12,BASE,0,0.40000000000000002,0.047475065722731635,0.047475065722731635,-0.40000000000000002,-0.35252493427726839,0.35252493427726839,0,True,True,True
2023-01,BASE,6,5.7999999999999998,4.8731484312435551,-1.1268515687564449,0.20000000000000018,-0.9268515687564447,-0.9268515687564447,0,False,True,False
2023-06,BASE,0.29999999999999999,0.29999999999999999,0.035044079040744636,-0.26495592095925535,0,-0.26495592095925535,-0.26495592095925535,0,False,True,False
2023-08,BASE,0.20000000000000001,0.10000000000000001,0.4746143904367312,0.27461439043673119,0.10000000000000001,0.37461439043673117,-0.17461439043673119,0,False,True,True
2023-10,BASE,0.10000000000000001,0,0.29059742738357847,0.19059742738357846,0.10000000000000001,0.29059742738357847,-0.090597427383578455,0,False,True,True
2024-01,BASE,1.5,2,0.93191653765185667,-0.56808346234814333,-0.5,-1.0680834623481434,-0.068083462348143331,0,True,True,True
2024-04,BASE,0.69999999999999996,0.20000000000000001,0.53551387459744904,-0.16448612540255092,0.49999999999999994,0.33551387459744902,0.33551387459744902,0,True,True,True
2024-07,BASE,0.69999999999999996,0.5,0.20998444901121854,-0.49001555098878141,0.19999999999999996,-0.29001555098878146,-0.29001555098878146,0,False,True,False
2025-12,BASE,-0.29999999999999999,-0.10000000000000001,-0.31763598442656887,-0.017635984426568885,-0.19999999999999998,-0.21763598442656887,0.1823640155734311,0,False,True,True
2019-02,CATEGORY,0.20000000000000001,0.10000000000000001,0.32143908646450758,0.12143908646450757,0.10000000000000001,0.22143908646450758,-0.021439086464507567,-0.0036842058763254526,False,True,True
2019-07,CATEGORY,0.40000000000000002,0.20000000000000001,0.50160395691497439,0.10160395691497437,0.20000000000000001,0.30160395691497438,0.098396043085025642,-0.066374929151123419,False,True,True
2020-03,CATEGORY,-0.10000000000000001,0.10000000000000001,-0.37323872443305345,-0.27323872443305341,-0.20000000000000001,-0.47323872443305348,-0.073238724433053404,-0.11118130248200694,False,True,True
2020-07,CATEGORY,0.40000000000000002,0.20000000000000001,0.48209216021874068,0.082092160218740662,0.20000000000000001,0.28209216021874067,0.11790783978125935,0.0048581375197067067,False,True,True
2021-11,CATEGORY,0.20000000000000001,0.29999999999999999,0.67171783482414593,0.47171783482414592,-0.099999999999999978,0.37171783482414594,-0.37171783482414594,0.010630616604274445,False,True,False
2021-12,CATEGORY,0.40000000000000002,0.29999999999999999,0.5278450690785419,0.12784506907854187,0.10000000000000003,0.22784506907854191,-0.02784506907854184,0.24309389833848827,False,True,True
2022-01,CATEGORY,4.4000000000000004,3.7999999999999998,4.2690056639061877,-0.13099433609381261,0.60000000000000053,0.46900566390618792,0.46900566390618792,-0.10913156306534599,True,True,True
2022-02,CATEGORY,1.3,0.59999999999999998,0.80936395327976274,-0.49063604672023731,0.70000000000000007,0.20936395327976276,0.20936395327976276,-0.057061453748650015,True,True,True
2022-03,CATEGORY,1.7,1.3999999999999999,1.1366007143931571,-0.56339928560684283,0.30000000000000004,-0.26339928560684278,-0.26339928560684278,0.16252893700359228,False,True,False
2022-04,CATEGORY,1.8,0.90000000000000002,0.65045737218229494,-1.1495426278177052,0.90000000000000002,-0.24954262781770509,-0.2495426278177052,-0.091401183731046665,True,True,False
2022-07,CATEGORY,1.3,1.6000000000000001,1.2429956530746749,-0.057004346925325189,-0.30000000000000004,-0.35700434692532523,0.24299565307467486,0.044835943356937413,False,True,True
2022-08,CATEGORY,0.40000000000000002,0.80000000000000004,0.25437640168796055,-0.14562359831203947,-0.40000000000000002,-0.54562359831203944,0.25437640168796055,0.085229058155680881,True,True,True
2022-09,CATEGORY,0.80000000000000004,0.20000000000000001,-0.154337358603645,-0.95433735860364499,0.60000000000000009,-0.35433735860364501,-0.3543373586036449,-0.31642980324648828,True,True,False
2022-12,CATEGORY,0,0.40000000000000002,0.067349671906951458,0.067349671906951458,-0.40000000000000002,-0.33265032809304856,0.33265032809304856,-0.019874606184219823,True,True,True
2023-01,CATEGORY,6,5.7999999999999998,4.7391423077727453,-1.2608576922272547,0.20000000000000018,-1.0608576922272546,-1.0608576922272546,-0.13400612347080987,False,True,False
2023-09,CATEGORY,-0.69999999999999996,-0.20000000000000001,-0.40717978378345732,0.29282021621654264,-0.49999999999999994,-0.20717978378345731,0.20717978378345731,0.15828138418441334,True,True,True
2023-10,CATEGORY,0.10000000000000001,0,0.2561559415315513,0.1561559415315513,0.10000000000000001,0.2561559415315513,-0.05615594153155129,0.034441485852027165,False,True,True
2024-01,CATEGORY,1.5,2,1.0508249731389481,-0.44917502686105193,-0.5,-0.94917502686105193,0.050824973138948071,0.1189084354870914,True,True,True
2024-04,CATEGORY,0.69999999999999996,0.20000000000000001,0.48365384723651728,-0.21634615276348268,0.49999999999999994,0.28365384723651726,0.28365384723651726,-0.05186002736093176,True,True,True
2025-09,CATEGORY,-0.59999999999999998,-0.29999999999999999,-0.50414161329815177,0.095858386701848208,-0.29999999999999999,-0.20414161329815178,0.20414161329815178,0.024449225619995185,False,True,True
2025-12,CATEGORY,-0.29999999999999999,-0.10000000000000001,-0.32652124031256685,-0.026521240312566863,-0.19999999999999998,-0.22652124031256685,0.17347875968743312,-0.008885255885997978,False,True,True
2019-02,HARD_HALF,0.20000000000000001,0.10000000000000001,0.34572085298259753,0.14572085298259752,0.10000000000000001,0.24572085298259752,-0.04572085298259751,-0.027965972394415395,False,True,True
2019-07,HARD_HALF,0.40000000000000002,0.20000000000000001,0.44014936628323892,0.040149366283238896,0.20000000000000001,0.24014936628323891,0.15985063371676111,-0.0049203385193879456,False,True,True
2020-03,HARD_HALF,-0.10000000000000001,0.10000000000000001,-0.25946905877354964,-0.15946905877354964,-0.20000000000000001,-0.35946905877354962,0.040530941226450373,0.002588363177496833,False,True,True
2020-07,HARD_HALF,0.40000000000000002,0.20000000000000001,0.50397861428941215,0.10397861428941213,0.20000000000000001,0.30397861428941214,0.096021385710587881,-0.017028316550964762,False,True,True
2021-02,HARD_HALF,0.20000000000000001,0.29999999999999999,0.50982636146478566,0.30982636146478565,-0.099999999999999978,0.20982636146478567,-0.20982636146478567,-0.081052506720731443,False,True,False
2021-11,HARD_HALF,0.20000000000000001,0.29999999999999999,0.69825767559065932,0.49825767559065931,-0.099999999999999978,0.39825767559065933,-0.39825767559065933,-0.015909224162238944,False,True,False
2021-12,HARD_HALF,0.40000000000000002,0.29999999999999999,0.87344160664528703,0.47344160664528701,0.10000000000000003,0.57344160664528698,-0.37344160664528697,-0.10250263922825686,False,True,True
2022-01,HARD_HALF,4.4000000000000004,3.7999999999999998,4.4201085255030099,0.020108525503009567,0.60000000000000053,0.6201085255030101,0.57989147449699097,0.0017542475254570533,True,True,True
2022-02,HARD_HALF,1.3,0.59999999999999998,0.94725536635804142,-0.35274463364195863,0.70000000000000007,0.34725536635804144,0.34725536635804144,0.080829959329628664,True,True,True
2022-03,HARD_HALF,1.7,1.3999999999999999,0.95993515362550708,-0.74006484637449288,0.30000000000000004,-0.44006484637449284,-0.44006484637449284,-0.014136623764057776,False,True,False
2022-05,HARD_HALF,1.8,1.3999999999999999,1.9288494818079149,0.12884948180791489,0.40000000000000013,0.52884948180791502,0.27115051819208524,-0.10150648824889652,True,True,True
2022-10,HARD_HALF,-1.3999999999999999,0.90000000000000002,1.1241974351095643,2.5241974351095644,-2.2999999999999998,0.22419743510956425,-0.22419743510956458,0.048750176217658758,True,True,False
2022-12,HARD_HALF,0,0.40000000000000002,0.090941422167735847,0.090941422167735847,-0.40000000000000002,-0.3090585778322642,0.3090585778322642,-0.043466356445004212,True,True,True
2023-01,HARD_HALF,6,5.7999999999999998,4.8557166576029465,-1.1442833423970535,0.20000000000000018,-0.94428334239705336,-0.94428334239705336,-0.017431773640608661,False,True,False
2023-06,HARD_HALF,0.29999999999999999,0.29999999999999999,-0.047130230432921749,-0.34713023043292174,0,-0.34713023043292174,-0.34713023043292174,-0.082174309473666385,False,True,False
2023-08,HARD_HALF,0.20000000000000001,0.10000000000000001,0.47188412299930443,0.27188412299930442,0.10000000000000001,0.3718841229993044,-0.17188412299930442,0.0027302674374267699,False,True,True
2023-10,HARD_HALF,0.10000000000000001,0,0.28266153646166248,0.18266153646166247,0.10000000000000001,0.28266153646166248,-0.082661536461662466,0.007935890921915989,False,True,True
2024-01,HARD_HALF,1.5,2,0.88578717468830925,-0.61421282531169075,-0.5,-1.1142128253116907,-0.11421282531169075,-0.046129362963547416,True,True,True
2024-04,HARD_HALF,0.69999999999999996,0.20000000000000001,0.51693861357753856,-0.18306138642246139,0.49999999999999994,0.31693861357753855,0.31693861357753855,-0.018575261019910472,True,True,True
2024-07,HARD_HALF,0.69999999999999996,0.5,0.24684517534253225,-0.4531548246574677,0.19999999999999996,-0.25315482465746775,-0.25315482465746775,0.036860726331313709,False,True,False
2025-09,HARD_HALF,-0.59999999999999998,-0.29999999999999999,-0.52221021069654983,0.077789789303450152,-0.29999999999999999,-0.22221021069654984,0.22221021069654984,0.042517823018393242,False,True,True
2025-12,HARD_HALF,-0.29999999999999999,-0.10000000000000001,-0.31922200599149242,-0.01922200599149243,-0.19999999999999998,-0.21922200599149241,0.18077799400850755,-0.0015860215649235454,False,True,True
2019-02,HARD_FULL,0.20000000000000001,0.10000000000000001,0.37368682537701292,0.17368682537701291,0.10000000000000001,0.27368682537701294,-0.073686825377012904,-0.05593194478883079,False,True,True
2019-07,HARD_FULL,0.40000000000000002,0.20000000000000001,0.44506970480262692,0.045069704802626898,0.20000000000000001,0.24506970480262691,0.15493029519737311,-0.0098406770387759468,False,True,True
2020-03,HARD_FULL,-0.10000000000000001,0.10000000000000001,-0.25688069559605281,-0.1568806955960528,-0.20000000000000001,-0.35688069559605284,0.043119304403947206,0.005176726354993666,False,True,True
2020-06,HARD_FULL,0.59999999999999998,0.20000000000000001,0.41723388711596737,-0.18276611288403261,0.39999999999999997,0.21723388711596736,0.21723388711596736,0.073352151714196068,True,True,True
2020-07,HARD_FULL,0.40000000000000002,0.20000000000000001,0.52100693084037686,0.12100693084037684,0.20000000000000001,0.32100693084037685,0.078993069159623175,-0.034056633101929468,False,True,True
2021-02,HARD_FULL,0.20000000000000001,0.29999999999999999,0.59087886818551716,0.39087886818551715,-0.099999999999999978,0.29087886818551717,-0.29087886818551717,-0.16210501344146294,False,True,False
2021-05,HARD_FULL,0.20000000000000001,0.40000000000000002,0.60787025449409027,0.40787025449409026,-0.20000000000000001,0.20787025449409025,-0.20787025449409025,-0.039856422103606071,False,True,False
2021-11,HARD_FULL,0.20000000000000001,0.29999999999999999,0.71416689975289827,0.51416689975289831,-0.099999999999999978,0.41416689975289828,-0.41416689975289833,-0.031818448324477944,False,True,False
2021-12,HARD_FULL,0.40000000000000002,0.29999999999999999,0.97594424587354389,0.57594424587354387,0.10000000000000003,0.67594424587354385,-0.47594424587354384,-0.20500527845651373,False,True,True
2022-01,HARD_FULL,4.4000000000000004,3.7999999999999998,4.462079824034487,0.062079824034486641,0.60000000000000053,0.66207982403448717,0.53792017596551389,-0.040217051006020021,True,True,True
2022-02,HARD_FULL,1.3,0.59999999999999998,1.0280853256876701,-0.27191467431232996,0.70000000000000007,0.4280853256876701,0.4280853256876701,0.16165991865925733,True,True,True
2022-03,HARD_FULL,1.7,1.3999999999999999,0.9457985298614493,-0.75420147013855066,0.30000000000000004,-0.45420147013855061,-0.45420147013855061,-0.028273247528115553,False,True,False
2022-05,HARD_FULL,1.8,1.3999999999999999,2.0303559700568115,0.23035597005681141,0.40000000000000013,0.63035597005681154,0.16964402994318872,-0.20301297649779304,True,True,True
2022-12,HARD_FULL,0,0.40000000000000002,0.13440777861274006,0.13440777861274006,-0.40000000000000002,-0.26559222138725996,0.26559222138725996,-0.086932712890008423,True,True,True
2023-01,HARD_FULL,6,5.7999999999999998,4.8382848839623369,-1.1617151160376631,0.20000000000000018,-0.96171511603766291,-0.96171511603766291,-0.03486354728121821,False,True,False
2023-06,HARD_FULL,0.29999999999999999,0.29999999999999999,-0.12930453990658813,-0.42930453990658812,0,-0.42930453990658812,-0.42930453990658812,-0.16434861894733277,False,True,False
2023-08,HARD_FULL,0.20000000000000001,0.10000000000000001,0.46915385556187772,0.26915385556187771,0.10000000000000001,0.36915385556187774,-0.1691538555618777,0.0054605348748534843,False,True,True
2023-10,HARD_FULL,0.10000000000000001,0,0.27472564553974649,0.17472564553974648,0.10000000000000001,0.27472564553974649,-0.074725645539746477,0.015871781843831978,False,True,True
2024-01,HARD_FULL,1.5,2,0.83965781172476184,-0.66034218827523816,-0.5,-1.1603421882752381,-0.16034218827523816,-0.092258725927094831,True,True,True
2024-04,HARD_FULL,0.69999999999999996,0.20000000000000001,0.49836335255762815,-0.20163664744237181,0.49999999999999994,0.29836335255762814,0.29836335255762814,-0.037150522039820888,True,True,True
2024-07,HARD_FULL,0.69999999999999996,0.5,0.28370590167384602,-0.41629409832615394,0.19999999999999996,-0.21629409832615398,-0.21629409832615398,0.073721452662627474,False,True,False
