policy_id,event,effective_month,source_pub_date,treatment_known_date,affected_items,provenance,source_url,r12_treatment_confirmation,treatment_evidence,policy_link_actions,bill_available_at,exposure_available_at,embedded_baseline_available_at,strict_payload_complete,missing_inputs
vat_waiver_2021,start,2021-11,2021-10-20,,electricity;gas,reconstructed,https://www.mfcr.cz,2021-12-10,"Methodology linked in dated 10 Dec 2021 release. Current Czech note footer says updated 9 Dec; no timestamped archive establishes earlier public availability. Conservative confirmation date only, not a claim of first publication.",start;expiry,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline
vat_waiver_2021,expiry,2022-01,2021-10-20,,electricity;gas,reconstructed,https://www.mfcr.cz,2021-12-10,"Methodology linked in dated 10 Dec 2021 release. Current Czech note footer says updated 9 Dec; no timestamped archive establishes earlier public availability. Conservative confirmation date only, not a claim of first publication.",start;expiry,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline
supplier_repricing_2022,start,2022-01,2021-11-01,2022-02-10,electricity;gas,reconstructed,https://www.zscr.cz/clanek/cez-od-r-2022-zvysi-zakaznikum-cenu-elektriny-zhruba-o-tretinu-jeste-vice-podrazi-plyn-6574,2022-02-10,Frozen ledger date claim; not upgraded by the R12 wrapper.,start,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure
saving_tariff,start,2022-10,2022-08-24,2022-11-10,electricity,reconstructed,https://csu.gov.cz/note-to-consumer-prices-of-energy-october-2022,2022-11-10,CZSO October 2023 note explicitly says methodology published with October 2022 release. October 2022 page updated footer 9 Nov is not publication proof. POZE persistence can reuse established treatment; later confirmations are not new onset.,start;expiry,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base
saving_tariff,expiry,2023-01,2022-08-24,2022-11-10,electricity,reconstructed,https://csu.gov.cz/note-to-consumer-prices-of-energy-january-2023,2022-11-10,CZSO October 2023 note explicitly says methodology published with October 2022 release. October 2022 page updated footer 9 Nov is not publication proof. POZE persistence can reuse established treatment; later confirmations are not new onset.,start;expiry,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_cpi_total_expenditure_and_credit_spreading_base
poze_waiver,start,2022-10,2022-09-09,2022-11-10,electricity,reconstructed,https://csu.gov.cz/note-to-consumer-prices-of-energy-october-2022,2022-11-10,CZSO October 2023 note explicitly says methodology published with October 2022 release. October 2022 page updated footer 9 Nov is not publication proof. POZE persistence can reuse established treatment; later confirmations are not new onset.,start;extension;expiry,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline
poze_waiver,extension,2023-01,2022-11-14,2023-02-10,electricity,sourced_retrospective,https://eru.gov.cz/energeticky-regulacni-vestnik-152022,2022-11-10,CZSO October 2023 note explicitly says methodology published with October 2022 release. October 2022 page updated footer 9 Nov is not publication proof. POZE persistence can reuse established treatment; later confirmations are not new onset.,start;extension;expiry,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;extension_must_preserve_original_start_and_supersede_only_supported_expiry
poze_waiver,expiry,2024-01,2023-11-30,2024-02-10,electricity,reconstructed,https://eru.gov.cz/eru-zverejnil-regulovane-ceny-elektriny-plynu-na-rok-2024,2022-11-10,CZSO October 2023 note explicitly says methodology published with October 2022 release. October 2022 page updated footer 9 Nov is not publication proof. POZE persistence can reuse established treatment; later confirmations are not new onset.,start;extension;expiry,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline
price_caps_2023,start,2023-01,2022-10-05,2023-02-10,electricity;gas,reconstructed,https://www.zakonyprolidi.cz/cs/2022-298,2023-02-10,Frozen ledger date claim; not upgraded by the R12 wrapper.,start;expiry,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure
price_caps_2023,expiry,2024-01,2023-11-30,2024-02-10,electricity;gas,reconstructed,https://eru.gov.cz/eru-zverejnil-regulovane-ceny-elektriny-plynu-na-rok-2024,2024-02-10,Frozen ledger date claim; not upgraded by the R12 wrapper.,start;expiry,,,,False,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_contract_cohort_prices_and_repricing_exposure
