scenario,group,status,month,as_of,headline_gross_pp,assumption,evidence_status,previous_month,baseline_energy_pp,headline_incremental_pp,electricity_mm_pct,gas_mm_pct,repricing_household_share,electricity_commodity_share,monthly_fixed_ex_vat,credit_czk_per_household_month,q4_annual_quantity_share,september_paid_czk,october_paid_czk,january_paid_czk,october_item_mm_pct,january_item_mm_pct,january_headline_gross_pp,visible_policy_intervals,headline_lower_pp,headline_upper_pp,paid_bill_czk,price_index
vat_source_gated,availability,mapping_unavailable,2021-11,2021-10-31T23:59:59+00:00,,VAT waiver CPI-treatment knowledge date remains absent in the existing public-event ledger.,scenario_only,,,,,,,,,,,,,,,,,,,,,
vat_assumed_full_pass_through,vat,ok,2021-11,2021-10-31T23:59:59+00:00,-1.0480857198347104,Explicit flat energy counterfactual,scenario_only,2021-10,0.0,-1.0480857198347104,-17.355371900826444,-17.355371900826444,,,,,,,,,,,,,,,,
repricing_0_commodity_0.477_fixed_0,january_2022_exposure,ok,2022-01,2021-12-31T23:59:59+00:00,1.3555924797481522,Hypothetical 2% normal energy rise already in headline baseline; hypothetical early CPI treatment and unresolved bill split,scenario_only,2021-12,0.1207794020000001,1.234813077748152,22.773957952380954,21.8712,0.0,0.477,0.0,,,,,,,,,,,,,
repricing_0_commodity_0.477_fixed_100,january_2022_exposure,ok,2022-01,2021-12-31T23:59:59+00:00,1.334888577588202,Hypothetical 2% normal energy rise already in headline baseline; hypothetical early CPI treatment and unresolved bill split,scenario_only,2021-12,0.1207794020000001,1.2141091755882019,22.375985951701406,21.625648637316573,0.0,0.477,100.0,,,,,,,,,,,,,
repricing_0_commodity_0.594_fixed_0,january_2022_exposure,ok,2022-01,2021-12-31T23:59:59+00:00,1.3354020030815064,Hypothetical 2% normal energy rise already in headline baseline; hypothetical early CPI treatment and unresolved bill split,scenario_only,2021-12,0.1207794020000001,1.2146226010815062,22.250148952380954,21.8712,0.0,0.594,0.0,,,,,,,,,,,,,
repricing_0_commodity_0.594_fixed_100,january_2022_exposure,ok,2022-01,2021-12-31T23:59:59+00:00,1.314698100921556,Hypothetical 2% normal energy rise already in headline baseline; hypothetical early CPI treatment and unresolved bill split,scenario_only,2021-12,0.1207794020000001,1.1939186989215558,21.85217695170141,21.625648637316573,0.0,0.594,100.0,,,,,,,,,,,,,
repricing_0.5_commodity_0.477_fixed_0,january_2022_exposure,ok,2022-01,2021-12-31T23:59:59+00:00,2.2314791670333216,Hypothetical 2% normal energy rise already in headline baseline; hypothetical early CPI treatment and unresolved bill split,scenario_only,2021-12,0.1207794020000001,2.1106997650333215,32.29726295238093,45.163700000000006,0.5,0.477,0.0,,,,,,,,,,,,,
repricing_0.5_commodity_0.477_fixed_100,january_2022_exposure,ok,2022-01,2021-12-31T23:59:59+00:00,2.2107752648733716,Hypothetical 2% normal energy rise already in headline baseline; hypothetical early CPI treatment and unresolved bill split,scenario_only,2021-12,0.1207794020000001,2.0899958628733715,31.89929095170141,44.918148637316555,0.5,0.477,100.0,,,,,,,,,,,,,
repricing_0.5_commodity_0.594_fixed_0,january_2022_exposure,ok,2022-01,2021-12-31T23:59:59+00:00,2.3013273025287475,Hypothetical 2% normal energy rise already in headline baseline; hypothetical early CPI treatment and unresolved bill split,scenario_only,2021-12,0.1207794020000001,2.1805479005287474,34.10935895238099,45.163700000000006,0.5,0.594,0.0,,,,,,,,,,,,,
repricing_0.5_commodity_0.594_fixed_100,january_2022_exposure,ok,2022-01,2021-12-31T23:59:59+00:00,2.2806234003687953,Hypothetical 2% normal energy rise already in headline baseline; hypothetical early CPI treatment and unresolved bill split,scenario_only,2021-12,0.1207794020000001,2.159843998368795,33.71138695170139,44.918148637316555,0.5,0.594,100.0,,,,,,,,,,,,,
