period,as_of_eve,admin,administered_weight,core_weight,eligible_history_end,eligible_history_n,basket_available_at,admin_reference,admin_replay_delta,coreweight_delta
2019-02,2019-03-10T23:59:00,0.050000000000000003,0.15380661933310782,0.54734839066689223,2019-01,145,2018-02-14T00:00:00,0.050000000000000003,0,0
2019-03,2019-04-09T23:59:00,0.10000000000000001,0.14934317112857418,0.55181183887142582,2019-02,146,2018-02-14T00:00:00,0.10000000000000001,0,0
2019-04,2019-05-12T23:59:00,0.10000000000000001,0.15053978141016278,0.55061522858983725,2019-03,147,2018-02-14T00:00:00,0.10000000000000001,0,0
2019-05,2019-06-10T23:59:00,0.10000000000000001,0.15025241941471745,0.55090259058528257,2019-04,148,2018-02-14T00:00:00,0.10000000000000001,0,0
2019-06,2019-07-10T23:59:00,0,0.14980278780397527,0.55135222219602475,2019-05,149,2018-02-14T00:00:00,0,0,0
2019-07,2019-08-11T23:59:00,0.050000000000000003,0.15001832569374482,0.55113668430625518,2019-06,150,2018-02-14T00:00:00,0.050000000000000003,0,0
2019-08,2019-09-09T23:59:00,0,0.15065988441430794,0.55049512558569202,2019-07,151,2018-02-14T00:00:00,0,0,0
2019-09,2019-10-09T23:59:00,0.10000000000000001,0.15098499955343131,0.55017001044656877,2019-08,152,2018-02-14T00:00:00,0.10000000000000001,0,0
2019-10,2019-11-10T23:59:00,0,0.14930265506553567,0.55185235493446438,2019-09,153,2018-02-14T00:00:00,0,0,0
2019-11,2019-12-09T23:59:00,0,0.15056867376509367,0.55058633623490638,2019-10,154,2018-02-14T00:00:00,0,0,0
2019-12,2020-01-12T23:59:00,0,0.15136042399591851,0.54979458600408149,2019-11,155,2018-02-14T00:00:00,0,0,0
2020-01,2020-02-13T23:59:00,1.5,0.15159954579000312,0.5495554642099969,2019-12,156,2018-02-14T00:00:00,1.5,0,0
2020-02,2020-03-09T23:59:00,0.10000000000000001,0.15159954579000312,0.5500012072099969,2020-01,157,2020-02-14T00:00:00,0.10000000000000001,0,0
2020-03,2020-04-13T23:59:00,0.10000000000000001,0.15159954579000312,0.5500012072099969,2020-02,158,2020-02-14T00:00:00,0.10000000000000001,0,0
2020-04,2020-05-12T23:59:00,0.10000000000000001,0.15159954579000312,0.5500012072099969,2020-03,159,2020-02-14T00:00:00,0.10000000000000001,0,0
2020-05,2020-06-09T23:59:00,0.10000000000000001,0.080000000000000002,0.62160075300000006,2020-04,160,2020-02-14T00:00:00,0.10000000000000001,0,0
2020-06,2020-07-09T23:59:00,0,0.16191409777304808,0.53968665522695192,2020-05,161,2020-02-14T00:00:00,0,0,0
2020-07,2020-08-12T23:59:00,0.050000000000000003,0.14695499932043127,0.55464575367956881,2020-06,162,2020-02-14T00:00:00,0.050000000000000003,0,0
2020-08,2020-09-09T23:59:00,0,0.20414450832961661,0.49745624467038341,2020-07,163,2020-02-14T00:00:00,0,0,0
2020-09,2020-10-11T23:59:00,0.10000000000000001,0.20414450832961661,0.49745624467038341,2020-08,164,2020-02-14T00:00:00,0.10000000000000001,0,0
2020-10,2020-11-09T23:59:00,0,0.17611614747146201,0.52548460552853804,2020-09,165,2020-02-14T00:00:00,0,0,0
2020-11,2020-12-09T23:59:00,0,0.15326753271520827,0.5483332202847917,2020-10,166,2020-02-14T00:00:00,0,0,0
2020-12,2021-01-12T23:59:00,0,0.15307903498289596,0.54852171801710403,2020-11,167,2020-02-14T00:00:00,0,0,0
2021-01,2021-02-11T23:59:00,1.3999999999999999,0.15318586644965609,0.54841488655034398,2020-12,168,2020-02-14T00:00:00,1.3999999999999999,0,0
2021-02,2021-03-09T23:59:00,0.10000000000000001,0.15185753754080361,0.54974321545919635,2021-01,169,2020-02-14T00:00:00,0.10000000000000001,0,0
2021-03,2021-04-12T23:59:00,0.10000000000000001,0.15273064954123231,0.54887010345876774,2021-02,170,2020-02-14T00:00:00,0.10000000000000001,0,0
2021-04,2021-05-10T23:59:00,0.10000000000000001,0.15249019393693736,0.54911055906306272,2021-03,171,2020-02-14T00:00:00,0.10000000000000001,0,0
2021-05,2021-06-09T23:59:00,0.10000000000000001,0.1531906035433637,0.54841014945663635,2021-04,172,2020-02-14T00:00:00,0.10000000000000001,0,0
