period,as_of_eve,as_of_utc,BASE,CATEGORY,HARD_HALF,HARD_FULL,STRICT_ALL_MONTH_ADDITIONS,candidate_effect_pp,applied_adjustment_pp,strict_eligible,status,reasons,event_ids,admin_forecast,admin_weight
2019-02,2019-03-10T23:59:00,2019-03-10T22:59:00+00:00,0.31775488058818213,0.32143908646450758,0.34572085298259753,0.37368682537701292,0.31775488058818213,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.050000000000000003,0.15380661933310782
2019-03,2019-04-09T23:59:00,2019-04-09T21:59:00+00:00,0.099460239541657169,0.018810227797368066,0.094813643944849382,0.090167048348041595,0.099460239541657169,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.14934317112857418
2019-04,2019-05-12T23:59:00,2019-05-12T21:59:00+00:00,0.38710754867430486,0.38434141778630587,0.43315302629590519,0.47919850391750551,0.38710754867430486,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.15053978141016278
2019-05,2019-06-10T23:59:00,2019-06-10T21:59:00+00:00,0.2254766707170906,0.2703047338042085,0.24160405653897696,0.25773144236086332,0.2254766707170906,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.15025241941471745
2019-06,2019-07-10T23:59:00,2019-07-10T21:59:00+00:00,0.12410329846284626,0.12315035846394702,0.07361655119089941,0.023129803918952571,0.12410329846284626,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.14980278780397527
2019-07,2019-08-11T23:59:00,2019-08-11T21:59:00+00:00,0.43522902776385097,0.50160395691497439,0.44014936628323892,0.44506970480262692,0.43522902776385097,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.050000000000000003,0.15001832569374482
2019-08,2019-09-09T23:59:00,2019-09-09T21:59:00+00:00,0.072120271688922932,0.0039019841500305269,0.086328392904725132,0.10053651412052733,0.072120271688922932,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.15065988441430794
2019-09,2019-10-09T23:59:00,2019-10-09T21:59:00+00:00,-0.31153742751516289,-0.40678003287461639,-0.31736840944316663,-0.32319939137117037,-0.31153742751516289,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.15098499955343131
2019-10,2019-11-10T23:59:00,2019-11-10T22:59:00+00:00,0.22940611674544503,0.33711974443072568,0.28517471091363017,0.34094330508181531,0.22940611674544503,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.14930265506553567
2019-11,2019-12-09T23:59:00,2019-12-09T22:59:00+00:00,0.16027885730460945,0.15476450183810875,0.18827727179203121,0.21627568627945298,0.16027885730460945,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.15056867376509367
