model,frame,n,bias,mae,rmse,direction_n,direction_correct,material_win_vs_base,material_loss_vs_base,material_win_vs_consensus,material_loss_vs_consensus,alerts,alerted_big,false_alarm,missed_big
BASE,all,90,-0.025225636768571529,0.2625157341641442,0.41795154739724044,78,50,0,0,12,15,20,7,13,16
BASE,recent2024+,31,-0.0058779972859010574,0.1690393240182862,0.21897776134072025,25,20,0,0,4,2,4,2,2,3
BASE,ex_jan,83,0.0090514149426284551,0.24825110030558287,0.40333260920572989,71,46,0,0,11,14,17,5,12,14
BASE,flash2025+,19,0.024692630835155806,0.13929634726858156,0.17300164605167864,15,12,0,0,2,1,1,0,1,1
BASE,big,23,-0.02123852361785028,0.48458284194899887,0.69857020925615931,23,17,0,0,7,3,7,7,0,16
BASE,big_up,13,-0.40165532677781568,0.40586194117151081,0.48467293441696296,13,9,0,0,4,1,4,4,0,9
BASE,big_down,10,0.47330332049010471,0.58692001295973339,0.90389189969552897,10,8,0,0,3,2,3,3,0,7
CATEGORY,all,90,-0.055265063412948595,0.25650456866605098,0.40894699246352967,78,47,7,3,12,7,21,9,12,14
CATEGORY,recent2024+,31,0.01538708935463972,0.15646370408853486,0.19779760195832016,25,19,1,0,3,1,4,2,2,3
CATEGORY,ex_jan,83,-0.024361737437213225,0.24234336705694787,0.39136442940475552,71,43,7,3,11,6,18,7,11,12
CATEGORY,flash2025+,19,0.051456001918903926,0.12737704784360537,0.16095971070391513,15,12,0,0,2,1,2,0,2,1
CATEGORY,big,23,-0.11193716427449946,0.51198791181475034,0.69420752099034633,23,13,2,3,8,2,9,9,0,14
CATEGORY,big_up,13,-0.50617998075794479,0.50617998075794479,0.57148761977316753,13,5,0,3,4,2,5,5,0,8
CATEGORY,big_down,10,0.40057849715397936,0.51953822218859769,0.82695094149459192,10,8,2,0,4,0,4,4,0,6
HARD_HALF,all,90,-0.015502383955060336,0.26437319954197214,0.41369643830575464,78,48,0,0,10,11,22,7,15,16
HARD_HALF,recent2024+,31,-0.0040928416214968981,0.16785552729960732,0.2195880711904428,25,19,0,0,3,1,5,2,3,3
HARD_HALF,ex_jan,83,0.01856297978737334,0.25081239794535004,0.3985028209280238,71,44,0,0,9,10,19,5,14,14
HARD_HALF,flash2025+,19,0.032267453772336495,0.13375320629227996,0.16560096093755453,15,12,0,0,2,0,2,0,2,1
HARD_HALF,big,23,-0.010226492368174326,0.47937143116014302,0.68331307239041061,23,16,0,0,7,1,7,7,0,16
HARD_HALF,big_up,13,-0.37440040676561803,0.39731702327499102,0.4677577075312076,13,8,0,0,6,0,4,4,0,9
HARD_HALF,big_down,10,0.4631995963485025,0.58604216141084065,0.88852241470197357,10,8,0,0,1,1,3,3,0,7
HARD_FULL,all,90,-0.0057791311415491455,0.26962683388764352,0.41393084700273058,78,47,2,6,13,14,23,7,16,16
HARD_FULL,recent2024+,31,-0.0023076859570927287,0.17263970528256048,0.22531658006178432,25,18,0,1,4,3,5,2,3,3
HARD_FULL,ex_jan,83,0.028074544632118198,0.25652947463390013,0.39844813883989944,71,42,2,6,12,12,20,5,15,14
HARD_FULL,flash2025+,19,0.039842276709517198,0.13239549655765354,0.16382712429385021,15,11,0,0,2,1,2,0,2,1
HARD_FULL,big,23,0.0007855388815016216,0.47606113106941467,0.6710742877935717,23,17,1,1,9,2,7,7,0,16
HARD_FULL,big_up,13,-0.34714548675342027,0.39213560892131227,0.45643029453545586,13,9,1,1,6,0,5,5,0,8
HARD_FULL,big_down,10,0.45309587220690001,0.58516430986194767,0.87461786598259816,10,8,0,0,3,2,2,2,0,8
STRICT_ALL_MONTH_ADDITIONS,all,90,-0.025225636768571529,0.2625157341641442,0.41795154739724044,78,50,0,0,12,15,20,7,13,16
STRICT_ALL_MONTH_ADDITIONS,recent2024+,31,-0.0058779972859010574,0.1690393240182862,0.21897776134072025,25,20,0,0,4,2,4,2,2,3
STRICT_ALL_MONTH_ADDITIONS,ex_jan,83,0.0090514149426284551,0.24825110030558287,0.40333260920572989,71,46,0,0,11,14,17,5,12,14
STRICT_ALL_MONTH_ADDITIONS,flash2025+,19,0.024692630835155806,0.13929634726858156,0.17300164605167864,15,12,0,0,2,1,1,0,1,1
STRICT_ALL_MONTH_ADDITIONS,big,23,-0.02123852361785028,0.48458284194899887,0.69857020925615931,23,17,0,0,7,3,7,7,0,16
STRICT_ALL_MONTH_ADDITIONS,big_up,13,-0.40165532677781568,0.40586194117151081,0.48467293441696296,13,9,0,0,4,1,4,4,0,9
STRICT_ALL_MONTH_ADDITIONS,big_down,10,0.47330332049010471,0.58692001295973339,0.90389189969552897,10,8,0,0,3,2,3,3,0,7
