commodity,reference_month,segment,fix_months,lower_ex_vat,upper_ex_vat,lower_inc_vat,upper_inc_vat,unit,available_from,availability_kind,historical_first_release_verified,national_weight,source_sha256
electricity,2025-11,D56d,12,2792.6617040300157,2867.9117040300157,3379.120661876319,3470.1731618763188,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-11,D56d,24,2624.6268292813907,2826.3768292813907,3175.7984634304826,3419.9159634304824,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-11,D56d,36,2617.9674635295873,2927.9674635295873,3167.7406308708005,3542.8406308708004,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-11,D57d,12,2792.6617040300157,2867.9117040300157,3379.120661876319,3470.1731618763188,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-11,D57d,24,2624.6268292813907,2826.3768292813907,3175.7984634304826,3419.9159634304824,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-11,D57d,36,2617.9674635295873,2927.9674635295873,3167.7406308708005,3542.8406308708004,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-11,D61d,12,2790.446601374326,2850.286601374326,3376.440387662934,3448.8467876629343,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-11,D61d,24,2621.786238643979,2822.036238643979,3172.3613487592143,3414.663848759214,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-11,D61d,36,2615.972093500429,2816.9620935004286,3165.326233135519,3408.5241331355187,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
electricity,2025-12,D01d,12,2688.211653333271,2811.211653333271,3252.7361005332577,3401.5661005332577,raw_source_price_unit_not_explicit_in_csv_header,2026-09-15T07:58:43.185598+00:00,observed_download,False,,7808fc49b1be1ec69c6a23a0eab0921b79fad217f34ad9655c225f3e5b2357af
