chart,series,period,value,origin,report_date,sample,n,surprise,big
path_2022_winter,realised_monthly,2021-06,2.765388046387192,,,,,,
path_2022_winter,realised_monthly,2021-07,3.3747779751332514,,,,,,
path_2022_winter,realised_monthly,2021-08,4.0852575488455054,,,,,,
path_2022_winter,realised_monthly,2021-09,4.9151027703306651,,,,,,
path_2022_winter,realised_monthly,2021-10,5.7983942908118058,,,,,,
path_2022_winter,realised_monthly,2021-11,5.9768064228367797,,,,,,
path_2022_winter,realised_monthly,2021-12,6.6130473637176053,,,,,,
path_2022_winter,realised_monthly,2022-01,9.8765432098765338,,,,,,
path_2022_winter,realised_monthly,2022-02,11.091549295774657,,,,,,
path_2022_winter,realised_monthly,2022-03,12.741652021089633,,,,,,
path_2022_winter,realised_monthly,2022-04,14.160839160839142,,,,,,
path_2022_winter,realised_monthly,2022-05,15.968586387434563,,,,,,
path_2022_winter,realised_monthly,2022-06,17.187499999999989,,,,,,
path_2022_winter,realised_monthly,2022-07,17.52577319587628,,,,,,
path_2022_winter,realised_monthly,2022-08,17.235494880546053,,,,,,
path_2022_winter,realised_monthly,2022-09,17.972742759795548,,,,,,
path_2022_winter,realised_monthly,2022-10,15.092748735244497,,,,,,
path_2022_winter,realised_monthly,2022-11,16.245791245791221,,,,,,
path_2022_winter,realised_monthly,2022-12,15.758591785414907,,,,,,
path_2022_winter,STATE_FAST_R15,2021-11,5.9768064228367797,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2021-12,6.9846965981156792,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-01,10.292072427636461,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-02,10.884243307547239,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-03,11.19475656146559,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-04,11.374046334940306,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-05,11.911845478043666,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-06,12.012500209314869,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-07,11.683522640145126,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-08,11.433948415624126,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-09,11.405130725338012,2021-12,2022-02-10,,,,
path_2022_winter,STATE_FAST_R15,2022-10,11.093398224676196,2021-12,2022-02-10,,,,
