origin,petrol_share,regime,max_abs_recorded_minus_reproduced,max_abs_bbg_minus_frozen
2019-02,0.67084,2018,0.0,3.5959517400707686e-06
2019-03,0.67084,2018,0.0,1.406648354329576e-05
2019-04,0.67084,2018,0.0,4.838397649198356e-07
2019-05,0.67084,2018,0.0,1.3410284593895483e-06
2019-06,0.67084,2018,0.0,1.8831413124420493e-06
2019-07,0.67084,2018,0.0,3.1842904041831654e-06
2019-08,0.67084,2018,0.0,1.0444012128907332e-05
2019-09,0.67084,2018,0.0,9.094059466585591e-07
2019-10,0.67084,2018,0.0,2.7972244301954774e-06
2019-11,0.67084,2018,0.0,1.2541023095863357e-05
2019-12,0.67084,2018,0.0,1.2346187884537674e-06
2020-01,0.67084,2018,0.0,1.0924899430775348e-05
2020-02,0.670837,2020,0.0,4.983164640481874e-06
2020-03,0.670837,2020,0.0,3.1636540835933147e-06
2020-04,0.670837,2020,0.0,1.4565129106358654e-05
2020-05,0.670837,2020,0.0,1.8088905671342914e-05
2020-06,0.670837,2020,0.0,3.2096649662527454e-06
2020-07,0.670837,2020,0.0,7.593359346191875e-06
2020-08,0.670837,2020,0.0,4.631074669525503e-06
2020-09,0.670837,2020,0.0,1.3687426090314148e-06
2020-10,0.670837,2020,0.0,4.144807818740048e-06
2020-11,0.670837,2020,0.0,1.8424947178241613e-06
2020-12,0.670837,2020,0.0,2.7910910632977792e-06
2021-01,0.670837,2020,0.0,1.8161333663613277e-06
2021-02,0.670837,2020,0.0,1.7351282834976445e-05
2021-03,0.670837,2020,0.0,2.486226367448552e-06
2021-04,0.670837,2020,0.0,6.623957292672955e-06
2021-05,0.670837,2020,0.0,4.0182595117954634e-07
2021-06,0.670837,2020,0.0,7.227114622088138e-06
2021-07,0.670837,2020,0.0,7.240712743938893e-06
2021-08,0.670837,2020,0.0,6.418930862613775e-06
2021-09,0.670837,2020,0.0,4.72498157144674e-06
2021-10,0.670837,2020,0.0,3.939037430455983e-06
2021-11,0.670837,2020,0.0,2.801034182597917e-06
2021-12,0.670837,2020,0.0,1.7096226567758777e-06
2022-01,0.670837,2020,0.0,3.8511358754211855e-06
2022-02,0.670837,2022,0.0,9.383144573327229e-06
2022-03,0.670837,2022,0.0,2.608122034120086e-06
2022-04,0.670837,2022,0.0,7.054312371357341e-06
2022-05,0.670837,2022,0.0,3.8969043045788965e-06
2022-06,0.670837,2022,0.0,8.194091188240549e-06
2022-07,0.670837,2022,0.0,4.190522950864306e-07
2022-08,0.670837,2022,0.0,3.688603089635478e-08
2022-09,0.670837,2022,0.0,3.960583073059354e-06
2022-10,0.670837,2022,0.0,1.2145125825036018e-06
2022-11,0.670837,2022,0.0,1.1174415730508258e-06
2022-12,0.670837,2022,0.0,1.2886665712308343e-06
2023-01,0.670837,2022,0.0,4.212540322789948e-06
2023-02,0.670837,2022,0.0,3.4126350967333963e-07
2023-03,0.670837,2022,0.0,2.5275774873101398e-06
2023-04,0.670837,2022,0.0,3.0529022305714193e-06
2023-05,0.670837,2022,0.0,9.272669918569676e-07
2023-06,0.670837,2022,0.0,1.1788142136204272e-05
2023-07,0.670837,2022,0.0,1.7084458470151276e-07
2023-08,0.670837,2022,0.0,3.0671895012712724e-06
2023-09,0.670837,2022,0.0,4.111685259822195e-06
2023-10,0.670837,2022,0.0,3.157775590123535e-06
2023-11,0.670837,2022,0.0,8.12002039518589e-06
2023-12,0.670837,2022,0.0,2.5630080773275665e-06
2024-01,0.670837,2022,0.0,8.985437678354913e-07
2024-02,0.585321,2024,0.0,3.822531981612087e-06
2024-03,0.585321,2024,0.0,1.7710040214335976e-06
2024-04,0.585321,2024,0.0,0.0
2024-05,0.585321,2024,0.0,0.0
2024-06,0.585321,2024,0.0,0.0
2024-07,0.585321,2024,0.0,0.0
2024-08,0.585321,2024,0.0,0.0
2024-09,0.585321,2024,0.0,0.0
2024-10,0.585321,2024,0.0,0.0
2024-11,0.585321,2024,0.0,0.0
2024-12,0.585321,2024,0.0,0.0
2025-01,0.585321,2024,0.0,0.0
2025-02,0.585321,2024,0.0,0.0
2025-03,0.585321,2024,0.0,0.0
2025-04,0.585321,2024,0.0,0.0
2025-05,0.585321,2024,0.0,0.0
2025-06,0.585321,2024,0.0,0.0
2025-07,0.585321,2024,0.0,0.0
2025-08,0.585321,2024,0.0,0.0
2025-09,0.585321,2024,0.0,0.0
2025-10,0.585321,2024,0.0,0.0
2025-11,0.585321,2024,0.0,0.0
2025-12,0.585321,2024,0.0,0.0
2026-01,0.585321,2024,0.0,0.0
2026-02,0.586409,2026,0.0,0.0
2026-03,0.586409,2026,0.0,0.0
2026-04,0.586409,2026,0.0,0.0
2026-05,0.586409,2026,0.0,0.0
2026-06,0.586409,2026,0.0,0.0
2026-07,0.586409,2026,0.0,0.0
