period,recorded,czso_survey,ec_bulletin_bbg,actual,w_fuel
2019-02,-1.4385242050807268,-1.4385242050807268,-1.4398962361380496,-1.503006012024044,0.029072694
2019-03,1.1158572617272269,1.1158572617272267,1.107646498460979,1.1190233977619537,0.029072694
2019-04,4.160681186383641,4.160681186383641,4.165935653961372,3.9235412474849074,0.029072694
2019-05,3.012393673909819,3.012393673909819,3.0155253027696727,2.613746369796721,0.029072694
2019-06,-0.0832705336667904,-0.08327053366679049,-0.09172319901015191,-0.0943396226415038,0.029072694
2019-07,-1.295720041717774,-1.2957200417177739,-1.2954815042824808,-1.3220018885741314,0.029072694
2019-08,-0.5171484108917768,-0.5171484108917768,-0.5081236692033197,-0.4784688995215336,0.029072694
2019-09,-0.4662480182916262,-0.4662480182916262,-0.47038282104981954,-0.480769230769229,0.029072694
2019-10,0.081345405284039,0.081345405284039,0.08108490540590374,0.0966183574879098,0.029072694
2019-11,-0.5887874409203464,-0.5887874409203464,-0.5847890477472251,-0.579150579150578,0.029072694
2019-12,-0.5108033980742221,-0.5108033980742221,-0.511974220746203,-0.4854368932038833,0.029072694
2020-01,0.6488741528948738,0.6488741528948738,0.6457254461125883,0.7804878048780495,0.029072694
2020-02,-1.390797996779547,-1.390797996779547,-1.3935118102023192,-1.4520813165537216,0.03425181
2020-03,-5.726381527739754,-5.726381527739754,-5.725375553654411,-5.599214145383103,0.03425181
2020-04,-11.514984269382811,-11.514984269382811,-11.515017617736579,-10.509885535900098,0.03425181
2020-05,-3.1338710907671707,-3.1338710907671707,-3.1309786770679415,-3.488372093023251,0.03425181
2020-06,3.127476306827237,3.127476306827237,3.1232049149275465,3.1325301204819134,0.03425181
2020-07,4.654507093887217,4.654507093887217,4.659560264850948,4.439252336448618,0.03425181
2020-08,0.3955281199174987,0.3955281199174987,0.39006182913581267,0.4474272930648615,0.03425181
2020-09,-0.8403215510233153,-0.8403215510233153,-0.838262368990994,-0.7795100222717233,0.03425181
2020-10,0.5252320728024396,0.5252320728024396,0.5219792903955689,0.4489337822671135,0.03425181
2020-11,-0.4158489610616045,-0.4158489610616045,-0.4102302852155848,-0.3351955307262511,0.03425181
2020-12,0.8354669595540098,0.8354669595540098,0.9439126922838215,0.8968609865470878,0.03425181
2021-01,0.4589391152682864,0.45893911526828646,0.5480289638161828,0.333333333333341,0.03425181
2021-02,1.7454258037390868,1.7454258037390868,1.6554316539757696,1.661129568106312,0.03425181
2021-03,5.918687339804873,5.918687339804873,5.92015238243262,5.882352941176472,0.03425181
2021-04,2.9975435529050687,2.9975435529050687,2.993364702319057,2.8806584362139898,0.03425181
2021-05,1.284716416132459,1.2847164161324587,1.1091140198042693,1.29999999999999,0.03425181
2021-06,1.6323151911052491,1.6323151911052491,1.8044008103947684,1.5794669299111552,0.03425181
2021-07,3.4558207753637493,3.4558207753637493,2.7788032073758906,2.9154518950437414,0.03425181
2021-08,0.4599774289268055,0.4599774289268055,1.0680310121011782,0.9442870632672352,0.03425181
