origin,phase_manufacturing,momentum_manufacturing,phase_total_bbg,momentum_total_bbg,agree
2019-02,fading,-0.3237995273774885,fading,0.8714652102443488,True
2019-03,fading,-0.10758473334631091,building,1.0869672236903938,False
2019-04,fading,0.0,building,1.1911348193348381,False
2019-05,fading,0.10643960557867871,building,1.290340483590846,False
2019-06,fading,0.6369448285480139,building,1.825064076119709,False
2019-07,building,1.2875714360045087,building,2.274055763387395,True
2019-08,building,1.1821738965166695,building,1.1859977290749946,True
2019-09,fading,0.857454342458297,fading,0.9682700716417081,True
2019-10,fading,0.6417134320632734,fading,0.6437790474848271,True
2019-11,fading,-0.5333345975362391,fading,-0.42826617920006527,True
2019-12,fading,-1.385211280815124,fading,-0.962059798698256,True
2020-01,fading,-0.5344748158880641,fading,-0.21436235432510387,True
2020-02,fading,0.0,building,1.172096529815736,False
2020-03,fading,-0.9651549452221353,fading,0.4273510777381695,True
2020-04,fading,-1.8289912750917736,fading,-0.21413284413434042,True
2020-05,fading,-2.053016461455659,fading,-0.3224075871752774,True
2020-06,fading,-1.1872778430285003,fading,0.10735374085246718,True
2020-07,fading,-1.2945164592037095,fading,-0.10735374085246718,True
2020-08,fading,-1.6155440222285655,fading,-1.2793351459909452,True
2020-09,fading,-1.0834342165709998,fading,-0.9641210192385508,True
2020-10,fading,0.0,fading,-0.21459235702767643,True
2020-11,fading,0.9777372838295051,fading,0.6437790474848271,True
2020-12,fading,-0.10863662122204687,fading,-0.2148228538289665,True
2021-01,fading,0.10851873012871494,fading,0.10735374085246718,True
2021-02,building,1.2945164592037095,building,1.2793351459909452,True
2021-03,building,2.5807883955872413,building,2.23532457807476,True
2021-04,building,4.043103862813169,building,3.4832017333478404,True
2021-05,building,4.44047579408684,building,3.7779939002637875,True
2021-06,building,6.215797248742394,building,5.236798551731603,True
2021-07,building,7.0149108066118515,building,5.83498830622764,True
2021-08,building,7.830981950626548,building,6.261665434767494,True
2021-09,building,8.248949137526385,building,6.716664354384072,True
2021-10,building,7.239340913352166,building,6.038051098890751,True
2021-11,building,8.139411294300292,building,7.1529986709447435,True
2021-12,building,8.043549608347256,building,7.4690892601588565,True
2022-01,building,6.744128079553224,building,6.561334816229891,True
2022-02,building,6.614773111533356,building,11.457169354660035,True
2022-03,building,7.1661188451995095,building,12.649389213063156,True
2022-04,building,11.183803625209876,building,16.027030949569987,True
2022-05,building,12.021625558208981,building,16.491299336569032,True
2022-06,building,13.963899911331978,building,17.10524906298616,True
2022-07,building,16.195166088087998,building,18.547613354246995,True
2022-08,building,13.838970177559862,building,12.260232209233202,True
2022-09,building,11.017149030728923,building,9.822322363100877,True
2022-10,building,6.138959622709805,building,6.910379156914637,True
2022-11,building,4.8669398515037265,building,5.149652576717578,True
2022-12,fading,0.6535970979784977,building,2.210034700066643,False
2023-01,fading,-3.185242737436944,fading,-0.1576044455465997,True
2023-02,fading,-1.1372990172270114,building,5.199948139951882,False
2023-03,fading,-0.0815328214754274,building,4.9837833201875625,False
2023-04,fading,-0.40866423854524214,building,2.756682983265435,False
2023-05,fading,-2.527651894033145,building,1.0752791776261539,False
2023-06,fading,-2.1399993611934676,building,1.318359536730096,False
2023-07,fading,-0.49916908972411633,building,2.029734006367523,False
2023-08,fading,-2.3977998706659953,fading,-3.79696331890802,True
2023-09,fading,-2.1435280720065286,fading,-3.2690102041097013,True
2023-10,fading,-1.3190628185949294,fading,-1.9832839232917898,True
2023-11,fading,-0.49668976283374633,fading,-0.9209581593456306,True
2023-12,fading,-0.3333336419758304,fading,-0.463321292148855,True
2024-01,fading,-0.8375258336731584,fading,-0.620157026328183,True
2024-02,fading,0.0,building,1.9165017400734286,False
2024-03,fading,0.4158010148663571,building,2.291926143610734,False
2024-04,fading,0.4140792666031956,building,1.9832839232917898,False
2024-05,fading,0.7441125694688466,building,2.286685001576405,False
2024-06,fading,0.4164937299284688,building,1.459879942115272,False
2024-07,fading,0.8375258336731584,building,1.6197808826657223,False
2024-08,fading,0.9991756731920098,fading,-0.2280502698725151,True
2024-09,fading,-0.16611299500759458,fading,-1.1393970587053381,True
2024-10,fading,-1.0801933032813515,fading,-1.3688426660577235,True
2024-11,fading,-1.0766149539460201,fading,-1.4421502315063783,True
2024-12,fading,0.0,fading,0.22857152808564152,True
2025-01,fading,0.16666670524694283,building,1.1411306787410425,False
2025-02,fading,0.24824174932556176,fading,0.7581537452397313,True
2025-03,fading,0.5801922616107902,building,1.0638398205055744,False
2025-04,fading,0.6661140366781559,fading,0.990484288093807,True
2025-05,fading,0.24948037887826402,fading,0.07642338927560388,True
2025-06,fading,0.0,fading,-0.9942720532050586,True
2025-07,fading,0.16638938946957893,fading,-1.7551003741032467,True
2025-08,fading,-0.5801922616107902,fading,-1.906271982635399,True
2025-09,fading,-0.996685991539259,fading,-1.8307147444356353,True
2025-10,fading,-0.7496911414177632,fading,-1.9135677656468175,True
2025-11,fading,-1.0016778243470803,fading,-1.2298387138042877,True
2025-12,fading,-0.7509422022131673,fading,-0.3079294196061788,True
2026-01,fading,-1.254721605208875,fading,-0.385654160975335,True
2026-02,fading,-1.254721605208875,fading,-1.083601934127909,True
2026-03,fading,-0.7540881984612113,fading,-1.005811187303518,True
2026-04,building,1.9868203216725,fading,0.8464844695947882,False
2026-05,building,4.028493757931173,building,2.293678534309862,True
2026-06,building,4.262940539485083,building,1.833512020588124,True
2026-07,building,4.041787246989781,building,1.6098469551018901,True
