Měsíc,Zóna,Délka fixace,Dolní hranice InPásma (bez DPH),Horní hranice InPásma (bez DPH),Dolní hranice InPásma (s DPH),Horní hranice InPásma (s DPH)
2025-11-01 00:00:00,Ohřev,12,1129.2096471025561,1164.2096471025561,1366.343672994093,1408.6936729940928
2025-11-01 00:00:00,Ohřev,24,1040.0497825820607,1075.0497825820607,1258.4602369242934,1300.8102369242933
2025-11-01 00:00:00,Ohřev,36,1030.36597013204,1136.86597013204,1246.7428238597684,1375.6078238597684
2025-11-01 00:00:00,Rodinný dům,12,1129.2096471025561,1164.2096471025561,1366.343672994093,1408.6936729940928
2025-11-01 00:00:00,Rodinný dům,24,1040.0497825820607,1075.0497825820607,1258.4602369242934,1300.8102369242933
2025-11-01 00:00:00,Rodinný dům,36,1030.36597013204,1136.86597013204,1246.7428238597684,1375.6078238597684
2025-11-01 00:00:00,Vaření,12,1164.2096471025561,1249.2096471025561,1408.6936729940928,1511.543672994093
2025-11-01 00:00:00,Vaření,24,1050.0497825820607,1148.0497825820607,1270.5602369242933,1389.1402369242935
2025-11-01 00:00:00,Vaření,36,1030.36597013204,1136.86597013204,1246.7428238597684,1375.6078238597684
2025-12-01 00:00:00,Ohřev,12,1109.6172972410081,1157.3672972410081,1342.63692966162,1400.4144296616198
2025-12-01 00:00:00,Ohřev,24,1026.9077448139258,1060.9077448139258,1242.5583712248501,1283.6983712248502
2025-12-01 00:00:00,Ohřev,36,1022.9813829828499,1120.73138298285,1237.8074734092484,1356.0849734092483
2025-12-01 00:00:00,Rodinný dům,12,1109.6172972410081,1157.3672972410081,1342.63692966162,1400.4144296616198
2025-12-01 00:00:00,Rodinný dům,24,1026.9077448139258,1060.9077448139258,1242.5583712248501,1283.6983712248502
2025-12-01 00:00:00,Rodinný dům,36,1022.9813829828499,1120.73138298285,1237.8074734092484,1356.0849734092483
2025-12-01 00:00:00,Vaření,12,1130.7422972410081,1221.3672972410081,1368.1981796616199,1477.8544296616199
2025-12-01 00:00:00,Vaření,24,1031.9077448139258,1117.4077448139258,1248.60837122485,1352.0633712248502
2025-12-01 00:00:00,Vaření,36,1022.9813829828499,1120.73138298285,1237.8074734092484,1356.0849734092483
2026-01-01 00:00:00,Ohřev,12,1042.185347380566,1087.685347380566,1261.044270330485,1316.0992703304848
2026-01-01 00:00:00,Ohřev,24,962.272849576358,996.9395162430246,1164.3501479873933,1206.2968146540597
2026-01-01 00:00:00,Ohřev,36,973.8830744506938,1067.2164077840273,1178.3985200853394,1291.331853418673
2026-01-01 00:00:00,Rodinný dům,12,1042.185347380566,1087.685347380566,1261.044270330485,1316.0992703304848
2026-01-01 00:00:00,Rodinný dům,24,962.272849576358,996.9395162430246,1164.3501479873933,1206.2968146540597
