scope,sample,h,model,n,direction_match_rate,actual_material_n,material_turn_hit_rate,material_calls_n,wrong_way_n,wrong_way_rate,wrong_way_share_of_calls
paired_STABLE_LOCAL_CORE_R14B,full,3,STABLE_LOCAL_CORE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STABLE_LOCAL_CORE_R14B,full,6,STABLE_LOCAL_CORE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,full,9,STABLE_LOCAL_CORE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STABLE_LOCAL_CORE_R14B,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STABLE_LOCAL_CORE_R14B,full,12,STABLE_LOCAL_CORE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STABLE_LOCAL_CORE_R14B,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,3,STABLE_LOCAL_CORE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,6,STABLE_LOCAL_CORE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,9,STABLE_LOCAL_CORE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,12,STABLE_LOCAL_CORE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_SLOW_R15,full,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_SLOW_R15,full,3,STATE_SLOW_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_SLOW_R15,full,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STATE_SLOW_R15,full,6,STATE_SLOW_R15,2,0.5,1,0.0,0,0,0.0,
paired_STATE_SLOW_R15,full,9,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_SLOW_R15,full,9,STATE_SLOW_R15,2,0.0,2,0.0,0,0,0.0,
paired_STATE_SLOW_R15,full,12,STABLE_PIPELINE_R14B,2,0.5,2,0.5,1,0,0.0,0.0
paired_STATE_SLOW_R15,full,12,STATE_SLOW_R15,2,0.0,2,0.0,1,1,0.5,1.0
paired_STATE_SLOW_R15,origins_2019_2021,3,STABLE_PIPELINE_R14B,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_SLOW_R15,origins_2019_2021,3,STATE_SLOW_R15,2,0.0,1,0.0,1,0,0.0,0.0
paired_STATE_SLOW_R15,origins_2019_2021,6,STABLE_PIPELINE_R14B,2,0.5,1,0.0,0,0,0.0,
paired_STATE_SLOW_R15,origins_2019_2021,6,STATE_SLOW_R15,2,0.5,1,0.0,0,0,0.0,
