origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,previous_origin,previous_h,previous_forecast,revision
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.0994602395416571,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0,,-0.1,,,2019-02,1.0,2.9634511538051513,-0.08345035205400508
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.31730639102189906,0.0930232558139509,2.769818529130847,2.9107251448243994,0.31680403668075074,0.09298001599665273,0.44005556864221906,0.4,0.4390901553252744,0.39920212695374535,2019-02,2.0,2.9473469671597767,-0.03662182233537736
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.20465546813410168,0.6505576208178487,2.9467680608364977,2.631217145411435,0.5212503707991891,0.7414306439227463,0.15612488008358982,0.1,0.5950932872209606,0.49915216026209863,2019-02,3.0,2.6717466662393186,-0.04052952082788375
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.13226553716761597,0.1846722068328699,2.7462121212121224,2.3776940772974897,0.6534285141579665,0.925932541279676,0.2233002757711602,0.3,0.8181446184533381,0.7987030582419465,2019-02,4.0,2.3792303419767222,-0.001536264679232513
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.30461494197062644,0.3686635944700533,2.9300567107750517,2.4954316949160833,0.9575804448436427,1.2939182371197377,0.5032784154793508,1.0,1.3201608213063367,1.7937361435587549,2019-02,5.0,2.450614585674712,0.04481710924137117
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.014622262917722326,0.0918273645546419,2.9272898961284195,2.4136195840503794,0.9722016388127025,1.3857034661426337,0.1916769248814419,0.2,1.5116542803737962,1.9935364098260604,2019-02,6.0,2.3239580911552036,0.08966149289517578
2019-03,6,2019-09,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,-0.12475998930210278,-0.5504587155963248,2.6515151515151705,2.57643315969984,0.8473637594454486,0.8337241437828525,-0.34946366512486304,-0.9,1.161578564637019,1.089461944611154,2019-02,7.0,2.5324768334940724,0.04395632620576784
2019-03,7,2019-10,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.33144634509120696,0.4612546125461358,2.735849056603792,2.5280551530558526,1.1782620318489716,1.293918237119758,0.4729094637187301,0.6,1.633373324529803,1.6876691123659002,2019-02,8.0,2.482697192029719,0.04535796102613343
2019-03,8,2019-11,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.08840820814995261,0.2754820936639035,3.116147308781873,2.7155998787872693,1.2666311829606396,1.5690215743087381,0.11902483650928085,0.0,1.752327382637571,1.6876691123659002,2019-02,9.0,2.6696674008236654,0.04593247796360389
2019-03,9,2019-12,2019-04-09T21:59:00+00:00,BLEND_LINEAR_RF_R15,0.16320982248599994,0.1831501831501825,3.207547169811327,2.786182164913912,1.4297079629551315,1.752004242016354,0.28702977667123303,0.1,2.038946015394404,1.7876191456742536,2019-02,10.0,2.762384274726076,0.023797890187835957
