scope,sample,model,quarter,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_LOCAL_CORE_R14B,2019Q2,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_LOCAL_CORE_R14B,2019Q3,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_LOCAL_CORE_R14B,2019Q4,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_LOCAL_CORE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STABLE_LOCAL_CORE_R14B,full,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_LOCAL_CORE_R14B,2019Q2,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_LOCAL_CORE_R14B,2019Q3,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_LOCAL_CORE_R14B,2019Q4,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_LOCAL_CORE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STABLE_LOCAL_CORE_R14B,origins_2019_2021,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_SLOW_R15,full,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STATE_SLOW_R15,full,STATE_SLOW_R15,2019Q2,2,0,,,0,0
paired_STATE_SLOW_R15,full,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STATE_SLOW_R15,full,STATE_SLOW_R15,2019Q3,2,0,,,0,0
paired_STATE_SLOW_R15,full,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STATE_SLOW_R15,full,STATE_SLOW_R15,2019Q4,2,0,,,0,0
paired_STATE_SLOW_R15,full,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_SLOW_R15,full,STATE_SLOW_R15,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_SLOW_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STATE_SLOW_R15,origins_2019_2021,STATE_SLOW_R15,2019Q2,2,0,,,0,0
paired_STATE_SLOW_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STATE_SLOW_R15,origins_2019_2021,STATE_SLOW_R15,2019Q3,2,0,,,0,0
paired_STATE_SLOW_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STATE_SLOW_R15,origins_2019_2021,STATE_SLOW_R15,2019Q4,2,0,,,0,0
paired_STATE_SLOW_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_SLOW_R15,origins_2019_2021,STATE_SLOW_R15,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_MID_R15,full,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STATE_MID_R15,full,STATE_MID_R15,2019Q2,2,0,,,0,0
paired_STATE_MID_R15,full,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STATE_MID_R15,full,STATE_MID_R15,2019Q3,2,0,,,0,0
paired_STATE_MID_R15,full,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STATE_MID_R15,full,STATE_MID_R15,2019Q4,2,0,,,0,0
paired_STATE_MID_R15,full,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_MID_R15,full,STATE_MID_R15,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_MID_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STATE_MID_R15,origins_2019_2021,STATE_MID_R15,2019Q2,2,0,,,0,0
paired_STATE_MID_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STATE_MID_R15,origins_2019_2021,STATE_MID_R15,2019Q3,2,0,,,0,0
paired_STATE_MID_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STATE_MID_R15,origins_2019_2021,STATE_MID_R15,2019Q4,2,0,,,0,0
paired_STATE_MID_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_MID_R15,origins_2019_2021,STATE_MID_R15,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_FAST_R15,full,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STATE_FAST_R15,full,STATE_FAST_R15,2019Q2,2,0,,,0,0
paired_STATE_FAST_R15,full,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STATE_FAST_R15,full,STATE_FAST_R15,2019Q3,2,0,,,0,0
paired_STATE_FAST_R15,full,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STATE_FAST_R15,full,STATE_FAST_R15,2019Q4,2,0,,,0,0
paired_STATE_FAST_R15,full,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_FAST_R15,full,STATE_FAST_R15,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_FAST_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STATE_FAST_R15,origins_2019_2021,STATE_FAST_R15,2019Q2,2,0,,,0,0
paired_STATE_FAST_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STATE_FAST_R15,origins_2019_2021,STATE_FAST_R15,2019Q3,2,0,,,0,0
paired_STATE_FAST_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STATE_FAST_R15,origins_2019_2021,STATE_FAST_R15,2019Q4,2,0,,,0,0
paired_STATE_FAST_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_FAST_R15,origins_2019_2021,STATE_FAST_R15,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_ADAPT_R15,full,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STATE_ADAPT_R15,full,STATE_ADAPT_R15,2019Q2,2,0,,,0,0
paired_STATE_ADAPT_R15,full,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STATE_ADAPT_R15,full,STATE_ADAPT_R15,2019Q3,2,0,,,0,0
paired_STATE_ADAPT_R15,full,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STATE_ADAPT_R15,full,STATE_ADAPT_R15,2019Q4,2,0,,,0,0
paired_STATE_ADAPT_R15,full,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_ADAPT_R15,full,STATE_ADAPT_R15,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_ADAPT_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_STATE_ADAPT_R15,origins_2019_2021,STATE_ADAPT_R15,2019Q2,2,0,,,0,0
paired_STATE_ADAPT_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_STATE_ADAPT_R15,origins_2019_2021,STATE_ADAPT_R15,2019Q3,2,0,,,0,0
paired_STATE_ADAPT_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_STATE_ADAPT_R15,origins_2019_2021,STATE_ADAPT_R15,2019Q4,2,0,,,0,0
paired_STATE_ADAPT_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_STATE_ADAPT_R15,origins_2019_2021,STATE_ADAPT_R15,2020Q1,1,1,0.0,0.0,0,0
paired_ENET_DOMESTIC_R15,full,ENET_DOMESTIC_R15,2019Q2,2,0,,,0,0
paired_ENET_DOMESTIC_R15,full,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_ENET_DOMESTIC_R15,full,ENET_DOMESTIC_R15,2019Q3,2,0,,,0,0
paired_ENET_DOMESTIC_R15,full,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_ENET_DOMESTIC_R15,full,ENET_DOMESTIC_R15,2019Q4,2,0,,,0,0
paired_ENET_DOMESTIC_R15,full,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_ENET_DOMESTIC_R15,full,ENET_DOMESTIC_R15,2020Q1,1,1,0.0,0.0,0,0
paired_ENET_DOMESTIC_R15,full,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_ENET_DOMESTIC_R15,origins_2019_2021,ENET_DOMESTIC_R15,2019Q2,2,0,,,0,0
paired_ENET_DOMESTIC_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_ENET_DOMESTIC_R15,origins_2019_2021,ENET_DOMESTIC_R15,2019Q3,2,0,,,0,0
paired_ENET_DOMESTIC_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_ENET_DOMESTIC_R15,origins_2019_2021,ENET_DOMESTIC_R15,2019Q4,2,0,,,0,0
paired_ENET_DOMESTIC_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_ENET_DOMESTIC_R15,origins_2019_2021,ENET_DOMESTIC_R15,2020Q1,1,1,0.0,0.0,0,0
paired_ENET_DOMESTIC_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_ENET_IMPORTED_R15,full,ENET_IMPORTED_R15,2019Q2,2,0,,,0,0
paired_ENET_IMPORTED_R15,full,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_ENET_IMPORTED_R15,full,ENET_IMPORTED_R15,2019Q3,2,0,,,0,0
paired_ENET_IMPORTED_R15,full,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_ENET_IMPORTED_R15,full,ENET_IMPORTED_R15,2019Q4,2,0,,,1,0
paired_ENET_IMPORTED_R15,full,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_ENET_IMPORTED_R15,full,ENET_IMPORTED_R15,2020Q1,1,1,1.0,0.0,0,0
paired_ENET_IMPORTED_R15,full,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_ENET_IMPORTED_R15,origins_2019_2021,ENET_IMPORTED_R15,2019Q2,2,0,,,0,0
paired_ENET_IMPORTED_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q2,2,0,,,0,0
paired_ENET_IMPORTED_R15,origins_2019_2021,ENET_IMPORTED_R15,2019Q3,2,0,,,0,0
paired_ENET_IMPORTED_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q3,2,0,,,0,0
paired_ENET_IMPORTED_R15,origins_2019_2021,ENET_IMPORTED_R15,2019Q4,2,0,,,1,0
paired_ENET_IMPORTED_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2019Q4,2,0,,,0,0
paired_ENET_IMPORTED_R15,origins_2019_2021,ENET_IMPORTED_R15,2020Q1,1,1,1.0,0.0,0,0
paired_ENET_IMPORTED_R15,origins_2019_2021,STABLE_PIPELINE_R14B,2020Q1,1,1,0.0,0.0,0,0
paired_ENET_BOTH_R15,full,ENET_BOTH_R15,2019Q2,2,0,,,0,0
