model,band,n,mean,mean_abs,p05,median,p95,max_abs
BLEND_LINEAR_RF_R15,1,6,-0.038951967832557895,0.038951967832557895,-0.041160043155802954,-0.0389519678325579,-0.03674389250931284,0.04116004315580296
BLEND_LINEAR_RF_R15,2,6,-0.06937917215535656,0.06937917215535656,-0.11758783343481603,-0.06937917215535656,-0.021170510875897067,0.11758783343481605
BLEND_LINEAR_RF_R15,3,6,0.04802025101716755,0.04802025101716755,0.038715592232800064,0.048020251017167545,0.05732490980153503,0.05732490980153504
BLEND_LINEAR_RF_R15,4,6,0.07930137619317566,0.07930137619317566,0.07846844097324031,0.07930137619317568,0.080134311413111,0.080134311413111
BLEND_WIDE_STATE_R15,1,6,-0.07973805784865806,0.07973805784865806,-0.0936379710738236,-0.07973805784865806,-0.06583814462349252,0.0936379710738236
BLEND_WIDE_STATE_R15,2,6,0.005534470753434953,0.010370102615356253,-0.004835631861921319,0.005534470753434953,0.01590457336879124,0.015904573368791253
BLEND_WIDE_STATE_R15,3,6,0.007739623202871082,0.007739623202871082,0.006189895674300505,0.007739623202871082,0.009289350731441659,0.009289350731441659
BLEND_WIDE_STATE_R15,4,6,-0.006657319594074225,0.006657319594074225,-0.006755693894139811,-0.006657319594074229,-0.00655894529400864,0.006755693894139825
ENET_BOTH_R15,1,6,-0.08382173320231084,0.08382173320231084,-0.09334410136914706,-0.08382173320231083,-0.07429936503547462,0.09334410136914706
ENET_BOTH_R15,2,6,-0.1315126123996322,0.1315126123996322,-0.2076325760836325,-0.1315126123996322,-0.055392648715631876,0.2076325760836325
ENET_BOTH_R15,3,6,0.04155514156940938,0.04155514156940938,0.02124165163798125,0.04155514156940937,0.06186863150083751,0.06186863150083752
ENET_BOTH_R15,4,6,0.07069390074083144,0.07069390074083144,0.06741193497337966,0.07069390074083146,0.0739758665082832,0.0739758665082832
ENET_DOMESTIC_R15,1,6,-0.00381175681019399,0.00381175681019399,-0.005934085156035933,-0.0038117568101939947,-0.0016894284643520496,0.00593408515603594
ENET_DOMESTIC_R15,2,6,-0.03610344046778098,0.03610344046778098,-0.06235211343528485,-0.036103440467780995,-0.009854767500277091,0.06235211343528485
ENET_DOMESTIC_R15,3,6,0.01295644411182826,0.01295644411182826,0.01244505536538049,0.012956444111828266,0.013467832858276019,0.013467832858276019
ENET_DOMESTIC_R15,4,6,0.03155430486496321,0.03155430486496321,0.022927369094445094,0.031554304864963204,0.04018124063548134,0.04018124063548134
ENET_IMPORTED_R15,1,6,-0.1277008865625178,0.1277008865625178,-0.12774225987357368,-0.1277008865625178,-0.1276595132514619,0.12774225987357368
ENET_IMPORTED_R15,2,6,-0.03190365697969174,0.04105454052980776,-0.0729581975094995,-0.03190365697969175,0.009150883550116048,0.0729581975094995
ENET_IMPORTED_R15,3,6,0.08166353545895227,0.08166353545895227,0.08006950294599668,0.08166353545895229,0.08325756797190786,0.08325756797190786
