clock,report_date,cutoff_date,origin,as_of_utc
report,2022-02-10,2022-01-21,2019-03,2019-04-09 21:59:00+00:00
cutoff,2022-02-10,2022-01-21,2019-03,2019-04-09 21:59:00+00:00
report,2022-05-12,2022-04-22,2019-03,2019-04-09 21:59:00+00:00
cutoff,2022-05-12,2022-04-22,2019-03,2019-04-09 21:59:00+00:00
report,2022-08-11,2022-07-22,2019-03,2019-04-09 21:59:00+00:00
cutoff,2022-08-11,2022-07-22,2019-03,2019-04-09 21:59:00+00:00
report,2022-11-10,2022-10-21,2019-03,2019-04-09 21:59:00+00:00
cutoff,2022-11-10,2022-10-21,2019-03,2019-04-09 21:59:00+00:00
report,2023-02-09,2023-01-20,2019-03,2019-04-09 21:59:00+00:00
cutoff,2023-02-09,2023-01-20,2019-03,2019-04-09 21:59:00+00:00
report,2023-05-11,2023-04-21,2019-03,2019-04-09 21:59:00+00:00
cutoff,2023-05-11,2023-04-21,2019-03,2019-04-09 21:59:00+00:00
report,2023-08-10,2023-07-21,2019-03,2019-04-09 21:59:00+00:00
cutoff,2023-08-10,2023-07-21,2019-03,2019-04-09 21:59:00+00:00
report,2023-11-09,2023-10-20,2019-03,2019-04-09 21:59:00+00:00
cutoff,2023-11-09,2023-10-20,2019-03,2019-04-09 21:59:00+00:00
report,2024-02-15,2024-01-26,2019-03,2019-04-09 21:59:00+00:00
cutoff,2024-02-15,2024-01-26,2019-03,2019-04-09 21:59:00+00:00
report,2024-05-09,2024-04-26,2019-03,2019-04-09 21:59:00+00:00
cutoff,2024-05-09,2024-04-26,2019-03,2019-04-09 21:59:00+00:00
report,2024-08-08,2024-07-26,2019-03,2019-04-09 21:59:00+00:00
cutoff,2024-08-08,2024-07-26,2019-03,2019-04-09 21:59:00+00:00
report,2024-11-14,2024-10-31,2019-03,2019-04-09 21:59:00+00:00
cutoff,2024-11-14,2024-10-31,2019-03,2019-04-09 21:59:00+00:00
report,2025-02-13,2025-01-24,2019-03,2019-04-09 21:59:00+00:00
cutoff,2025-02-13,2025-01-24,2019-03,2019-04-09 21:59:00+00:00
report,2025-05-15,2025-04-25,2019-03,2019-04-09 21:59:00+00:00
cutoff,2025-05-15,2025-04-25,2019-03,2019-04-09 21:59:00+00:00
report,2025-08-14,2025-07-25,2019-03,2019-04-09 21:59:00+00:00
cutoff,2025-08-14,2025-07-25,2019-03,2019-04-09 21:59:00+00:00
report,2025-11-13,2025-10-24,2019-03,2019-04-09 21:59:00+00:00
cutoff,2025-11-13,2025-10-24,2019-03,2019-04-09 21:59:00+00:00
report,2026-02-12,2026-01-23,2019-03,2019-04-09 21:59:00+00:00
cutoff,2026-02-12,2026-01-23,2019-03,2019-04-09 21:59:00+00:00
report,2026-05-14,2026-04-24,2019-03,2019-04-09 21:59:00+00:00
cutoff,2026-05-14,2026-04-24,2019-03,2019-04-09 21:59:00+00:00
report,2026-08-13,2026-07-24,2019-03,2019-04-09 21:59:00+00:00
cutoff,2026-08-13,2026-07-24,2019-03,2019-04-09 21:59:00+00:00
