origin,h,model,target,as_of_utc,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,row_present,headline_yy_forecast_finite,headline_yy_actual_finite,headline_mm_forecast_finite,headline_mm_actual_finite,headline_cumulative_log_forecast_finite,headline_cumulative_log_actual_finite,core_mm_forecast_finite,core_mm_actual_finite,core_cumulative_log_forecast_finite,core_cumulative_log_actual_finite,status,origin_status,converged,fallback_used
2019-02,0,INDEPENDENT_BRIDGE,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,estimated,failed_nonfinite,True,False
2019-02,0,STABLE_PIPELINE_R14B,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,research_estimated,research_estimated,True,False
2019-02,0,STABLE_LOCAL_CORE_R14B,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,research_estimated,research_estimated,True,False
2019-02,0,STATE_SLOW_R15,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,research_estimated,research_estimated,True,False
2019-02,0,STATE_MID_R15,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,research_estimated,research_estimated,True,False
2019-02,0,STATE_FAST_R15,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,research_estimated,research_estimated,True,False
2019-02,0,STATE_ADAPT_R15,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,research_estimated,research_estimated,True,False
2019-02,0,ENET_DOMESTIC_R15,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,research_estimated,research_estimated,True,False
2019-02,0,ENET_IMPORTED_R15,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,research_estimated,research_estimated,True,False
2019-02,0,ENET_BOTH_R15,2019-02,2019-03-10T22:59:00+00:00,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,True,False,True,False,False,research_estimated,research_estimated,True,False
