family,band,status,converged,n
both,0,estimated,True,2
both,1,estimated,True,2
both,2,estimated,True,2
both,3,estimated,True,2
domestic,0,estimated,True,2
domestic,1,estimated,True,2
domestic,2,estimated,True,2
domestic,3,estimated,True,2
forest,0,estimated,True,2
forest,1,estimated,True,2
forest,2,estimated,True,2
forest,3,estimated,True,2
imported,0,estimated,True,2
imported,1,estimated,True,2
imported,2,estimated,True,2
imported,3,estimated,True,2
wide,0,estimated,True,2
wide,1,estimated,True,2
wide,2,estimated,True,2
wide,3,estimated,True,2
